EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-19 16:00:00-05:00,1.59,,
2025-10-30 16:00:00-04:00,2.15,1.99,-7.1
2025-08-07 16:00:00-04:00,1.34,1.41,5.41
2025-05-01 16:00:00-04:00,1.97,2.1,6.97
2025-02-13 16:00:00-05:00,1.73,1.97,13.77
2024-10-30 16:00:00-04:00,1.4,1.8,27.91
2024-08-01 16:00:00-04:00,1.28,1.43,11.43
2024-05-02 16:00:00-04:00,0.96,2.76,187.23
2024-02-13 16:00:00-05:00,1.05,7.85,651.08
2023-11-02 16:00:00-04:00,0.72,0.89,23.96
2023-08-03 16:00:00-04:00,1.32,1.21,-8.91
2023-05-04 16:00:00-04:00,0.48,0.3,-37.45
2023-02-14 16:00:00-05:00,0.8,1.12,40.11
2022-11-03 16:00:00-04:00,0.6,0.63,5.22
2022-08-03 16:00:00-04:00,0.71,1.1,55.27
2022-05-04 16:00:00-04:00,0.85,0.79,-6.69
2022-02-10 16:00:00-05:00,0.75,0.97,29.7
2021-11-03 16:00:00-04:00,0.37,0.58,56.89
2021-08-04 16:00:00-04:00,0.63,0.62,-1.35
2021-05-05 16:00:00-04:00,0.33,0.06,-81.87
2021-02-11 16:00:00-05:00,0.93,0.76,-17.93
2020-11-04 16:00:00-05:00,1.07,0.9,-16.19
2020-08-05 16:00:00-04:00,0.16,-4.06,-2622.68
2020-05-06 17:00:00-04:00,0.17,0.24,39.11
2020-02-13 16:00:00-05:00,0.59,0.55,-6.67
2019-11-06 16:00:00-05:00,0.7,0.66,-4.95
2019-08-01 16:00:00-04:00,0.8,0.54,-32.5
2019-05-02 16:00:00-04:00,1.01,0.9,-10.37
2019-02-20 16:00:00-05:00,0.49,0.38,-21.91
2018-11-06 16:00:00-05:00,0.69,0.33,-51.85
2018-08-02 16:00:00-04:00,0.09,0.11,23.62
2018-05-08 16:00:00-04:00,0.02,0.02,51.03
2018-02-22 16:00:00-05:00,0.34,0.23,-31.67
2017-11-06 16:00:00-05:00,0.54,0.36,-32.62
2017-08-08 16:00:00-04:00,0.44,0.63,43.53
2017-05-02 16:00:00-04:00,0.58,0.65,12.4
2017-02-28 16:00:00-05:00,0.07,,-106.7
2016-11-03 06:00:00-04:00,0.42,0.77,84.82
2016-08-04 06:00:00-04:00,0.41,0.41,-0.34
2016-05-06 16:00:00-04:00,0.48,0.55,14.31
2016-02-17 16:00:00-05:00,0.25,0.31,25.98
2015-11-05 07:00:00-05:00,0.3,0.36,18.03
2015-08-05 16:00:00-04:00,0.23,0.31,34.71
2015-05-12 16:00:00-04:00,0.39,0.42,7.72
