EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 08:00:00-05:00,1.43,,
2025-10-21 06:00:00-04:00,1.47,1.66,13.01
2025-07-17 06:00:00-04:00,1.43,1.66,15.97
2025-04-22 06:00:00-04:00,1.27,1.49,17.51
2025-01-23 06:00:00-05:00,1.04,1.32,26.9
2024-10-22 06:00:00-04:00,1.13,1.15,1.34
2024-07-23 06:00:00-04:00,0.99,1.2,20.79
2024-04-23 06:00:00-04:00,0.7,0.82,16.42
2024-01-23 06:00:00-05:00,0.9,1.03,14.86
2023-10-24 06:00:00-04:00,0.56,0.82,46.28
2023-07-25 06:00:00-04:00,0.46,0.68,48.14
2023-04-25 06:00:00-04:00,0.14,0.27,97.56
2023-01-24 06:00:00-05:00,1.16,1.24,6.97
2022-10-25 06:00:00-04:00,0.49,0.35,-28.12
2022-07-26 06:00:00-04:00,0.42,0.78,86.22
2022-04-26 06:00:00-04:00,0.22,0.24,7.87
2022-01-25 06:00:00-05:00,0.82,0.92,12.09
2021-10-26 06:00:00-04:00,0.44,0.57,30.03
2021-07-27 06:00:00-04:00,0.27,0.4,49.58
2021-04-27 06:00:00-04:00,0.08,0.24,208.05
2021-01-26 06:00:00-05:00,0.68,0.64,-6.33
2020-10-28 06:00:00-04:00,-0.23,0.48,306.31
2020-07-29 06:00:00-04:00,-0.72,-1.2,-66.42
2020-04-29 06:00:00-04:00,0.65,0.4,-37.99
2020-01-29 06:00:00-05:00,1.42,1.68,18.45
2019-10-30 06:00:00-04:00,0.91,1.2,31.55
2019-07-31 06:00:00-04:00,0.95,1.36,43.75
2019-04-30 06:00:00-04:00,0.73,1.12,54.43
2019-01-31 06:00:00-05:00,1.79,1.36,-24.07
2018-10-30 06:00:00-04:00,1.61,1.12,-30.46
2018-07-20 06:00:00-04:00,1.4,1.52,8.66
2018-04-20 06:00:00-04:00,0.91,1.28,40.68
2018-01-24 06:00:00-05:00,2.27,2.16,-4.89
2017-10-20 06:00:00-04:00,3.92,2.32,-40.84
2017-07-21 06:00:00-04:00,2.0,2.24,11.98
2017-04-21 06:00:00-04:00,1.36,1.68,23.44
2017-01-20 06:00:00-05:00,3.68,3.68,-0.1
2016-10-21 06:00:00-04:00,2.4,2.56,6.48
2016-07-22 06:00:00-04:00,3.65,4.08,11.77
2016-04-22 06:00:00-04:00,1.54,1.68,8.98
2016-01-22 06:00:00-05:00,3.96,4.16,5.06
2015-10-16 06:00:00-04:00,2.08,2.32,11.64
2015-07-17 06:00:00-04:00,2.29,2.24,-2.12
2015-04-17 06:00:00-04:00,2.41,2.48,2.82
2015-01-23 06:00:00-05:00,4.36,4.48,2.65
2014-10-17 06:00:00-04:00,2.99,3.04,1.67
2014-07-18 06:00:00-04:00,3.15,3.12,-0.92
2014-04-17 06:00:00-04:00,2.54,2.64,3.89
2014-01-17 06:00:00-05:00,4.29,4.24,-1.06
2013-10-18 06:00:00-04:00,2.86,2.88,0.82
