EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 16:00:00-05:00,0.63,,
2025-11-06 16:00:00-05:00,0.61,0.62,1.59
2025-08-07 16:00:00-04:00,0.6,0.64,6.72
2025-05-06 16:00:00-04:00,0.58,0.59,1.31
2025-01-30 16:00:00-05:00,0.55,0.56,1.59
2024-10-30 16:00:00-04:00,0.54,0.54,-0.42
2024-08-01 16:00:00-04:00,0.53,0.53,0.61
2024-05-09 16:00:00-04:00,0.52,0.53,1.69
2024-02-01 16:00:00-05:00,0.5,0.49,-1.35
2023-11-07 08:00:00-05:00,0.47,0.47,-0.21
2023-08-03 16:00:00-04:00,0.47,0.47,0.82
2023-05-11 16:00:00-04:00,0.44,0.46,5.18
2023-02-02 16:00:00-05:00,0.43,0.45,5.22
2022-11-08 16:00:00-05:00,0.45,0.45,0.73
2022-08-04 16:00:00-04:00,0.43,0.45,3.7
2022-05-05 16:00:00-04:00,0.45,0.46,2.83
2022-02-03 16:00:00-05:00,0.44,0.44,0.73
2021-11-04 16:00:00-04:00,0.42,0.43,2.38
2021-07-27 16:00:00-04:00,0.41,0.42,2.08
2021-05-10 16:00:00-04:00,0.38,0.4,5.08
2021-02-04 16:00:00-05:00,0.37,0.38,2.21
2020-11-05 16:00:00-05:00,0.33,0.36,8.83
2020-08-06 16:00:00-04:00,0.22,0.31,42.62
2020-05-14 16:00:00-04:00,0.16,0.26,58.2
2020-02-06 16:00:00-05:00,0.08,0.25,217.62
2019-11-07 16:00:00-05:00,0.42,0.46,8.92
2019-08-08 16:00:00-04:00,0.33,0.43,32.2
2019-05-09 16:00:00-04:00,0.39,0.39,-0.95
2019-01-31 16:00:00-05:00,0.39,0.44,12.71
2018-11-01 16:00:00-04:00,0.33,0.42,28.05
2018-08-02 16:00:00-04:00,0.33,0.34,3.45
2018-05-10 16:00:00-04:00,0.39,0.46,17.33
2018-01-31 16:00:00-05:00,0.44,0.49,11.4
2017-11-01 16:00:00-04:00,0.43,0.4,-6.01
2017-08-02 16:00:00-04:00,0.31,0.33,7.57
2017-05-10 16:00:00-04:00,0.28,0.28,-0.91
2017-02-01 16:00:00-05:00,0.28,0.32,13.8
2016-11-03 16:00:00-04:00,0.2,0.3,48.89
2016-08-04 16:00:00-04:00,0.25,0.29,15.77
2016-05-12 16:00:00-04:00,0.22,0.22,-0.2
2016-02-04 16:00:00-05:00,0.24,0.26,7.35
2015-11-05 07:00:00-05:00,0.42,0.44,5.14
2015-08-11 07:00:00-04:00,0.43,0.4,-6.54
2015-05-14 16:00:00-04:00,0.44,0.43,-1.93
2015-02-05 16:00:00-05:00,0.49,0.53,8.4
2014-11-05 16:00:00-05:00,0.43,0.48,12.68
2014-08-06 16:00:00-04:00,0.43,0.45,5.82
2014-05-08 16:00:00-04:00,0.42,0.47,12.84
2014-01-29 16:00:00-05:00,0.43,0.51,19.97
2013-10-23 16:00:00-04:00,0.44,0.5,14.45
