EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 08:00:00-05:00,0.7,,
2025-10-28 07:00:00-04:00,0.66,0.67,0.8
2025-07-29 07:00:00-04:00,0.57,0.6,5.13
2025-04-29 07:00:00-04:00,0.51,0.54,5.43
2025-01-29 07:00:00-05:00,0.56,0.57,2.1
2024-10-29 07:00:00-04:00,0.52,0.54,3.05
2024-07-30 07:00:00-04:00,0.47,0.47,-0.07
2024-04-30 07:00:00-04:00,0.35,0.38,8.44
2024-01-30 07:00:00-05:00,0.41,0.39,-4.08
2023-10-24 07:00:00-04:00,0.47,0.45,-4.97
2023-07-25 07:00:00-04:00,0.45,0.45,-0.33
2023-04-25 07:00:00-04:00,0.39,0.41,4.7
2023-01-31 07:00:00-05:00,0.44,0.47,6.83
2022-10-25 07:00:00-04:00,0.51,0.51,-0.08
2022-07-26 07:00:00-04:00,0.56,0.57,1.25
2022-04-26 07:00:00-04:00,0.49,0.54,9.17
2022-01-26 07:00:00-05:00,0.52,0.54,4.06
2021-10-26 07:00:00-04:00,0.58,0.56,-2.7
2021-07-27 07:00:00-04:00,0.51,0.53,3.6
2021-04-27 07:00:00-04:00,0.43,0.45,5.03
2021-01-27 07:00:00-05:00,0.49,0.52,6.58
2020-10-27 07:00:00-04:00,0.38,0.43,14.43
2020-07-28 07:00:00-04:00,0.14,0.25,76.22
2020-04-28 08:00:00-04:00,0.19,0.2,7.29
2020-01-29 11:00:00-05:00,0.44,0.46,4.19
2019-10-29 07:00:00-04:00,0.4,0.44,9.87
2019-07-30 07:00:00-04:00,0.45,0.45,0.68
2019-04-30 07:00:00-04:00,0.4,0.4,0.19
2019-01-29 07:00:00-05:00,0.58,0.59,2.58
2018-10-23 07:00:00-04:00,0.48,0.51,5.35
2018-07-25 07:00:00-04:00,0.37,0.38,4.11
2018-04-24 07:00:00-04:00,0.29,0.31,5.27
2018-01-30 07:00:00-05:00,0.47,0.49,4.34
2017-10-24 07:00:00-04:00,0.41,0.43,4.27
2017-07-26 07:00:00-04:00,0.4,0.42,4.22
2017-04-25 07:00:00-04:00,0.35,0.39,12.25
2017-01-24 07:00:00-05:00,0.44,0.5,14.46
2016-10-25 07:00:00-04:00,0.38,0.42,9.58
2016-07-27 07:00:00-04:00,0.32,0.37,13.95
2016-04-26 06:00:00-04:00,0.28,0.28,-0.54
2016-01-26 06:00:00-05:00,0.31,0.34,8.75
2015-10-27 06:00:00-04:00,0.35,0.34,-1.89
2015-07-28 07:00:00-04:00,0.37,0.38,3.13
2015-04-28 07:00:00-04:00,0.33,0.35,4.96
2015-01-27 07:00:00-05:00,0.38,0.45,18.13
2014-10-28 07:00:00-04:00,0.38,0.4,5.43
2014-07-29 07:00:00-04:00,0.38,0.37,-1.5
2014-04-28 07:00:00-04:00,0.3,0.31,2.43
2014-01-28 07:00:00-05:00,0.28,0.29,5.02
2013-10-30 07:00:00-04:00,0.32,0.33,2.75
