EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 08:00:00-05:00,2.18,,
2025-10-21 06:00:00-04:00,2.03,1.35,-33.48
2025-07-22 06:00:00-04:00,2.48,2.53,2.15
2025-04-29 07:00:00-04:00,2.67,2.78,4.28
2025-01-28 06:00:00-05:00,1.84,1.92,4.3
2024-10-22 06:00:00-04:00,2.39,2.96,23.78
2024-07-23 06:00:00-04:00,2.7,3.06,13.36
2024-04-23 06:00:00-04:00,2.12,2.62,23.63
2024-01-30 06:00:00-05:00,1.14,1.24,8.78
2023-10-24 06:00:00-04:00,1.84,2.28,24.06
2023-07-25 07:00:00-04:00,1.84,1.91,3.98
2023-04-25 06:00:00-04:00,1.73,2.21,27.86
2023-01-31 06:00:00-05:00,1.68,2.12,26.05
2022-10-25 06:00:00-04:00,1.88,2.25,19.63
2022-07-26 06:00:00-04:00,1.32,1.14,-13.5
2022-04-26 16:00:00-04:00,1.66,2.09,25.56
2022-02-01 16:00:00-05:00,1.15,1.35,17.31
2021-10-27 07:00:00-04:00,0.97,1.52,57.06
2021-08-04 07:00:00-04:00,1.83,1.97,7.87
2021-05-05 07:00:00-04:00,1.05,2.25,114.21
2021-02-10 07:00:00-05:00,1.64,1.93,17.6
2020-11-05 07:00:00-05:00,1.43,2.83,97.97
2020-07-29 09:00:00-04:00,-1.78,-0.5,71.86
2020-05-06 08:00:00-04:00,0.34,0.62,84.29
2020-02-05 08:00:00-05:00,0.01,0.05,662.2
2019-10-29 08:00:00-04:00,1.37,1.72,25.85
2019-08-01 08:00:00-04:00,1.45,1.64,12.75
2019-04-30 08:00:00-04:00,1.12,1.41,26.24
2019-02-06 08:00:00-05:00,1.21,1.43,18.64
2018-10-31 07:00:00-04:00,1.25,1.87,49.8
2018-07-25 07:00:00-04:00,1.8,1.81,0.45
2018-04-26 07:00:00-04:00,1.27,1.43,12.49
2018-02-06 07:00:00-05:00,1.44,1.65,14.67
2017-10-24 07:00:00-04:00,1.11,1.32,18.76
2017-07-25 07:00:00-04:00,1.72,1.89,9.86
2017-04-28 07:00:00-04:00,1.47,1.7,15.89
2017-02-07 08:00:00-05:00,1.17,1.28,9.56
2016-10-25 07:00:00-04:00,1.47,1.72,16.7
2016-07-21 07:00:00-04:00,1.52,1.86,22.22
2016-04-21 07:00:00-04:00,1.0,1.26,25.48
2016-02-03 07:00:00-05:00,1.2,1.39,16.11
2015-10-21 07:00:00-04:00,1.18,1.5,26.65
2015-07-23 07:00:00-04:00,1.08,1.29,19.25
2015-04-23 07:00:00-04:00,0.97,0.86,-11.25
2015-02-04 07:00:00-05:00,0.83,1.19,43.64
2014-10-23 07:00:00-04:00,0.93,0.97,4.35
2014-07-24 08:00:00-04:00,0.57,0.58,1.08
2014-04-24 09:00:00-04:00,0.01,0.06,538.3
2014-02-06 07:00:00-05:00,0.89,0.67,-24.39
2013-10-30 07:00:00-04:00,0.94,0.96,2.06
