EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 08:00:00-05:00,1.81,,
2025-10-29 06:00:00-04:00,2.2,1.83,-16.72
2025-07-30 06:00:00-04:00,1.32,1.65,24.58
2025-04-30 06:00:00-04:00,0.97,1.26,30.39
2025-02-12 06:00:00-05:00,2.53,2.8,10.82
2024-10-31 06:00:00-04:00,1.95,2.25,15.48
2024-07-31 06:00:00-04:00,1.2,1.35,12.34
2024-05-01 06:00:00-04:00,0.71,0.88,23.96
2024-02-14 06:00:00-05:00,2.09,2.07,-0.92
2023-11-01 06:00:00-04:00,1.51,1.64,8.37
2023-08-02 06:00:00-04:00,1.18,1.08,-8.12
2023-05-03 06:00:00-04:00,0.5,0.63,25.79
2023-02-15 06:00:00-05:00,1.75,1.78,1.49
2022-11-02 06:00:00-04:00,1.82,1.75,-3.73
2022-08-03 06:00:00-04:00,2.64,2.99,13.37
2022-05-04 06:00:00-04:00,1.92,2.09,8.62
2022-02-16 06:00:00-05:00,2.4,2.51,4.71
2021-11-02 06:00:00-04:00,2.39,2.35,-1.56
2021-07-28 06:00:00-04:00,2.32,2.39,3.03
2021-04-29 06:00:00-04:00,1.88,2.38,26.54
2021-02-11 06:00:00-05:00,1.96,2.12,8.13
2020-10-28 06:00:00-04:00,1.71,2.08,21.61
2020-07-30 06:00:00-04:00,0.89,1.4,57.82
2020-04-30 07:00:00-04:00,0.8,0.87,8.3
2020-02-13 06:00:00-05:00,1.37,1.53,11.88
2019-10-31 06:00:00-04:00,1.33,1.43,7.32
2019-08-01 06:00:00-04:00,1.09,1.2,10.6
2019-05-02 06:00:00-04:00,0.78,0.91,17.42
2019-02-14 06:00:00-05:00,1.39,1.42,2.16
2018-11-01 06:00:00-04:00,1.08,1.43,32.1
2018-08-01 06:00:00-04:00,0.9,1.11,22.82
2018-05-02 06:00:00-04:00,0.63,0.74,16.77
2018-02-13 06:00:00-05:00,1.2,1.37,14.64
2017-11-01 06:00:00-04:00,0.88,0.93,5.8
2017-08-02 06:00:00-04:00,0.64,0.69,7.98
2017-04-27 06:00:00-04:00,0.41,0.41,0.54
2017-02-14 06:00:00-05:00,1.03,1.12,8.74
2016-10-26 06:00:00-04:00,0.77,0.82,6.84
2016-08-02 06:00:00-04:00,0.6,0.64,6.89
2016-05-04 06:00:00-04:00,0.42,0.46,9.85
2016-02-16 06:00:00-05:00,0.89,0.97,8.85
2015-10-28 06:00:00-04:00,0.79,0.92,16.46
2015-08-06 06:00:00-04:00,0.59,0.5,-14.63
2015-04-30 06:00:00-04:00,0.63,0.49,-22.4
2015-02-11 06:00:00-05:00,0.79,0.98,24.84
2014-11-06 06:00:00-05:00,1.0,0.83,-16.79
2014-07-31 06:00:00-04:00,0.76,0.82,7.54
2014-05-01 06:00:00-04:00,0.71,0.72,1.59
2014-02-13 05:00:00-05:00,0.86,1.11,28.41
2013-10-24 06:00:00-04:00,0.79,1.06,33.43
