EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,9.43,,
2025-10-31 08:00:00-04:00,9.95,10.21,2.58
2025-08-01 08:00:00-04:00,10.07,9.97,-1.03
2025-05-01 08:00:00-04:00,9.51,9.86,3.69
2025-01-31 08:00:00-05:00,9.74,9.71,-0.32
2024-10-31 08:00:00-04:00,9.98,9.87,-1.13
2024-08-01 08:00:00-04:00,9.59,9.76,1.75
2024-04-25 08:00:00-04:00,9.63,9.62,-0.14
2024-02-02 08:00:00-05:00,8.08,8.33,3.14
2023-10-26 08:00:00-04:00,8.93,9.43,5.63
2023-07-27 08:00:00-04:00,9.09,9.28,2.05
2023-04-27 08:00:00-04:00,8.53,9.61,12.71
2023-02-02 08:00:00-05:00,7.0,7.14,2.07
2022-10-28 08:00:00-04:00,7.25,8.27,14.07
2022-07-29 08:00:00-04:00,6.61,7.19,8.77
2022-04-28 08:00:00-04:00,6.12,7.07,15.53
2022-02-03 08:00:00-05:00,5.23,5.44,4.03
2021-10-29 08:00:00-04:00,5.31,5.65,6.44
2021-07-30 08:00:00-04:00,4.62,4.27,-7.58
2021-04-30 08:00:00-04:00,4.32,4.48,3.7
2021-02-03 08:00:00-05:00,3.86,3.66,-5.26
2020-10-22 08:00:00-04:00,4.13,4.52,9.52
2020-07-23 08:00:00-04:00,3.51,3.75,6.76
2020-04-23 09:00:00-04:00,4.47,4.24,-5.07
2020-01-30 08:00:00-05:00,4.04,3.9,-3.54
2019-10-23 08:00:00-04:00,4.4,4.26,-3.15
2019-07-24 08:00:00-04:00,4.64,4.64,-0.09
2019-04-22 08:00:00-04:00,4.46,4.51,1.19
2019-01-24 08:00:00-05:00,3.6,3.96,9.9
2018-10-16 08:00:00-04:00,3.99,4.19,4.96
2018-07-18 08:00:00-04:00,3.74,4.37,16.96
2018-04-19 08:00:00-04:00,3.44,4.18,21.58
2018-01-24 08:00:00-05:00,2.19,2.94,34.03
2017-10-17 08:00:00-04:00,2.56,2.9,13.49
2017-07-19 08:00:00-04:00,2.65,2.74,3.45
2017-04-18 08:00:00-04:00,2.99,2.88,-3.68
2017-01-25 07:00:00-05:00,2.36,2.45,3.95
2016-10-18 07:00:00-04:00,2.99,3.06,2.34
2016-07-19 07:00:00-04:00,3.17,2.89,-8.71
2016-04-18 07:00:00-04:00,2.83,3.18,12.32
2016-01-26 07:00:00-05:00,2.22,2.49,12.08
2015-10-16 07:00:00-04:00,3.06,3.03,-1.07
2015-07-17 07:00:00-04:00,3.05,3.27,7.35
2015-04-16 07:00:00-04:00,3.11,3.1,-0.42
2015-01-26 07:00:00-05:00,2.83,2.8,-1.16
2014-10-16 07:00:00-04:00,3.28,3.3,0.46
2014-07-17 07:00:00-04:00,3.09,3.09,-0.12
2014-04-16 07:00:00-04:00,2.96,3.07,3.59
2014-01-24 08:00:00-05:00,2.62,2.59,-1.25
2013-10-16 08:00:00-04:00,3.04,2.95,-3.02
