EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-24 08:00:00-05:00,3.04,,
2025-11-18 06:00:00-05:00,3.83,3.74,-2.45
2025-08-19 06:00:00-04:00,4.69,4.68,-0.31
2025-05-20 06:00:00-04:00,3.52,3.45,-1.94
2025-02-25 06:00:00-05:00,3.04,3.02,-0.79
2024-11-12 06:00:00-05:00,3.66,3.67,0.33
2024-08-13 06:00:00-04:00,4.55,4.6,1.16
2024-05-14 06:00:00-04:00,3.61,3.63,0.57
2024-02-20 06:00:00-05:00,2.77,2.82,1.63
2023-11-14 06:00:00-05:00,3.76,3.81,1.35
2023-08-15 06:00:00-04:00,4.44,4.65,4.68
2023-05-16 06:00:00-04:00,3.8,3.82,0.52
2023-02-21 06:00:00-05:00,3.29,3.3,0.4
2022-11-15 06:00:00-05:00,4.12,4.24,2.96
2022-08-16 06:00:00-04:00,4.93,5.05,2.36
2022-05-17 06:00:00-04:00,3.69,4.09,10.83
2022-02-22 06:00:00-05:00,3.18,3.21,0.87
2021-11-16 06:00:00-05:00,3.4,3.92,15.29
2021-08-17 06:00:00-04:00,4.43,4.53,2.33
2021-05-18 06:00:00-04:00,3.05,3.86,26.58
2021-02-23 06:00:00-05:00,2.62,2.74,4.59
2020-11-17 06:00:00-05:00,3.04,3.18,4.77
2020-08-18 06:00:00-04:00,3.72,4.02,8.06
2020-05-19 06:00:00-04:00,2.26,2.08,-7.82
2020-02-25 06:00:00-05:00,2.11,2.28,8.28
2019-11-19 06:00:00-05:00,2.53,2.53,0.13
2019-08-20 06:00:00-04:00,3.08,3.17,3.02
2019-05-21 06:00:00-04:00,2.19,2.27,3.67
2019-02-26 06:00:00-05:00,2.16,2.25,4.11
2018-11-13 06:00:00-05:00,2.27,2.51,10.74
2018-08-14 06:00:00-04:00,2.85,3.05,6.97
2018-05-15 06:00:00-04:00,2.05,2.08,1.43
2018-02-20 06:00:00-05:00,1.64,1.69,2.93
2017-11-14 06:00:00-05:00,1.82,1.84,1.0
2017-08-15 06:00:00-04:00,2.22,2.25,1.48
2017-05-16 06:00:00-04:00,1.61,1.67,3.49
2017-02-21 06:00:00-05:00,1.34,1.44,7.82
2016-11-15 06:00:00-05:00,1.58,1.6,1.25
2016-08-16 06:00:00-04:00,1.97,1.97,0.16
2016-05-17 06:00:00-04:00,1.35,1.44,6.62
2016-02-23 06:00:00-05:00,1.1,1.17,6.03
2015-11-17 06:00:00-05:00,1.32,1.36,3.23
2015-08-18 06:00:00-04:00,1.69,1.71,1.0
2015-05-19 06:00:00-04:00,1.15,1.16,0.59
2015-02-24 06:00:00-05:00,0.89,1.0,11.92
2014-11-18 06:00:00-05:00,1.14,1.12,-1.61
2014-08-19 06:00:00-04:00,1.45,1.52,4.94
2014-05-20 06:00:00-04:00,0.98,0.96,-2.47
2014-02-25 06:00:00-05:00,0.71,0.73,2.78
2013-11-19 06:00:00-05:00,0.9,0.95,6.11
