EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 08:00:00-05:00,2.03,,
2025-10-22 06:00:00-04:00,2.05,2.11,2.96
2025-07-23 06:00:00-04:00,2.04,2.2,7.62
2025-04-29 06:00:00-04:00,1.56,1.23,-21.26
2025-02-06 06:00:00-05:00,1.68,1.76,4.48
2024-10-23 06:00:00-04:00,1.84,1.92,4.25
2024-08-07 06:00:00-04:00,1.86,1.91,2.64
2024-04-24 06:00:00-04:00,1.42,1.53,7.96
2024-02-07 06:00:00-05:00,1.57,1.68,7.09
2023-10-25 06:00:00-04:00,1.66,1.67,0.35
2023-07-26 06:00:00-04:00,1.58,1.63,3.21
2023-04-26 06:00:00-04:00,1.14,1.24,9.15
2023-02-09 06:00:00-05:00,1.22,1.59,30.12
2022-10-26 06:00:00-04:00,1.24,1.31,5.58
2022-07-27 06:00:00-04:00,1.05,1.29,23.37
2022-05-03 06:00:00-04:00,0.66,0.71,7.83
2022-02-16 06:00:00-05:00,0.73,0.72,-1.82
2021-10-27 06:00:00-04:00,0.84,0.78,-6.64
2021-07-29 06:00:00-04:00,0.4,0.56,41.36
2021-05-05 06:00:00-04:00,0.1,0.02,-80.0
2021-02-17 06:00:00-05:00,0.02,-0.1,-524.99
2020-11-04 06:00:00-05:00,-0.04,0.06,268.73
2020-08-06 06:00:00-04:00,-0.3,-0.61,-103.52
2020-05-07 07:00:00-04:00,0.51,0.74,45.55
2020-02-11 06:00:00-05:00,0.96,1.0,3.99
2019-10-23 06:00:00-04:00,1.02,1.05,2.77
2019-07-24 06:00:00-04:00,1.02,1.06,3.97
2019-05-01 06:00:00-04:00,0.76,0.8,5.07
2019-02-13 06:00:00-05:00,0.69,0.79,14.48
2018-10-24 06:00:00-04:00,0.75,0.77,2.07
2018-07-25 06:00:00-04:00,0.7,0.7,-0.56
2018-04-26 06:00:00-04:00,0.51,0.55,7.43
2018-02-14 06:00:00-05:00,0.45,0.54,20.04
2017-10-26 06:00:00-04:00,0.5,0.56,11.92
2017-07-26 06:00:00-04:00,0.5,0.52,4.19
2017-05-02 06:00:00-04:00,0.28,0.38,35.46
2017-02-15 06:00:00-05:00,0.66,0.7,5.86
2016-10-26 06:00:00-04:00,0.68,0.69,0.78
2016-07-27 06:00:00-04:00,0.78,0.75,-4.16
2016-04-27 06:00:00-04:00,0.47,0.51,7.5
2016-02-26 06:00:00-05:00,0.65,0.66,1.29
2015-10-28 06:00:00-04:00,0.68,0.69,1.18
2015-07-29 06:00:00-04:00,0.68,0.75,9.5
2015-04-29 06:00:00-04:00,0.37,0.36,-2.14
2015-02-18 06:00:00-05:00,0.54,0.51,-4.91
2014-10-31 06:00:00-04:00,0.5,0.54,7.6
2014-08-01 06:00:00-04:00,0.57,0.63,11.08
2014-05-09 06:00:00-04:00,0.26,0.39,51.6
2014-02-27 06:00:00-05:00,0.49,0.33,-32.8
