EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 07:00:00-05:00,2.61,,
2025-10-23 06:00:00-04:00,2.57,2.82,9.87
2025-07-24 06:00:00-04:00,2.66,2.75,3.43
2025-04-29 06:00:00-04:00,2.21,2.51,13.64
2025-02-06 06:00:00-05:00,2.35,2.47,5.28
2024-10-24 06:00:00-04:00,2.5,2.58,3.08
2024-07-25 06:00:00-04:00,2.42,2.49,3.1
2024-04-25 06:00:00-04:00,2.18,2.25,3.32
2024-02-01 06:00:00-05:00,2.59,2.6,0.33
2023-10-26 06:00:00-04:00,2.23,2.27,1.87
2023-07-27 06:00:00-04:00,2.21,2.23,0.79
2023-04-27 06:00:00-04:00,1.93,2.07,7.43
2023-02-02 06:00:00-05:00,2.51,2.52,0.45
2022-10-27 06:00:00-04:00,2.15,2.25,4.61
2022-07-28 06:00:00-04:00,2.03,2.1,3.6
2022-04-29 06:00:00-04:00,1.86,1.91,2.58
2022-02-03 06:00:00-05:00,2.08,2.09,0.52
2021-10-22 06:00:00-04:00,2.0,2.02,1.17
2021-07-23 06:00:00-04:00,1.94,2.02,3.86
2021-04-23 06:00:00-04:00,1.8,1.92,6.59
2021-01-29 06:00:00-05:00,2.0,2.07,3.5
2020-10-30 06:00:00-04:00,1.49,1.56,4.94
2020-07-24 06:00:00-04:00,1.24,1.26,1.66
2020-05-01 07:00:00-04:00,1.94,2.21,13.65
2020-01-31 06:00:00-05:00,2.04,2.06,0.87
