EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 08:00:00-05:00,1.39,,
2025-10-30 06:00:00-04:00,1.06,1.3,22.22
2025-07-30 06:00:00-04:00,1.0,1.21,20.42
2025-05-01 06:00:00-04:00,1.93,2.09,8.03
2025-02-06 06:00:00-05:00,2.38,2.69,13.26
2024-11-07 06:00:00-05:00,2.55,2.34,-8.29
2024-08-01 06:00:00-04:00,1.45,1.27,-12.59
2024-05-03 06:00:00-04:00,2.76,3.07,11.17
2024-02-08 06:00:00-05:00,1.96,2.02,3.28
2023-10-26 06:00:00-04:00,2.45,2.6,5.96
2023-07-27 06:00:00-04:00,1.91,2.01,4.97
2023-04-27 06:00:00-04:00,2.67,2.96,11.07
2023-02-02 06:00:00-05:00,1.77,2.02,13.95
2022-11-04 06:00:00-04:00,2.1,2.17,3.2
2022-07-28 06:00:00-04:00,1.68,1.8,6.93
2022-04-28 06:00:00-04:00,2.1,2.53,20.57
2022-02-03 06:00:00-05:00,1.61,1.69,4.68
2021-10-28 06:00:00-04:00,2.0,2.1,4.8
2021-07-29 06:00:00-04:00,1.42,1.47,3.17
2021-04-29 06:00:00-04:00,1.8,1.92,6.75
2021-02-04 06:00:00-05:00,1.43,1.49,4.48
2020-11-06 06:00:00-05:00,1.72,1.86,8.23
2020-07-23 06:00:00-04:00,1.13,1.31,16.21
2020-04-23 08:00:00-04:00,1.71,1.63,-4.61
2020-01-30 07:00:00-05:00,1.24,1.28,2.97
2019-10-24 07:00:00-04:00,1.6,1.61,0.49
2019-07-25 07:00:00-04:00,1.17,1.31,11.66
2019-04-25 07:00:00-04:00,1.46,1.59,8.63
2019-01-31 07:00:00-05:00,1.27,1.26,-0.59
2018-10-25 07:00:00-04:00,1.55,1.55,0.13
2018-07-26 07:00:00-04:00,1.1,1.14,3.88
2018-04-26 07:00:00-04:00,1.4,1.41,0.99
2018-02-01 07:00:00-05:00,1.07,1.03,-3.74
2017-10-26 07:00:00-04:00,1.29,1.33,2.72
2017-07-26 07:00:00-04:00,0.9,1.09,21.6
2017-04-26 07:00:00-04:00,1.25,1.31,4.95
2017-02-03 07:00:00-05:00,1.08,1.17,8.22
2016-10-28 07:00:00-04:00,1.18,1.29,9.0
2016-07-28 07:00:00-04:00,0.78,0.85,8.92
2016-04-26 07:00:00-04:00,1.07,1.1,2.87
2016-01-28 07:00:00-05:00,1.05,1.08,2.73
2015-10-28 07:00:00-04:00,1.13,1.17,3.83
2015-08-07 07:00:00-04:00,0.75,0.78,4.53
2015-04-23 07:00:00-04:00,1.16,1.09,-5.67
2015-01-29 07:00:00-05:00,1.06,1.04,-2.2
2014-10-29 07:00:00-04:00,1.08,1.05,-3.0
2014-07-24 07:00:00-04:00,0.76,0.76,0.21
2014-04-24 07:00:00-04:00,1.14,1.15,0.52
2014-01-30 07:00:00-05:00,0.86,0.86,0.04
2013-10-24 07:00:00-04:00,1.01,1.04,3.17
