EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,4.69,,
2025-10-28 07:00:00-04:00,4.98,5.17,3.91
2025-07-29 07:00:00-04:00,4.4,4.93,12.13
2025-05-01 07:00:00-04:00,3.72,3.5,-6.01
2025-02-04 07:00:00-05:00,4.02,4.1,2.07
2024-10-29 07:00:00-04:00,4.46,4.49,0.68
2024-07-30 07:00:00-04:00,4.21,4.37,3.7
2024-05-01 08:00:00-04:00,3.55,3.6,1.44
2024-01-30 07:00:00-05:00,3.58,3.69,3.09
2023-10-31 07:00:00-04:00,4.04,3.95,-2.32
2023-07-25 08:00:00-04:00,3.72,4.07,9.52
2023-04-25 07:00:00-04:00,2.49,3.61,45.06
2023-01-31 07:00:00-05:00,2.4,2.6,8.53
2022-10-25 07:00:00-04:00,2.71,3.08,13.78
2022-07-26 07:00:00-04:00,2.43,2.81,15.72
2022-04-26 07:00:00-04:00,1.86,2.12,13.87
2022-02-03 07:00:00-05:00,2.08,2.07,-0.68
2021-10-26 07:00:00-04:00,2.37,2.24,-5.66
2021-07-27 07:00:00-04:00,2.16,2.36,9.13
2021-04-27 07:00:00-04:00,1.64,1.72,4.66
2021-02-02 07:00:00-05:00,1.77,1.76,-0.77
2020-10-27 07:00:00-04:00,2.04,2.3,13.02
2020-07-30 07:00:00-04:00,1.61,1.87,15.83
2020-04-30 08:00:00-04:00,1.52,1.64,7.98
2020-02-04 07:00:00-05:00,1.85,1.91,3.43
2019-10-29 07:00:00-04:00,2.27,2.34,3.3
2019-07-30 07:00:00-04:00,2.16,2.31,6.84
2019-04-30 07:00:00-04:00,1.55,1.57,1.05
2019-02-05 07:00:00-05:00,1.7,1.72,1.38
2018-10-23 07:00:00-04:00,2.11,2.22,5.33
2018-07-24 07:00:00-04:00,1.78,1.97,10.39
2018-04-24 07:00:00-04:00,1.36,1.39,1.99
2018-01-30 07:00:00-05:00,1.42,1.54,8.61
2017-10-24 07:00:00-04:00,1.5,1.65,9.79
2017-07-25 07:00:00-04:00,1.4,1.43,2.0
2017-04-25 07:00:00-04:00,1.1,1.13,2.42
2017-01-31 07:00:00-05:00,1.22,1.35,10.35
2016-10-25 07:00:00-04:00,1.52,1.63,7.59
2016-07-26 07:00:00-04:00,1.43,1.53,6.81
2016-04-26 07:00:00-04:00,1.07,1.16,8.73
2016-01-28 07:00:00-05:00,1.18,1.31,11.02
2015-10-22 07:00:00-04:00,1.36,1.53,12.55
2015-07-23 07:00:00-04:00,1.36,1.56,14.59
2015-04-23 07:00:00-04:00,1.06,1.12,5.36
2015-01-29 07:00:00-05:00,1.26,1.44,14.2
2014-10-23 07:00:00-04:00,1.52,1.51,-0.41
2014-07-22 07:00:00-04:00,1.51,1.51,0.31
2014-04-22 07:00:00-04:00,1.07,1.08,0.91
2014-01-28 07:00:00-05:00,1.36,1.38,1.51
2013-10-17 07:00:00-04:00,1.6,1.62,1.41
