EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 16:00:00-05:00,0.56,,
2025-10-16 16:00:00-04:00,0.54,0.57,6.05
2025-07-17 16:00:00-04:00,0.47,0.51,8.82
2025-04-15 16:00:00-04:00,0.48,0.47,-2.73
2025-01-21 16:00:00-05:00,0.46,0.51,9.37
2024-10-15 16:00:00-04:00,0.45,0.44,-3.77
2024-07-16 16:00:00-04:00,0.43,0.44,1.2
2024-04-16 16:00:00-04:00,0.41,0.41,0.53
2024-01-16 16:00:00-05:00,0.39,0.38,-1.72
2023-10-17 16:00:00-04:00,0.38,0.39,1.91
2023-07-18 16:00:00-04:00,0.35,0.33,-5.76
2023-04-18 16:00:00-04:00,0.35,0.34,-4.52
2023-01-17 16:00:00-05:00,0.29,0.33,11.18
2022-10-18 16:00:00-04:00,0.24,0.27,13.24
2022-07-19 16:00:00-04:00,0.23,0.21,-6.91
2022-04-19 16:00:00-04:00,0.21,0.21,-0.56
2022-01-18 16:00:00-05:00,0.2,0.21,1.63
2021-10-19 16:00:00-04:00,0.19,0.2,2.36
2021-07-20 16:00:00-04:00,0.21,0.21,-1.68
2021-04-20 16:00:00-04:00,0.23,0.25,8.49
2021-01-19 16:00:00-05:00,0.15,0.17,17.35
2020-10-20 16:00:00-04:00,0.14,0.13,-3.34
2020-07-20 21:00:00-04:00,0.08,0.14,81.04
2020-04-21 16:00:00-04:00,0.17,0.17,2.07
2020-01-21 16:00:00-05:00,0.15,0.14,-3.33
2019-10-15 16:00:00-04:00,0.13,0.11,-12.79
2019-07-16 16:00:00-04:00,0.14,0.11,-21.1
2019-04-16 16:00:00-04:00,0.13,-0.03,-123.48
2019-01-22 16:00:00-05:00,0.15,0.14,-6.25
2018-10-16 16:00:00-04:00,0.13,0.13,1.5
2018-07-17 16:00:00-04:00,0.11,0.1,-7.58
2018-04-17 16:00:00-04:00,0.15,0.16,7.69
2018-01-16 16:00:00-05:00,0.1,0.11,8.04
2017-10-17 16:00:00-04:00,0.09,0.11,16.22
2017-07-18 16:00:00-04:00,0.09,0.08,-10.11
2017-04-18 16:00:00-04:00,0.1,0.09,-11.11
2017-01-17 16:00:00-05:00,0.05,0.02,-64.29
2016-10-18 16:00:00-04:00,0.08,0.08,-6.25
2016-07-19 16:00:00-04:00,0.09,0.1,16.8
2016-04-19 16:00:00-04:00,0.11,0.13,19.53
2016-01-19 16:00:00-05:00,0.07,0.06,-15.73
2015-10-20 16:00:00-04:00,0.09,0.09,-2.78
2015-07-21 16:00:00-04:00,0.09,0.09,4.23
2015-04-21 16:00:00-04:00,-0.02,-0.05,-186.91
2015-01-20 16:00:00-05:00,0.01,0.03,111.71
2014-10-21 16:00:00-04:00,0.06,0.01,-79.17
2014-07-15 16:00:00-04:00,0.07,0.07,-9.31
2014-04-15 16:00:00-04:00,0.07,0.09,17.24
2014-01-21 16:00:00-05:00,0.06,0.02,-70.21
2013-10-15 16:00:00-04:00,0.08,0.08,-4.49
