EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-25 16:00:00-05:00,0.16,,
2025-10-29 16:00:00-04:00,0.15,0.15,0.84
2025-07-30 16:00:00-04:00,0.16,0.16,-2.03
2025-04-30 16:00:00-04:00,0.14,0.17,23.07
2025-02-26 16:00:00-05:00,0.16,0.14,-11.29
2024-10-30 16:00:00-04:00,0.15,0.11,-26.64
2024-07-24 16:00:00-04:00,0.16,0.18,11.56
2024-04-30 16:00:00-04:00,0.16,0.16,3.61
2024-02-13 16:00:00-05:00,0.15,0.13,-8.1
2023-10-25 16:00:00-04:00,0.16,0.13,-17.66
2023-07-26 16:00:00-04:00,0.16,0.15,-5.91
2023-05-01 16:00:00-04:00,0.16,0.2,26.69
2023-02-15 16:00:00-05:00,0.14,0.14,-1.0
2022-10-26 16:00:00-04:00,0.16,0.13,-16.99
2022-07-27 16:00:00-04:00,0.15,0.18,20.98
2022-04-27 16:00:00-04:00,0.27,0.13,-50.11
2022-02-15 16:00:00-05:00,0.12,0.12,-3.61
2021-10-27 16:00:00-04:00,0.08,0.1,30.0
2021-07-28 16:00:00-04:00,0.07,0.09,28.0
2021-04-28 16:00:00-04:00,0.06,0.08,35.67
2021-02-16 16:00:00-05:00,0.05,0.05,-2.4
2020-10-28 16:00:00-04:00,0.04,0.04,-7.75
2020-08-03 16:00:00-04:00,0.06,0.06,-7.83
2020-05-06 17:00:00-04:00,0.06,0.07,17.67
2020-02-18 16:00:00-05:00,0.07,0.06,-16.86
2019-10-29 16:00:00-04:00,0.03,0.02,-28.29
2019-07-30 16:00:00-04:00,0.03,0.03,-1.09
2019-05-06 16:00:00-04:00,0.03,0.04,31.56
2019-02-14 16:00:00-05:00,0.02,0.03,72.77
2018-11-05 06:00:00-05:00,-0.01,,100.0
2018-08-09 16:00:00-04:00,,-0.01,-108.8
2018-05-14 16:00:00-04:00,0.01,-0.01,-180.0
2018-02-21 16:00:00-05:00,0.01,-0.01,-164.21
2017-11-08 16:00:00-05:00,0.04,0.02,-60.0
2017-08-10 07:00:00-04:00,0.02,0.02,-31.42
2017-05-11 22:00:00-04:00,0.01,-0.01,-216.0
2017-03-30 18:00:00-04:00,-0.07,-0.06,13.21
