EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,0.27,,
2025-10-30 07:00:00-04:00,0.59,-0.43,-173.0
2025-07-31 07:00:00-04:00,0.41,0.2,-51.08
2025-04-30 06:00:00-04:00,0.16,-0.24,-253.19
2025-01-30 07:00:00-05:00,0.03,-0.02,-174.99
2024-10-31 07:00:00-04:00,0.25,0.44,74.83
2024-07-24 07:00:00-04:00,0.42,0.55,31.85
2024-04-25 06:00:00-04:00,0.22,0.17,-23.3
2024-02-01 06:00:00-05:00,0.35,0.41,18.84
2023-10-26 06:00:00-04:00,0.58,0.64,10.27
2023-07-27 07:00:00-04:00,0.39,0.59,53.08
2023-04-27 07:00:00-04:00,0.46,0.53,14.4
2023-01-31 07:00:00-05:00,0.69,0.87,25.3
2022-10-27 07:00:00-04:00,1.2,1.01,-16.08
2022-07-28 07:00:00-04:00,1.08,1.24,14.66
2022-04-28 07:00:00-04:00,0.56,0.76,36.61
2022-01-27 07:00:00-05:00,0.89,0.78,-12.42
2021-10-27 07:00:00-04:00,1.44,1.35,-6.55
2021-07-29 07:00:00-04:00,1.05,1.06,1.39
2021-04-29 07:00:00-04:00,0.61,0.76,25.47
2021-02-04 07:00:00-05:00,0.81,0.75,-7.54
2020-10-29 07:00:00-04:00,0.48,0.71,46.8
2020-07-30 07:00:00-04:00,0.4,0.77,93.13
2020-04-30 08:00:00-04:00,0.42,0.57,34.98
2020-01-30 07:00:00-05:00,1.03,1.09,6.02
2019-10-31 05:00:00-04:00,0.99,1.09,10.28
2019-07-25 06:00:00-04:00,1.0,1.15,14.43
2019-04-25 07:00:00-04:00,0.93,1.11,19.62
2019-01-31 06:00:00-05:00,1.59,1.65,3.86
2018-10-25 07:00:00-04:00,1.48,1.56,5.63
2018-07-26 06:00:00-04:00,1.1,1.19,8.31
2018-04-26 06:00:00-04:00,0.89,0.94,5.4
2018-02-01 06:00:00-05:00,1.19,1.27,6.91
2017-10-25 06:00:00-04:00,1.05,1.08,2.81
2017-07-27 06:00:00-04:00,0.65,0.65,0.53
2017-04-27 06:00:00-04:00,0.56,0.6,6.73
2017-02-02 06:00:00-05:00,0.71,0.73,2.17
2016-10-27 06:00:00-04:00,0.93,0.91,-2.45
2016-07-28 06:00:00-04:00,0.84,0.92,9.88
2016-04-27 06:00:00-04:00,0.69,0.8,15.39
2016-02-03 06:00:00-05:00,0.82,0.87,5.76
2015-10-28 06:00:00-04:00,0.91,0.97,6.31
2015-07-29 07:00:00-04:00,0.92,0.97,5.36
2015-04-29 07:00:00-04:00,0.8,0.84,5.19
2015-01-28 07:00:00-05:00,0.48,0.53,11.37
2014-11-04 07:00:00-05:00,0.89,0.95,6.17
2014-07-29 07:00:00-04:00,0.84,0.95,13.71
2014-04-30 07:00:00-04:00,0.54,0.61,13.35
2014-02-04 07:00:00-05:00,0.87,0.83,-4.37
2013-10-24 07:00:00-04:00,0.93,1.05,12.57
