EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-22 16:00:00-05:00,2.24,,
2025-10-21 16:00:00-04:00,1.7,1.95,14.71
2025-07-22 16:00:00-04:00,1.92,2.19,14.08
2025-04-22 16:00:00-04:00,1.73,1.81,4.41
2025-01-23 16:00:00-05:00,1.79,2.21,23.73
2024-10-17 16:00:00-04:00,1.64,1.84,12.25
2024-07-18 16:00:00-04:00,1.54,1.78,15.51
2024-04-18 16:00:00-04:00,1.42,1.5,5.98
2024-01-23 16:00:00-05:00,1.49,1.6,7.72
2023-10-19 16:00:00-04:00,1.42,1.46,3.17
2023-07-20 16:00:00-04:00,1.33,1.42,6.88
2023-04-18 16:00:00-04:00,1.2,1.23,2.83
2023-01-24 16:00:00-05:00,1.25,1.23,-1.89
2022-10-18 16:00:00-04:00,1.12,1.19,6.39
2022-07-21 16:00:00-04:00,1.2,1.14,-4.84
2022-04-21 16:00:00-04:00,1.08,1.13,5.1
2022-01-20 16:00:00-05:00,1.28,1.3,1.56
2021-10-19 14:00:00-04:00,1.16,1.19,2.72
2021-07-20 16:00:00-04:00,1.02,1.31,28.14
2021-04-20 16:00:00-04:00,0.88,1.17,33.69
2021-01-21 16:00:00-05:00,1.04,1.19,15.27
2020-10-15 16:00:00-04:00,0.68,0.92,35.1
2020-07-21 16:00:00-04:00,0.16,0.37,125.47
2020-04-16 17:00:00-04:00,0.85,0.9,5.72
2020-01-23 16:00:00-05:00,1.13,1.16,3.03
2019-10-17 16:00:00-04:00,1.0,1.14,14.82
2019-07-18 16:00:00-04:00,0.96,1.08,13.29
2019-04-18 16:00:00-04:00,0.9,0.87,-3.32
2019-01-24 16:00:00-05:00,1.02,0.99,-3.61
2018-10-18 16:00:00-04:00,0.89,0.94,6.42
2018-07-19 16:00:00-04:00,0.83,0.92,11.0
2018-04-17 16:00:00-04:00,0.69,0.81,18.59
2018-01-25 16:00:00-05:00,0.76,0.85,11.78
2017-10-19 16:00:00-04:00,0.66,0.92,39.38
2017-07-20 16:00:00-04:00,0.64,0.66,2.87
2017-04-18 16:00:00-04:00,0.55,0.57,2.28
2017-01-24 16:00:00-05:00,0.67,0.68,1.72
2016-10-18 16:00:00-04:00,0.57,0.69,19.99
2016-07-19 16:00:00-04:00,0.55,0.62,12.73
2016-04-19 16:00:00-04:00,0.48,0.49,1.97
2016-01-21 16:00:00-05:00,0.56,0.65,17.41
2015-10-20 16:00:00-04:00,0.47,0.58,23.9
2015-07-21 16:00:00-04:00,0.44,0.51,14.7
2015-04-21 16:00:00-04:00,0.43,0.4,-8.21
2015-01-22 16:00:00-05:00,0.49,0.55,11.87
2014-10-21 16:00:00-04:00,0.33,0.35,5.31
2014-07-22 16:00:00-04:00,0.32,0.33,1.75
2014-04-22 16:00:00-04:00,0.36,0.3,-18.47
2014-01-23 16:00:00-05:00,0.43,0.48,11.33
2013-10-17 16:00:00-04:00,0.37,0.37,-0.88
