EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 08:00:00-05:00,2.69,,
2025-10-24 08:00:00-04:00,2.72,2.81,3.48
2025-07-30 08:00:00-04:00,2.57,2.58,0.52
2025-04-30 08:00:00-04:00,2.35,2.38,1.14
2025-02-05 08:00:00-05:00,2.5,2.54,1.53
2024-10-30 08:00:00-04:00,2.53,2.65,4.55
2024-07-30 08:00:00-04:00,2.47,2.54,2.88
2024-04-30 09:00:00-04:00,2.36,2.44,3.32
2024-02-01 09:00:00-05:00,2.41,2.42,0.24
2023-10-24 08:00:00-04:00,2.45,2.55,3.88
2023-08-01 08:00:00-04:00,2.4,2.48,3.28
2023-05-02 08:00:00-04:00,2.22,2.33,4.79
2023-02-02 08:00:00-05:00,2.53,2.34,-7.4
2022-10-25 08:00:00-04:00,2.25,2.35,4.23
2022-08-02 08:00:00-04:00,2.21,2.37,7.08
2022-05-03 08:00:00-04:00,2.07,2.11,1.91
2022-02-03 08:00:00-05:00,1.9,1.93,1.43
2021-10-28 08:00:00-04:00,2.01,2.02,0.39
2021-07-30 08:00:00-04:00,2.09,2.45,17.23
2021-04-30 08:00:00-04:00,1.89,2.11,11.9
2021-02-05 08:00:00-05:00,1.77,2.02,13.82
2020-10-23 08:00:00-04:00,1.45,1.83,26.19
2020-07-31 08:00:00-04:00,0.7,1.01,43.63
2020-05-05 09:00:00-04:00,1.69,1.77,4.65
2020-01-31 08:00:00-05:00,1.86,1.99,7.21
2019-10-25 08:00:00-04:00,1.95,1.97,1.26
2019-07-26 08:00:00-04:00,1.98,1.91,-3.49
2019-04-25 08:00:00-04:00,1.82,1.81,-0.63
2019-02-01 08:00:00-05:00,1.82,1.83,0.53
2018-10-24 08:00:00-04:00,1.88,1.9,0.97
2018-07-23 08:00:00-04:00,1.97,1.97,0.1
2018-04-26 08:00:00-04:00,1.86,1.9,2.39
2018-01-24 08:00:00-05:00,1.61,1.7,5.48
2017-10-23 08:00:00-04:00,1.65,1.85,12.28
2017-07-24 08:00:00-04:00,1.64,1.66,1.51
2017-04-24 08:00:00-04:00,1.45,1.54,6.32
2017-01-25 08:00:00-05:00,1.37,1.45,5.52
2016-10-20 08:00:00-04:00,1.49,1.5,0.63
2016-07-20 08:00:00-04:00,1.4,1.46,4.32
2016-04-20 08:00:00-04:00,1.26,1.29,2.54
2016-01-27 08:00:00-05:00,1.21,1.23,1.7
2015-10-21 08:00:00-04:00,1.36,1.39,2.07
2015-07-22 08:00:00-04:00,1.28,1.3,1.45
2015-04-21 08:00:00-04:00,1.17,1.21,3.2
2015-01-27 08:00:00-05:00,1.13,1.18,4.5
2014-10-21 08:00:00-04:00,1.23,1.28,3.94
2014-07-29 08:00:00-04:00,1.2,1.21,0.81
2014-04-22 08:00:00-04:00,0.98,1.11,13.75
2014-01-28 08:00:00-05:00,0.91,0.92,0.79
2013-10-21 19:00:00-04:00,0.92,0.99,7.3
