EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,1.51,,
2025-11-20 06:00:00-05:00,1.68,1.75,4.18
2025-08-05 06:00:00-04:00,1.54,1.62,5.44
2025-05-06 06:00:00-04:00,1.38,1.43,3.54
2025-02-04 06:00:00-05:00,1.26,1.33,5.74
2024-11-19 06:00:00-05:00,1.37,1.37,-0.34
2024-08-06 06:00:00-04:00,1.96,1.96,-0.1
2024-05-07 06:00:00-04:00,1.86,1.91,2.86
2024-02-06 06:00:00-05:00,1.56,2.02,29.55
2023-11-21 06:00:00-05:00,2.02,1.9,-5.79
2023-08-08 06:00:00-04:00,1.82,1.82,-0.02
2023-05-09 06:00:00-04:00,1.78,1.81,1.79
2023-02-07 06:00:00-05:00,1.61,1.67,3.67
2022-11-21 06:00:00-05:00,1.77,1.8,1.54
2022-08-01 06:00:00-04:00,1.8,1.86,3.4
2022-05-03 06:00:00-04:00,1.68,1.72,2.3
2022-02-08 06:00:00-05:00,1.58,1.56,-1.2
2021-11-23 06:00:00-05:00,1.57,1.58,0.51
2021-08-03 06:00:00-04:00,1.52,1.64,7.62
2021-05-10 06:00:00-04:00,1.39,1.66,19.55
2021-02-09 06:00:00-05:00,1.29,1.41,9.44
2020-11-24 06:00:00-05:00,1.32,1.63,23.22
2020-08-03 08:00:00-04:00,1.01,1.26,24.33
2020-05-06 17:00:00-04:00,1.31,1.39,6.41
2020-02-04 06:00:00-05:00,1.19,1.2,0.94
2019-11-25 01:00:00-05:00,1.31,1.48,13.37
2019-08-05 06:00:00-04:00,1.24,1.4,13.29
2019-05-07 06:00:00-04:00,1.09,1.19,9.13
2019-02-06 06:00:00-05:00,1.05,1.14,8.98
2018-11-20 06:00:00-05:00,1.24,1.31,5.71
2018-08-06 06:00:00-04:00,1.21,1.35,11.97
2018-05-08 06:00:00-04:00,0.87,1.0,14.58
2018-02-07 06:00:00-05:00,0.74,0.77,3.89
2017-11-21 06:00:00-05:00,0.82,0.98,19.64
2017-08-08 06:00:00-04:00,0.79,0.79,
2017-05-09 06:00:00-04:00,0.71,0.78,9.37
2017-02-08 06:00:00-05:00,0.63,0.68,8.09
2016-11-22 06:00:00-05:00,0.77,0.77,-0.36
2016-08-09 06:00:00-04:00,0.75,0.78,4.45
2016-05-05 07:00:00-04:00,0.68,0.75,10.21
2016-02-03 08:00:00-05:00,0.69,0.78,13.44
2015-11-23 07:00:00-05:00,0.76,0.8,4.59
2015-07-28 07:00:00-04:00,0.74,0.97,30.56
2015-04-28 07:00:00-04:00,0.78,0.72,-7.62
2015-01-28 21:00:00-05:00,0.78,0.77,-1.51
2014-11-17 23:00:00-05:00,0.87,0.88,1.72
2014-07-28 22:00:00-04:00,0.87,0.84,-3.0
2014-04-28 22:00:00-04:00,0.89,0.82,-8.06
2014-01-22 21:00:00-05:00,0.72,0.71,-1.79
2013-11-18 22:00:00-05:00,0.88,0.84,-4.31
