EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 16:00:00-05:00,1.39,,
2025-11-04 16:00:00-05:00,1.65,1.86,12.81
2025-08-19 16:00:00-04:00,1.5,1.56,4.08
2025-05-06 16:00:00-04:00,1.33,1.45,8.66
2025-02-04 16:00:00-05:00,1.32,1.35,2.09
2024-11-05 16:00:00-05:00,1.6,1.59,-0.17
2024-08-20 16:00:00-04:00,1.3,1.33,1.56
2024-05-07 16:00:00-04:00,1.16,1.19,2.93
2024-02-06 16:00:00-05:00,1.13,1.22,7.81
2023-11-07 16:00:00-05:00,1.33,1.53,14.61
2023-08-15 16:00:00-04:00,1.18,1.34,13.16
2023-05-02 16:00:00-04:00,1.1,1.12,1.86
2023-02-07 16:00:00-05:00,1.11,1.1,-0.63
2022-11-08 16:00:00-05:00,1.4,1.46,4.61
2022-08-16 16:00:00-04:00,1.0,1.1,9.56
2022-05-03 16:00:00-04:00,1.06,1.16,9.44
2022-02-08 16:00:00-05:00,1.12,1.3,15.7
2021-11-08 16:00:00-05:00,1.32,1.38,4.89
2021-08-17 16:00:00-04:00,0.92,1.04,12.55
2021-05-03 17:00:00-04:00,0.85,0.95,11.22
2021-02-08 16:00:00-05:00,0.87,0.94,8.33
2020-11-04 16:00:00-05:00,1.05,1.19,12.89
2020-08-18 16:00:00-04:00,0.78,0.8,1.97
2020-05-04 18:00:00-04:00,0.8,0.96,19.59
2020-02-04 16:00:00-05:00,0.89,0.94,5.52
2019-11-04 16:00:00-05:00,1.04,1.16,11.54
2019-08-20 16:00:00-04:00,0.77,0.79,3.08
2019-04-30 16:00:00-04:00,0.76,0.77,0.71
2019-02-05 16:00:00-05:00,0.85,0.88,3.66
2018-11-06 16:00:00-05:00,0.94,1.08,15.17
2018-08-21 16:00:00-04:00,0.96,1.1,15.03
2018-05-01 16:00:00-04:00,0.86,0.93,8.0
2018-02-06 16:00:00-05:00,0.81,0.8,-0.69
2017-11-07 16:00:00-05:00,0.79,0.82,4.17
2017-08-15 16:00:00-04:00,0.83,0.82,-1.19
2017-05-02 16:00:00-04:00,0.72,0.77,6.73
2017-02-07 16:00:00-05:00,0.74,0.75,1.35
2016-11-07 16:00:00-05:00,0.7,0.79,12.17
2016-08-16 17:00:00-04:00,0.8,0.84,4.63
2016-05-03 16:00:00-04:00,0.67,0.68,2.06
2016-02-02 16:00:00-05:00,0.67,0.74,10.24
2015-11-04 16:00:00-05:00,0.61,0.64,4.28
2015-08-25 17:00:00-04:00,0.68,0.75,10.29
2015-05-06 17:00:00-04:00,0.62,0.63,2.44
2015-02-03 20:00:00-05:00,0.68,0.72,6.27
2014-11-04 16:00:00-05:00,0.63,0.64,1.19
2014-08-12 16:00:00-04:00,0.6,0.6,
2014-04-30 16:00:00-04:00,0.56,0.55,-0.9
2014-02-04 16:00:00-05:00,0.6,0.61,1.84
2013-11-05 16:00:00-05:00,0.57,0.58,1.93
