EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 08:00:00-05:00,0.9,,
2025-10-30 08:00:00-04:00,0.87,0.94,8.49
2025-07-31 08:00:00-04:00,0.99,0.94,-5.42
2025-05-01 08:00:00-04:00,0.96,0.87,-9.14
2025-02-06 08:00:00-05:00,0.84,1.04,24.11
2024-10-31 08:00:00-04:00,0.85,1.05,24.11
2024-08-01 08:00:00-04:00,0.9,1.01,12.36
2024-05-02 08:00:00-04:00,0.85,1.01,18.18
2024-02-08 08:00:00-05:00,0.74,0.78,5.11
2023-11-08 08:00:00-05:00,0.92,1.03,11.62
2023-08-03 08:00:00-04:00,1.11,1.25,13.08
2023-05-04 08:00:00-04:00,1.0,1.1,10.39
2023-02-09 08:00:00-05:00,0.85,0.94,11.23
2022-11-03 08:00:00-04:00,0.98,1.01,3.14
2022-08-04 16:00:00-04:00,1.03,0.95,-7.95
2022-05-05 08:00:00-04:00,0.93,1.1,18.28
2022-02-10 08:00:00-05:00,0.79,0.83,5.54
2021-11-04 08:00:00-04:00,0.94,1.09,16.49
2021-08-05 08:00:00-04:00,1.03,1.14,10.73
2021-05-07 16:00:00-04:00,1.05,1.11,5.79
2021-02-11 08:00:00-05:00,0.88,0.86,-2.79
2020-10-30 16:00:00-04:00,0.88,0.91,3.4
2020-07-30 08:00:00-04:00,0.94,1.24,31.97
2020-05-01 16:00:00-04:00,0.97,1.0,3.42
2020-02-06 08:00:00-05:00,0.86,0.91,6.33
2019-10-30 16:00:00-04:00,0.97,1.03,6.51
2019-08-01 08:00:00-04:00,0.92,0.99,8.09
2019-05-02 08:00:00-04:00,0.95,1.01,6.39
2019-02-07 08:00:00-05:00,0.89,0.91,2.76
2018-10-31 08:00:00-04:00,1.07,1.06,-0.48
2018-08-02 08:00:00-04:00,1.05,1.14,8.52
2018-05-03 08:00:00-04:00,1.08,1.23,14.13
2018-02-08 08:00:00-05:00,0.96,0.96,0.31
2017-10-31 08:00:00-04:00,0.94,1.05,11.62
2017-08-03 08:00:00-04:00,0.92,0.97,5.48
2017-05-04 08:00:00-04:00,0.99,1.06,6.69
2017-02-09 08:00:00-05:00,0.85,0.92,8.03
2016-11-01 08:00:00-04:00,0.87,0.96,10.4
2016-08-04 08:00:00-04:00,0.91,0.91,0.27
2016-05-05 08:00:00-04:00,0.94,0.97,3.27
2016-02-11 08:00:00-05:00,0.75,0.79,5.97
2015-11-03 08:00:00-05:00,0.84,0.85,1.27
2015-08-04 08:00:00-04:00,0.92,0.92,0.28
2015-05-05 08:00:00-04:00,0.91,0.98,7.1
2015-02-12 08:00:00-05:00,0.93,0.84,-9.28
2014-10-30 08:00:00-04:00,0.92,0.94,2.08
2014-07-31 08:00:00-04:00,1.02,1.02,0.23
2014-05-01 08:00:00-04:00,0.97,1.01,3.9
2014-02-06 08:00:00-05:00,0.82,0.83,1.07
2013-11-04 08:00:00-05:00,0.89,0.95,6.22
