EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 08:00:00-05:00,0.38,,
2025-10-16 06:00:00-04:00,0.38,0.41,7.6
2025-07-22 06:00:00-04:00,0.34,0.35,1.9
2025-04-17 06:00:00-04:00,0.32,0.33,4.05
2025-01-21 06:00:00-05:00,0.33,0.38,16.71
2024-10-17 06:00:00-04:00,0.22,-0.47,-309.38
2024-07-18 06:00:00-04:00,0.24,0.25,3.49
2024-04-18 06:00:00-04:00,0.23,0.2,-11.55
2024-01-18 06:00:00-05:00,0.23,0.03,-86.95
2023-10-19 06:00:00-04:00,0.27,0.29,7.5
2023-07-20 06:00:00-04:00,0.32,0.27,-14.99
2023-04-20 06:00:00-04:00,0.43,0.3,-30.35
2023-01-19 06:00:00-05:00,0.55,0.38,-30.5
2022-10-20 06:00:00-04:00,0.59,0.55,-6.05
2022-07-21 06:00:00-04:00,0.52,0.54,4.65
2022-04-21 06:00:00-04:00,0.49,0.45,-7.61
2022-01-20 06:00:00-05:00,0.57,0.64,13.19
2021-10-21 06:00:00-04:00,0.57,0.65,14.98
2021-07-20 06:00:00-04:00,0.54,0.72,33.06
2021-04-20 06:00:00-04:00,0.48,0.61,27.52
2021-01-21 06:00:00-05:00,0.43,0.56,30.73
2020-10-21 06:00:00-04:00,0.36,0.41,14.16
2020-07-22 06:00:00-04:00,0.13,0.16,25.64
2020-04-16 07:00:00-04:00,0.33,0.12,-63.46
2020-01-23 06:00:00-05:00,0.48,0.48,-1.01
2019-10-17 06:00:00-04:00,0.46,0.48,3.52
2019-07-23 06:00:00-04:00,0.44,0.44,-0.51
2019-04-18 06:00:00-04:00,0.42,0.4,-3.74
2019-01-17 06:00:00-05:00,0.47,0.48,1.42
2018-10-18 06:00:00-04:00,0.45,0.45,0.85
2018-07-19 06:00:00-04:00,0.42,0.43,4.36
2018-04-19 06:00:00-04:00,0.38,0.38,0.03
2018-01-18 06:00:00-05:00,0.36,0.36,0.07
2017-10-19 06:00:00-04:00,0.35,0.35,-1.16
2017-07-20 06:00:00-04:00,0.34,0.34,0.9
2017-04-20 06:00:00-04:00,0.28,0.32,14.35
2017-01-19 06:00:00-05:00,0.29,0.31,6.54
2016-10-25 06:00:00-04:00,0.26,0.3,13.63
2016-07-26 06:00:00-04:00,0.28,0.27,-2.32
2016-04-21 06:00:00-04:00,0.25,0.24,-5.36
2016-01-21 06:00:00-05:00,0.28,0.28,-0.51
2015-10-15 06:00:00-04:00,0.27,0.27,0.51
2015-07-16 06:00:00-04:00,0.28,0.27,-3.09
2015-04-16 06:00:00-04:00,0.27,0.26,-2.14
2015-01-22 06:00:00-05:00,0.26,0.29,11.6
2014-10-15 06:00:00-04:00,0.26,0.26,0.38
2014-07-17 06:00:00-04:00,0.26,0.27,5.12
2014-04-17 06:00:00-04:00,0.24,0.26,7.89
2014-01-23 06:00:00-05:00,0.25,0.28,14.06
2013-10-16 06:00:00-04:00,0.23,0.28,23.89
