EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-17 16:00:00-05:00,2.2,,
2025-09-18 17:00:00-04:00,2.09,2.0,-4.52
2025-06-16 17:00:00-04:00,1.94,1.9,-1.96
2025-03-20 17:00:00-04:00,1.71,2.14,24.86
2024-12-18 16:00:00-05:00,4.12,4.03,-2.29
2024-09-19 16:00:00-04:00,3.62,3.9,7.73
2024-06-17 16:00:00-04:00,3.23,3.38,4.74
2024-03-13 16:00:00-04:00,2.22,2.61,17.57
2023-12-14 16:00:00-05:00,4.6,5.17,12.4
2023-09-13 22:00:00-04:00,3.53,3.91,10.71
2023-06-14 16:00:00-04:00,2.32,2.94,26.91
2023-03-14 16:00:00-04:00,1.55,2.12,37.04
2022-12-14 17:00:00-05:00,4.9,5.02,2.43
2022-09-21 16:00:00-04:00,4.86,5.18,6.48
2022-06-21 06:00:00-04:00,3.95,4.69,18.63
2022-03-16 16:00:00-04:00,2.58,2.7,4.83
2021-12-15 16:00:00-05:00,4.15,4.36,5.08
2021-09-20 16:00:00-04:00,3.27,3.27,0.06
2021-06-16 16:00:00-04:00,2.38,2.95,24.03
2021-03-16 16:00:00-04:00,1.74,2.04,17.06
2020-12-16 17:00:00-05:00,2.36,2.82,19.38
2020-09-14 17:00:00-04:00,1.58,2.12,34.34
2020-06-15 16:00:00-04:00,1.22,1.65,34.89
2020-03-19 06:00:00-04:00,0.84,1.27,51.09
2020-01-08 06:00:00-05:00,1.9,2.13,11.97
2019-10-02 06:00:00-04:00,1.32,1.59,20.69
2019-06-25 06:00:00-04:00,1.14,1.3,14.1
2019-03-27 06:00:00-04:00,0.76,0.74,-2.95
2019-01-09 06:00:00-05:00,1.95,1.96,0.65
2018-10-03 06:00:00-04:00,1.42,1.61,13.58
2018-06-26 06:00:00-04:00,1.28,1.58,23.12
2018-04-04 06:00:00-04:00,0.82,1.11,34.57
2018-01-10 06:00:00-05:00,1.47,1.29,-12.06
2017-10-03 06:00:00-04:00,0.99,1.04,5.31
2017-06-20 06:00:00-04:00,0.77,0.89,15.55
2017-03-21 06:00:00-04:00,0.56,0.55,-1.66
2016-12-19 06:00:00-05:00,1.25,1.31,5.43
2016-09-20 06:00:00-04:00,0.88,0.99,13.11
2016-06-21 06:00:00-04:00,0.85,0.93,9.5
2016-03-29 06:00:00-04:00,0.51,0.62,21.6
2015-12-18 06:00:00-05:00,1.1,1.19,7.59
2015-09-21 06:00:00-04:00,0.77,0.94,21.66
2015-06-24 06:00:00-04:00,0.63,0.77,23.3
2015-03-19 06:00:00-04:00,0.44,0.49,11.29
2015-01-15 06:00:00-05:00,0.94,1.05,11.14
2014-09-17 06:00:00-04:00,0.66,0.76,16.21
2014-06-26 06:00:00-04:00,0.5,0.6,19.23
2014-03-20 06:00:00-04:00,0.27,0.34,26.28
2013-12-18 06:00:00-05:00,0.61,0.72,17.09
2013-09-24 06:00:00-04:00,0.45,0.82,82.43
