EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 08:00:00-05:00,3.94,,
2025-10-28 06:00:00-04:00,4.14,4.18,1.01
2025-07-24 06:00:00-04:00,4.18,4.35,4.09
2025-04-29 06:00:00-04:00,3.73,3.84,2.82
2025-02-06 06:00:00-05:00,3.39,3.45,1.71
2024-10-24 06:00:00-04:00,3.49,3.5,0.23
2024-08-01 06:00:00-04:00,3.77,3.94,4.49
2024-04-25 06:00:00-04:00,3.48,3.68,5.65
2024-02-15 06:00:00-05:00,3.26,3.3,1.27
2023-10-26 06:00:00-04:00,3.33,3.38,1.54
2023-07-27 06:00:00-04:00,3.45,3.42,-0.97
2023-04-25 06:00:00-04:00,3.96,3.82,-3.56
2023-02-16 07:00:00-05:00,4.14,4.14,0.11
2022-10-27 07:00:00-04:00,4.68,4.68,0.04
2022-07-28 07:00:00-04:00,4.68,4.96,5.9
2022-04-28 06:00:00-04:00,6.0,6.11,1.81
2022-02-10 07:00:00-05:00,6.0,6.77,12.87
2021-10-28 06:00:00-04:00,4.92,6.82,38.63
2021-07-29 07:00:00-04:00,5.62,6.13,8.98
2021-04-29 06:00:00-04:00,7.49,8.79,17.41
2021-02-11 06:00:00-05:00,8.07,10.56,30.88
2020-10-27 06:00:00-04:00,5.32,8.41,58.06
2020-07-28 06:00:00-04:00,0.99,2.57,158.81
2020-04-29 07:00:00-04:00,1.95,2.37,21.57
2020-02-13 06:00:00-05:00,2.8,2.86,2.13
2019-10-24 06:00:00-04:00,2.85,2.9,1.84
2019-07-25 07:00:00-04:00,2.92,2.93,0.33
2019-04-30 06:00:00-04:00,2.54,2.62,3.34
2019-02-07 06:00:00-05:00,2.49,2.52,1.24
2018-10-24 06:00:00-04:00,2.89,2.74,-5.1
2018-07-25 06:00:00-04:00,2.92,2.98,1.9
2018-04-25 07:00:00-04:00,2.63,2.78,5.74
2018-02-06 06:00:00-05:00,2.38,2.45,3.07
2017-10-25 06:00:00-04:00,2.39,2.46,3.07
2017-07-26 06:00:00-04:00,2.41,2.47,2.68
2017-04-25 06:00:00-04:00,2.2,2.22,1.09
2017-02-16 06:00:00-05:00,2.13,2.15,0.85
2016-10-26 06:00:00-04:00,2.29,2.25,-1.81
2016-07-27 06:00:00-04:00,2.3,2.31,0.61
2016-04-25 06:00:00-04:00,1.96,2.02,3.05
2016-02-18 06:00:00-05:00,2.0,1.98,-1.04
2015-10-26 06:00:00-04:00,2.06,2.07,0.32
2015-07-28 07:00:00-04:00,2.03,2.09,2.75
2015-04-27 06:00:00-04:00,1.63,1.73,6.31
2015-02-20 07:00:00-05:00,1.64,1.65,0.91
2014-10-28 06:00:00-04:00,1.75,1.8,2.86
2014-07-18 06:00:00-04:00,1.77,1.84,3.87
2014-04-28 07:00:00-04:00,1.58,1.51,-4.56
2014-02-07 07:00:00-05:00,1.65,1.61,-2.7
2013-10-18 06:00:00-04:00,1.8,1.8,0.19
