EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 08:00:00-05:00,7.16,,
2025-10-30 06:00:00-04:00,5.89,7.02,19.15
2025-08-07 06:00:00-04:00,5.59,6.31,12.89
2025-05-01 06:00:00-04:00,3.54,3.34,-5.73
2025-02-06 06:00:00-05:00,5.01,4.88,-2.59
2024-10-30 06:00:00-04:00,1.47,1.18,-19.52
2024-08-08 07:00:00-04:00,2.77,3.92,41.68
2024-04-30 06:00:00-04:00,2.49,2.58,3.67
2024-02-06 06:00:00-05:00,2.37,2.49,5.14
2023-11-02 06:00:00-04:00,-0.12,0.1,181.53
2023-08-08 06:00:00-04:00,1.99,2.11,5.92
2023-04-27 06:00:00-04:00,1.73,1.62,-6.33
2023-02-02 06:00:00-05:00,1.83,2.09,14.11
2022-11-01 06:00:00-04:00,1.94,1.98,2.07
2022-08-04 06:00:00-04:00,1.7,1.25,-26.31
2022-04-28 06:00:00-04:00,2.29,2.62,14.43
2022-02-03 06:00:00-05:00,2.51,2.49,-0.67
2021-10-26 06:00:00-04:00,1.96,1.94,-1.25
2021-08-03 06:00:00-04:00,1.89,1.87,-1.03
2021-04-27 06:00:00-04:00,2.1,1.87,-10.87
2021-01-29 06:00:00-05:00,2.39,2.75,15.06
2020-10-27 06:00:00-04:00,1.71,1.54,-10.03
2020-07-30 06:00:00-04:00,1.6,1.89,18.12
2020-04-23 06:00:00-04:00,1.48,1.75,17.91
2020-01-30 06:00:00-05:00,1.52,1.73,13.9
2019-10-23 06:00:00-04:00,1.41,1.48,4.8
2019-07-30 06:00:00-04:00,1.45,1.5,3.65
2019-04-30 06:00:00-04:00,1.33,1.33,-0.14
2019-02-06 06:00:00-05:00,1.33,1.33,-0.28
2018-11-06 06:00:00-05:00,1.35,1.39,3.31
2018-07-24 06:00:00-04:00,1.3,1.5,15.79
2018-04-24 06:00:00-04:00,1.13,1.34,18.28
2018-01-31 06:00:00-05:00,1.07,1.14,6.22
2017-10-24 06:00:00-04:00,1.03,1.05,2.02
2017-07-25 06:00:00-04:00,1.05,1.11,5.41
2017-04-25 06:00:00-04:00,0.96,0.98,1.76
2017-01-31 06:00:00-05:00,0.98,0.95,-3.4
2016-10-25 06:00:00-04:00,0.96,0.88,-8.31
2016-07-26 06:00:00-04:00,0.86,0.86,0.4
2016-04-26 06:00:00-04:00,0.85,0.83,-2.01
2016-01-28 06:00:00-05:00,0.78,0.78,-0.47
2015-10-22 06:00:00-04:00,0.76,0.89,16.74
2015-07-23 06:00:00-04:00,0.74,0.9,22.12
2015-04-23 06:00:00-04:00,0.74,0.87,17.4
2015-01-30 06:00:00-05:00,0.73,0.75,2.46
2014-10-23 06:00:00-04:00,0.67,0.66,-1.19
2014-07-24 06:00:00-04:00,0.65,0.68,4.3
2014-04-24 06:00:00-04:00,0.7,0.7,0.36
2014-01-30 06:00:00-05:00,0.74,0.74,-0.41
2013-10-23 06:00:00-04:00,1.03,1.11,7.39
