EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-30 08:00:00-05:00,0.52,,
2025-10-31 06:00:00-04:00,0.8,-2.77,-445.69
2025-08-01 06:00:00-04:00,0.78,0.62,-20.83
2025-04-25 06:00:00-04:00,0.43,0.33,-24.02
2025-01-31 06:00:00-05:00,0.7,0.75,6.81
2024-11-01 06:00:00-04:00,1.96,1.88,-4.28
2024-08-02 06:00:00-04:00,2.22,2.24,0.81
2024-04-26 06:00:00-04:00,1.37,1.53,11.31
2024-02-02 06:00:00-05:00,1.34,1.26,-5.85
2023-10-27 06:00:00-04:00,2.01,2.46,22.29
2023-08-04 06:00:00-04:00,2.3,2.44,6.14
2023-04-28 06:00:00-04:00,1.74,2.5,43.78
2023-02-03 06:00:00-05:00,1.27,1.29,1.69
2022-10-28 06:00:00-04:00,2.93,1.96,-33.2
2022-07-29 06:00:00-04:00,4.7,5.19,10.41
2022-04-29 06:00:00-04:00,3.55,4.0,12.79
2022-01-28 06:00:00-05:00,3.92,2.2,-43.77
2021-10-29 06:00:00-04:00,5.73,5.25,-8.33
2021-07-30 14:00:00-04:00,5.62,6.12,8.84
2021-04-30 06:00:00-04:00,2.65,3.2,20.68
2021-01-29 06:00:00-05:00,1.33,2.19,64.49
2020-10-30 06:00:00-04:00,1.13,1.27,12.01
2020-07-31 06:00:00-04:00,0.69,0.68,-1.65
2020-05-01 07:00:00-04:00,1.44,1.47,2.42
2020-01-31 02:00:00-05:00,2.25,1.91,-15.17
2019-11-01 06:00:00-04:00,2.76,2.6,-5.71
2019-08-02 06:00:00-04:00,2.84,2.74,-3.49
2019-04-26 07:00:00-04:00,2.19,2.22,1.37
2019-02-01 07:00:00-05:00,2.3,1.83,-20.35
2018-10-30 06:00:00-04:00,2.68,2.96,10.56
2018-08-03 06:00:00-04:00,2.9,3.34,15.03
2018-04-27 06:00:00-04:00,2.77,3.11,12.09
2018-02-02 06:00:00-05:00,2.56,2.73,6.46
2017-10-27 06:00:00-04:00,2.47,2.42,-1.83
2017-07-28 06:00:00-04:00,2.68,2.82,5.34
2017-04-28 06:00:00-04:00,2.36,2.26,-4.11
2017-02-03 06:00:00-05:00,2.14,1.94,-9.3
2016-11-01 06:00:00-04:00,2.32,2.31,-0.54
2016-07-29 07:00:00-04:00,2.51,2.45,-2.35
2016-04-22 07:00:00-04:00,2.28,2.3,0.88
2016-02-02 07:00:00-05:00,2.13,2.2,3.04
2015-10-23 07:00:00-04:00,2.58,2.8,8.66
2015-07-28 07:00:00-04:00,2.7,2.79,3.34
2015-04-24 07:00:00-04:00,2.0,2.55,27.62
2015-02-03 07:00:00-05:00,2.16,2.48,15.05
2014-10-24 06:00:00-04:00,2.3,2.51,9.36
2014-07-25 06:00:00-04:00,1.93,2.22,15.27
2014-04-29 06:00:00-04:00,1.73,1.63,-6.02
2014-01-31 07:00:00-05:00,1.4,2.13,52.45
2013-10-29 07:00:00-04:00,1.59,1.51,-4.91
