EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-05 16:00:00-05:00,0.37,,
2025-11-06 16:00:00-05:00,0.33,0.35,4.93
2025-08-07 16:00:00-04:00,-0.09,-0.09,4.63
2025-05-08 16:00:00-04:00,0.1,0.11,5.3
2025-02-06 16:00:00-05:00,0.28,0.2,-28.22
2024-11-05 16:00:00-05:00,0.43,0.46,5.96
2024-08-01 16:00:00-04:00,0.52,0.53,1.55
2024-05-06 16:00:00-04:00,0.22,0.28,28.21
2024-02-01 16:00:00-05:00,1.06,1.08,1.57
2023-11-02 16:00:00-04:00,1.61,1.62,0.33
2023-08-03 16:00:00-04:00,1.16,1.21,4.48
2023-05-04 16:00:00-04:00,1.61,1.64,1.78
2023-02-02 16:00:00-05:00,1.07,1.04,-2.41
2022-11-03 16:00:00-04:00,0.96,0.98,1.8
2022-08-02 16:00:00-04:00,1.34,1.37,2.4
2022-05-09 16:00:00-04:00,1.25,1.35,7.94
2022-02-03 16:00:00-05:00,1.17,1.2,2.36
2021-11-04 16:00:00-04:00,1.06,1.07,1.01
2021-08-03 16:00:00-04:00,0.95,0.99,3.8
2021-05-06 16:00:00-04:00,0.87,0.93,6.3
2021-02-04 15:00:00-05:00,0.79,0.81,2.23
2020-11-05 16:00:00-05:00,0.72,0.78,9.01
2020-08-04 16:00:00-04:00,0.72,0.78,8.66
2020-05-07 17:00:00-04:00,0.68,0.73,7.92
2020-02-04 16:00:00-05:00,0.63,0.66,4.43
2019-11-05 16:00:00-05:00,0.72,0.72,-0.48
2019-08-06 16:00:00-04:00,0.69,0.71,1.84
2019-05-07 20:00:00-04:00,0.7,0.74,5.62
2019-02-05 16:00:00-05:00,0.79,0.83,5.67
2018-11-07 16:00:00-05:00,0.86,0.91,4.69
2018-08-09 16:00:00-04:00,0.74,0.81,8.68
2018-05-08 08:00:00-04:00,0.67,0.7,3.92
2018-02-06 16:00:00-05:00,0.68,0.68,0.46
2017-11-06 16:00:00-05:00,0.68,0.71,4.04
2017-08-03 16:00:00-04:00,0.62,0.66,5.95
2017-05-09 16:00:00-04:00,0.53,0.58,9.0
2017-02-07 16:00:00-05:00,0.45,0.53,16.3
2016-11-07 16:00:00-05:00,0.44,0.47,7.66
2016-08-08 16:00:00-04:00,0.37,0.42,12.34
2016-05-04 16:00:00-04:00,0.34,0.35,2.99
2016-02-03 16:00:00-05:00,0.31,0.32,3.73
2015-11-04 16:00:00-05:00,0.31,0.33,5.32
2015-08-03 16:00:00-04:00,0.36,0.35,-2.92
2015-05-07 16:00:00-04:00,0.33,0.34,2.63
2015-01-29 16:00:00-05:00,0.31,0.32,3.35
2014-10-30 16:00:00-04:00,0.34,0.34,-1.6
2014-07-31 16:00:00-04:00,0.33,0.34,2.26
2014-05-06 16:00:00-04:00,0.31,0.32,4.21
2014-01-30 16:00:00-05:00,0.3,0.31,2.59
2013-10-30 16:00:00-04:00,0.3,0.32,4.56
