EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-10-29 16:00:00-04:00,6.7,,
2025-07-30 16:00:00-04:00,5.9,7.14,20.96
2025-04-30 16:00:00-04:00,5.21,6.43,23.53
2025-01-29 16:00:00-05:00,6.74,8.02,19.0
2024-10-30 16:00:00-04:00,5.29,6.03,13.94
2024-07-31 16:00:00-04:00,4.78,5.16,7.9
2024-04-24 16:00:00-04:00,4.32,4.71,8.92
2024-02-01 16:00:00-05:00,4.94,5.33,7.88
2023-10-25 16:00:00-04:00,3.6,4.39,21.96
2023-07-26 16:00:00-04:00,2.87,2.98,3.77
2023-04-26 16:00:00-04:00,1.98,2.2,11.2
2023-02-01 16:00:00-05:00,2.24,1.76,-21.53
2022-10-26 16:00:00-04:00,1.86,1.64,-12.06
2022-07-27 16:00:00-04:00,2.55,2.46,-3.56
2022-04-27 16:00:00-04:00,2.53,2.72,7.57
2022-02-02 16:00:00-05:00,3.83,3.67,-4.06
2021-10-25 16:00:00-04:00,3.18,3.22,1.32
2021-07-28 16:00:00-04:00,3.06,3.61,17.94
2021-04-28 16:00:00-04:00,2.34,3.3,40.92
2021-01-27 16:00:00-05:00,3.24,3.88,19.91
2020-10-29 16:00:00-04:00,1.91,2.4,25.57
2020-07-30 16:00:00-04:00,1.37,1.8,31.2
2020-04-29 17:00:00-04:00,1.7,1.71,0.38
2020-01-29 16:00:00-05:00,2.57,2.56,-0.34
2019-10-30 16:00:00-04:00,1.91,2.12,10.84
