EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-11 16:00:00-05:00,0.49,,
2025-10-29 16:00:00-04:00,0.3,0.24,-19.85
2025-07-30 16:00:00-04:00,0.55,0.79,44.03
2025-04-30 16:00:00-04:00,0.45,0.69,54.32
2025-02-12 16:00:00-05:00,0.34,0.45,32.96
2024-10-30 16:00:00-04:00,0.61,0.54,-11.03
2024-07-31 16:00:00-04:00,0.59,0.86,46.29
2024-05-01 16:00:00-04:00,0.58,0.74,28.57
2024-02-13 16:00:00-05:00,0.71,1.06,49.72
2023-11-08 16:00:00-05:00,0.49,0.64,29.92
2023-08-02 16:00:00-04:00,0.52,0.59,13.94
2023-05-01 16:00:00-04:00,0.16,0.44,169.54
2023-02-08 16:00:00-05:00,-1.57,-1.53,2.25
2022-11-02 16:00:00-04:00,0.13,-1.39,-1153.35
2022-08-03 16:00:00-04:00,0.33,0.03,-90.89
2022-05-02 16:00:00-04:00,-0.05,0.01,122.08
2022-02-09 16:00:00-05:00,0.02,0.12,663.84
2021-11-03 16:00:00-04:00,-0.03,0.03,192.11
2021-08-04 16:00:00-04:00,-0.37,-0.13,64.93
2021-04-28 16:00:00-04:00,-0.87,-0.68,21.59
2021-02-10 16:00:00-05:00,-0.94,-0.9,4.11
2020-10-29 16:00:00-04:00,-1.02,-1.08,-5.56
2020-07-30 16:00:00-04:00,-1.7,-1.52,10.59
2020-04-30 17:00:00-04:00,-0.42,-0.45,-6.74
2020-02-12 16:00:00-05:00,0.27,0.08,-70.01
2019-10-30 16:00:00-04:00,0.33,0.31,-5.12
2019-07-25 16:00:00-04:00,0.26,0.23,-11.36
2019-04-29 16:00:00-04:00,0.21,0.18,-15.64
2019-02-13 16:00:00-05:00,0.14,0.14,-2.16
2018-10-30 16:00:00-04:00,0.2,0.24,20.19
2018-08-02 07:00:00-04:00,0.28,0.26,-5.74
2018-04-26 08:00:00-04:00,0.3,0.29,-3.03
2018-02-20 07:00:00-05:00,0.1,,-100.0
2017-11-08 07:00:00-05:00,0.37,0.34,-7.8
2017-07-27 08:00:00-04:00,0.3,0.3,1.26
2017-04-27 08:00:00-04:00,0.31,0.38,22.62
2017-02-16 07:00:00-05:00,0.19,0.11,-41.61
2016-11-07 07:00:00-05:00,0.16,0.58,257.16
2016-08-04 08:00:00-04:00,0.25,0.29,16.13
2016-05-05 08:00:00-04:00,0.11,0.16,46.95
2016-02-18 07:00:00-05:00,0.09,-0.01,-110.84
2015-10-29 07:00:00-04:00,0.04,0.15,295.57
2015-08-04 08:00:00-04:00,0.1,0.19,85.89
2015-05-04 08:00:00-04:00,0.13,0.26,99.57
2015-02-17 08:00:00-05:00,0.07,-0.66,-1029.45
2014-10-30 08:00:00-04:00,0.06,-0.02,-132.27
2014-08-05 08:00:00-04:00,0.1,0.21,104.42
2014-04-29 08:00:00-04:00,0.09,0.22,137.12
2014-02-19 08:00:00-05:00,-0.01,0.11,1547.37
2013-10-31 08:00:00-04:00,-0.03,0.02,169.4
