EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,2.05,,
2025-10-30 06:00:00-04:00,2.06,2.32,12.85
2025-07-29 06:00:00-04:00,2.03,2.13,5.04
2025-04-24 06:00:00-04:00,2.14,2.22,3.98
2025-02-04 06:00:00-05:00,1.67,1.72,3.3
2024-10-31 06:00:00-04:00,1.57,1.57,0.03
2024-07-30 06:00:00-04:00,2.14,2.28,6.31
2024-04-25 06:00:00-04:00,1.92,2.07,7.74
2024-02-01 06:00:00-05:00,-0.11,0.03,127.48
2023-10-26 06:00:00-04:00,1.95,2.13,9.51
2023-08-01 06:00:00-04:00,-2.18,-2.06,5.41
2023-04-27 06:00:00-04:00,1.34,1.4,4.76
2023-02-02 06:00:00-05:00,1.54,1.62,5.36
2022-10-27 06:00:00-04:00,1.71,1.85,8.28
2022-07-28 06:00:00-04:00,1.71,1.87,9.57
2022-04-28 06:00:00-04:00,1.83,2.14,17.11
2022-02-03 06:00:00-05:00,1.52,1.8,18.08
2021-10-28 06:00:00-04:00,1.55,1.75,12.58
2021-07-29 06:00:00-04:00,1.35,1.31,-2.85
2021-04-29 06:00:00-04:00,1.61,1.4,-13.23
2021-02-04 06:00:00-05:00,1.39,1.32,-4.9
2020-10-27 06:00:00-04:00,1.43,1.74,21.32
2020-07-31 06:00:00-04:00,1.09,1.37,25.84
2020-04-28 07:00:00-04:00,1.34,1.5,11.78
2020-02-05 06:00:00-05:00,1.15,1.16,1.15
2019-10-29 06:00:00-04:00,1.24,1.51,21.55
2019-07-30 06:00:00-04:00,1.16,1.3,12.23
2019-04-30 06:00:00-04:00,1.05,1.22,15.84
2019-02-01 06:00:00-05:00,1.03,1.04,0.62
2018-10-25 06:00:00-04:00,1.14,1.19,4.31
2018-07-27 06:00:00-04:00,1.03,1.06,2.83
2018-05-01 06:00:00-04:00,1.0,1.05,5.46
2018-02-02 06:00:00-05:00,0.94,0.98,4.73
2017-10-27 06:00:00-04:00,1.03,1.11,7.6
2017-07-28 06:00:00-04:00,0.87,1.01,15.47
2017-05-02 06:00:00-04:00,0.83,0.88,5.87
2017-02-02 06:00:00-05:00,0.89,0.89,0.13
2016-10-25 06:00:00-04:00,0.99,1.07,8.21
2016-07-29 06:00:00-04:00,0.91,0.93,2.14
2016-05-05 06:00:00-04:00,0.85,0.89,4.58
2016-02-03 06:00:00-05:00,0.91,0.93,1.94
2015-10-27 06:00:00-04:00,0.92,0.96,4.75
2015-07-28 07:00:00-04:00,0.81,0.86,6.12
2015-04-28 07:00:00-04:00,0.75,0.85,13.74
2015-02-04 07:00:00-05:00,0.86,0.87,1.59
2014-10-27 07:00:00-04:00,0.88,0.9,2.45
2014-07-29 06:00:00-04:00,0.81,0.85,4.9
2014-04-29 07:00:00-04:00,0.79,0.88,11.03
2014-02-05 07:00:00-05:00,0.89,0.88,-1.11
2013-10-28 07:00:00-04:00,0.88,0.92,4.92
