EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-15 08:00:00-05:00,2.39,,
2025-10-15 07:00:00-04:00,2.07,2.8,35.32
2025-07-16 07:00:00-04:00,1.98,2.13,7.46
2025-04-11 07:00:00-04:00,2.21,2.6,17.68
2025-01-16 08:00:00-05:00,1.68,2.22,32.23
2024-10-16 07:00:00-04:00,1.58,1.88,18.96
2024-07-16 07:00:00-04:00,1.65,1.82,10.16
2024-04-16 07:00:00-04:00,1.65,2.02,22.45
2024-01-16 07:00:00-05:00,1.09,1.09,0.16
2023-10-18 07:00:00-04:00,1.31,1.41,7.33
2023-07-18 07:00:00-04:00,1.21,1.44,18.95
2023-04-19 07:00:00-04:00,1.66,1.74,4.91
2023-01-17 08:00:00-05:00,1.29,1.31,1.36
2022-10-14 07:00:00-04:00,1.51,1.53,1.27
2022-07-14 07:00:00-04:00,1.6,1.53,-4.14
2022-04-14 07:00:00-04:00,1.72,2.06,19.7
2022-01-19 07:00:00-05:00,1.96,2.08,5.94
2021-10-14 07:00:00-04:00,1.67,1.98,18.36
2021-07-15 07:00:00-04:00,1.66,1.89,13.71
2021-04-16 07:00:00-04:00,1.73,2.22,28.62
2021-01-20 07:00:00-05:00,1.28,1.92,49.99
2020-10-15 07:00:00-04:00,1.27,1.59,25.42
2020-07-16 07:00:00-04:00,1.12,2.04,81.63
2020-04-16 08:00:00-04:00,1.08,0.99,-8.69
2020-01-16 07:00:00-05:00,1.02,1.39,36.6
2019-10-17 07:00:00-04:00,1.12,1.27,12.95
2019-07-18 07:00:00-04:00,1.16,1.23,6.28
2019-04-17 07:00:00-04:00,1.17,1.39,18.57
2019-01-17 07:00:00-05:00,0.89,0.8,-10.03
2018-10-16 06:00:00-04:00,1.01,1.17,15.98
2018-07-18 06:00:00-04:00,1.1,1.25,13.26
2018-04-18 06:00:00-04:00,1.25,1.45,16.06
2018-01-18 06:00:00-05:00,0.78,0.84,7.58
2017-10-17 06:00:00-04:00,0.81,0.93,14.65
2017-07-19 06:00:00-04:00,0.77,0.87,12.66
2017-04-19 06:00:00-04:00,0.9,1.0,11.32
2017-01-17 06:00:00-05:00,0.65,0.81,25.07
2016-10-19 06:00:00-04:00,0.63,0.8,27.23
2016-07-20 06:00:00-04:00,0.59,0.75,26.69
2016-04-18 06:00:00-04:00,0.47,0.55,16.56
2016-01-19 06:00:00-05:00,0.34,0.43,28.11
2015-10-19 06:00:00-04:00,0.63,0.34,-46.29
2015-07-20 07:00:00-04:00,0.74,0.85,14.19
2015-04-20 07:00:00-04:00,0.79,0.85,8.18
2015-01-20 07:00:00-05:00,0.75,0.47,-37.33
2014-10-17 07:00:00-04:00,0.53,0.59,10.36
2014-07-17 07:00:00-04:00,0.56,0.6,7.85
2014-04-17 06:00:00-04:00,0.59,0.74,25.24
2014-01-17 07:00:00-05:00,0.45,0.5,11.35
2013-10-18 07:00:00-04:00,0.41,0.5,21.25
