EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-17 16:00:00-05:00,3.78,,
2025-09-23 16:00:00-04:00,2.86,3.03,5.94
2025-06-25 16:00:00-04:00,1.59,1.91,19.75
2025-03-20 16:00:00-04:00,1.42,1.56,9.49
2024-12-18 16:00:00-05:00,1.77,1.79,1.36
2024-09-25 16:00:00-04:00,1.11,1.18,5.88
2024-06-26 16:00:00-04:00,0.53,0.62,17.27
2024-03-20 16:00:00-04:00,-0.24,0.42,273.75
2023-12-20 16:00:00-05:00,-1.01,-0.95,5.85
2023-09-27 16:00:00-04:00,-1.18,-1.07,9.27
2023-06-28 16:00:00-04:00,-1.57,-1.43,8.74
2023-03-28 16:00:00-04:00,-0.88,-1.91,-115.83
2022-12-21 16:00:00-05:00,-0.02,-0.04,-114.02
2022-09-29 16:00:00-04:00,1.37,1.45,5.82
2022-06-30 16:00:00-04:00,2.44,2.59,5.96
2022-03-29 16:00:00-04:00,1.98,2.14,8.07
2021-12-20 16:00:00-05:00,2.11,2.16,2.58
2021-09-28 16:00:00-04:00,2.34,2.42,3.35
2021-06-30 16:00:00-04:00,1.72,1.88,9.15
2021-03-31 16:00:00-04:00,0.95,0.98,3.68
2021-01-07 16:00:00-05:00,0.69,0.78,12.96
2020-09-29 16:00:00-04:00,0.97,1.08,10.9
2020-06-29 16:00:00-04:00,0.76,0.82,7.45
2020-03-25 16:00:00-04:00,0.37,0.45,21.41
2019-12-18 16:00:00-05:00,0.47,0.48,1.55
2019-09-26 16:00:00-04:00,0.48,0.56,15.55
2019-06-25 16:00:00-04:00,0.79,1.05,33.01
2019-03-20 16:00:00-04:00,1.66,1.71,3.05
2018-12-18 16:00:00-05:00,2.97,2.97,0.03
2018-09-20 16:00:00-04:00,3.32,3.53,6.21
2018-06-20 16:00:00-04:00,3.14,3.15,0.44
2018-03-22 16:00:00-04:00,2.74,2.82,2.98
2017-12-19 16:00:00-05:00,2.21,2.45,10.88
2017-09-26 16:00:00-04:00,1.84,2.02,9.91
2017-06-29 16:00:00-04:00,1.51,1.62,7.17
2017-03-23 16:00:00-04:00,0.86,0.9,4.58
2016-12-21 16:00:00-05:00,0.29,0.32,11.63
2016-10-04 16:00:00-04:00,-0.09,-0.05,46.97
2016-06-30 16:00:00-04:00,-0.1,-0.08,17.49
2016-03-30 16:00:00-04:00,-0.09,-0.05,44.7
2015-12-22 16:00:00-05:00,0.23,0.24,4.76
2015-10-01 16:00:00-04:00,0.32,0.37,16.76
2015-06-25 16:00:00-04:00,0.56,0.54,-3.8
2015-04-01 16:00:00-04:00,0.72,0.81,11.87
2015-01-06 16:00:00-05:00,0.92,0.97,5.43
2014-09-25 16:00:00-04:00,0.81,0.82,0.83
2014-06-23 16:00:00-04:00,0.7,0.79,12.47
2014-04-03 16:00:00-04:00,0.76,0.85,11.85
2014-01-07 16:00:00-05:00,0.51,0.77,49.68
2013-10-10 16:00:00-04:00,0.3,0.23,-24.27
