EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-23 08:00:00-05:00,0.6,,
2025-10-28 07:00:00-04:00,1.02,1.13,10.62
2025-07-23 07:00:00-04:00,1.01,1.05,4.01
2025-04-22 20:00:00-04:00,0.98,0.99,1.19
2025-01-24 07:00:00-05:00,0.53,0.53,0.79
2024-10-23 07:00:00-04:00,0.84,0.9,6.73
2024-07-24 07:00:00-04:00,0.95,0.96,1.14
2024-04-23 07:00:00-04:00,0.8,0.91,13.42
2024-01-25 07:00:00-05:00,0.49,0.52,6.6
2023-10-24 07:00:00-04:00,0.88,0.94,6.63
2023-07-25 07:00:00-04:00,0.81,0.88,8.18
2023-04-25 07:00:00-04:00,0.76,0.84,10.02
2023-01-25 07:00:00-05:00,0.49,0.51,4.18
2022-10-28 07:00:00-04:00,0.8,0.85,5.93
2022-07-22 07:00:00-04:00,0.76,0.81,7.04
2022-04-21 07:00:00-04:00,0.72,0.74,3.38
2022-01-25 07:00:00-05:00,0.4,0.41,2.98
2021-10-20 07:00:00-04:00,0.72,0.75,4.69
2021-07-23 07:00:00-04:00,0.69,0.71,2.75
2021-04-21 07:00:00-04:00,0.61,0.67,9.37
2021-01-26 02:00:00-05:00,0.38,0.4,4.17
2020-10-21 07:00:00-04:00,0.65,0.67,2.94
2020-07-24 07:00:00-04:00,0.63,0.65,4.22
2020-04-22 07:00:00-04:00,0.56,0.6,6.16
2020-01-24 07:00:00-05:00,0.37,0.36,-2.54
2019-10-22 07:00:00-04:00,0.57,0.6,4.48
2019-07-24 07:00:00-04:00,0.58,0.59,1.68
2019-04-23 07:00:00-04:00,0.51,0.55,8.1
2019-01-25 07:00:00-05:00,0.38,0.37,-2.99
2018-10-23 03:00:00-04:00,0.54,0.55,1.23
2018-07-25 07:00:00-04:00,0.52,0.53,2.25
2018-04-24 07:00:00-04:00,0.46,0.49,6.09
2018-01-26 07:00:00-05:00,0.33,0.31,-4.77
2017-10-26 07:00:00-04:00,0.44,0.46,4.68
2017-07-26 07:00:00-04:00,0.44,0.47,5.74
2017-04-21 07:00:00-04:00,0.4,0.44,10.02
2017-01-27 07:00:00-05:00,0.32,0.3,-6.41
2016-10-31 07:00:00-04:00,0.42,0.44,4.27
2016-07-27 07:00:00-04:00,0.39,0.42,6.12
2016-04-28 07:00:00-04:00,0.35,0.34,-1.95
2016-01-28 07:00:00-05:00,0.27,0.29,7.38
2015-10-28 07:00:00-04:00,0.41,0.4,-3.03
2015-08-03 07:00:00-04:00,0.37,0.39,4.16
2015-04-29 07:00:00-04:00,0.32,0.35,11.17
2015-01-27 07:00:00-05:00,0.26,0.26,-2.8
2014-10-31 07:00:00-04:00,0.38,0.39,1.24
2014-07-29 07:00:00-04:00,0.36,0.36,-0.7
2014-04-30 07:00:00-04:00,0.27,0.32,15.97
2014-01-28 07:00:00-05:00,0.24,0.24,-2.49
2013-11-01 07:00:00-04:00,0.35,0.36,2.58
