EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-18 16:00:00-05:00,0.37,,
2025-09-30 16:00:00-04:00,0.27,0.49,81.32
2025-06-26 16:00:00-04:00,0.12,0.14,13.48
2025-03-20 16:00:00-04:00,0.29,0.54,85.52
2024-12-19 16:00:00-05:00,0.63,0.78,24.71
2024-10-01 16:00:00-04:00,0.53,0.7,31.61
2024-06-27 16:00:00-04:00,0.84,1.01,20.56
2024-03-21 16:00:00-04:00,0.76,0.98,29.73
2023-12-21 16:00:00-05:00,0.85,1.03,20.98
2023-09-28 16:00:00-04:00,0.76,0.94,24.06
2023-06-29 16:00:00-04:00,0.67,0.66,-1.17
2023-03-21 16:00:00-04:00,0.55,0.79,44.76
2022-12-20 16:00:00-05:00,0.66,0.85,29.23
2022-09-29 16:00:00-04:00,0.92,0.93,0.96
2022-06-27 16:00:00-04:00,0.81,0.9,10.99
2022-03-21 16:00:00-04:00,0.72,0.87,21.42
2021-12-20 16:00:00-05:00,0.63,0.83,31.97
2021-09-23 16:00:00-04:00,1.12,1.16,3.68
2021-06-24 16:00:00-04:00,0.51,0.93,81.29
2021-03-18 16:00:00-04:00,0.75,0.9,19.67
2020-12-18 16:00:00-05:00,0.62,0.78,25.29
2020-09-22 16:00:00-04:00,0.5,0.95,89.67
2020-06-25 16:00:00-04:00,0.04,-0.51,-1290.2
2020-03-24 16:00:00-04:00,0.56,0.78,38.36
2019-12-19 16:00:00-05:00,0.58,0.7,20.35
2019-09-24 16:00:00-04:00,0.71,0.86,21.65
2019-06-27 16:00:00-04:00,0.66,0.62,-5.39
2019-03-21 16:00:00-04:00,0.65,0.68,5.17
2018-12-20 16:00:00-05:00,0.46,0.52,12.81
2018-09-25 16:00:00-04:00,0.63,0.67,6.27
2018-06-28 16:00:00-04:00,0.64,0.69,8.34
2018-03-22 16:00:00-04:00,0.53,0.68,28.78
2017-12-21 16:00:00-05:00,0.4,0.46,13.68
2017-09-26 16:00:00-04:00,0.48,0.57,18.86
2017-06-29 16:00:00-04:00,0.5,0.6,20.35
2017-03-21 16:00:00-04:00,0.53,0.68,29.1
2016-12-20 16:00:00-05:00,0.43,0.5,16.16
2016-09-27 16:00:00-04:00,0.56,0.73,30.71
2016-06-28 16:00:00-04:00,0.48,0.49,2.1
2016-03-22 16:00:00-04:00,0.48,0.55,13.5
2015-12-22 16:00:00-05:00,0.43,0.45,5.19
2015-09-24 16:00:00-04:00,0.6,0.67,12.57
2015-06-25 16:00:00-04:00,0.42,0.49,17.71
2015-03-19 16:00:00-04:00,0.42,0.45,5.48
2014-12-18 16:00:00-05:00,0.35,0.37,5.48
2014-09-25 16:00:00-04:00,0.44,0.55,24.4
2014-06-26 16:00:00-04:00,0.38,0.39,3.77
2014-03-20 16:00:00-04:00,0.36,0.38,5.36
2013-12-19 16:00:00-05:00,0.29,0.3,1.85
2013-09-26 16:00:00-04:00,0.39,0.43,10.25
