EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,6.95,,
2025-10-21 06:00:00-04:00,6.46,7.67,18.82
2025-07-22 06:00:00-04:00,6.8,8.15,19.93
2025-04-22 06:00:00-04:00,6.26,3.32,-46.99
2025-01-30 06:00:00-05:00,6.37,8.66,36.05
2024-10-24 06:00:00-04:00,6.07,7.0,15.36
2024-07-25 06:00:00-04:00,5.93,6.36,7.18
2024-04-25 06:00:00-04:00,5.79,6.32,9.2
2024-01-25 06:00:00-05:00,5.8,6.27,8.1
2023-10-26 06:00:00-04:00,5.8,6.18,6.57
2023-07-27 06:00:00-04:00,5.32,5.34,0.3
2023-04-27 06:00:00-04:00,5.09,5.5,8.0
2023-01-26 06:00:00-05:00,6.57,7.5,14.23
2022-10-27 06:00:00-04:00,6.11,5.89,-3.66
2022-07-28 06:00:00-04:00,6.1,6.06,-0.66
2022-04-28 06:00:00-04:00,5.98,6.1,2.04
2022-01-27 06:00:00-05:00,5.96,6.0,0.63
2021-10-28 06:00:00-04:00,5.98,6.63,10.82
2021-07-29 06:00:00-04:00,5.85,6.42,9.67
2021-04-29 06:00:00-04:00,5.48,6.57,19.82
2021-01-28 06:00:00-05:00,5.71,6.59,15.39
2020-10-22 06:00:00-04:00,5.6,5.89,5.09
2020-07-30 06:00:00-04:00,5.28,6.01,13.8
2020-04-29 06:00:00-04:00,5.49,5.15,-6.15
2020-01-30 06:00:00-05:00,4.77,5.61,17.56
2019-10-24 06:00:00-04:00,4.76,5.49,15.41
2019-07-24 06:00:00-04:00,4.65,5.06,8.8
2019-04-24 06:00:00-04:00,4.6,5.06,10.0
2019-01-31 06:00:00-05:00,4.45,3.81,-14.45
2018-10-24 06:00:00-04:00,4.36,6.54,49.95
2018-07-25 06:00:00-04:00,3.85,3.93,2.14
2018-04-25 06:00:00-04:00,3.58,4.21,17.57
2018-01-25 06:00:00-05:00,2.73,2.82,3.28
2017-10-25 06:00:00-04:00,2.92,3.68,25.81
2017-07-26 06:00:00-04:00,2.85,3.15,10.45
2017-04-26 06:00:00-04:00,2.92,3.63,24.47
2017-01-26 06:00:00-05:00,2.5,2.96,18.6
2016-10-26 06:00:00-04:00,2.81,2.92,3.79
2016-07-27 06:00:00-04:00,2.53,2.85,12.71
2016-04-27 06:00:00-04:00,2.49,3.03,21.84
2016-01-28 06:00:00-05:00,1.99,2.49,25.02
2015-10-28 06:00:00-04:00,2.19,2.75,25.32
2015-07-29 07:00:00-04:00,2.36,2.74,16.32
2015-04-29 07:00:00-04:00,2.27,2.41,6.18
2015-01-29 07:00:00-05:00,2.25,2.48,10.17
2014-10-22 06:00:00-04:00,2.14,2.26,5.81
2014-07-23 07:00:00-04:00,2.22,2.37,6.89
2014-04-23 07:00:00-04:00,2.15,2.63,22.34
2014-01-30 07:00:00-05:00,1.94,2.12,9.16
2013-10-23 07:00:00-04:00,1.84,2.14,16.59
