EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 16:00:00-05:00,4.41,,
2025-10-29 16:00:00-04:00,4.27,4.82,13.0
2025-07-23 16:00:00-04:00,3.57,4.09,14.63
2025-04-23 16:00:00-04:00,3.83,4.04,5.36
2025-01-29 16:00:00-05:00,3.66,3.67,0.2
2024-10-23 16:00:00-04:00,1.58,2.07,31.29
2024-07-24 16:00:00-04:00,2.83,3.13,10.44
2024-04-24 16:00:00-04:00,3.13,3.41,8.87
2024-01-24 16:00:00-05:00,2.78,3.11,11.94
2023-10-25 16:00:00-04:00,2.55,2.92,14.55
2023-07-26 16:00:00-04:00,2.05,2.37,15.81
2023-04-26 16:00:00-04:00,2.04,2.37,16.36
2023-01-25 16:00:00-05:00,2.02,2.28,12.62
2022-10-26 16:00:00-04:00,1.85,1.96,6.14
2022-07-27 16:00:00-04:00,1.55,1.62,4.46
2022-04-27 16:00:00-04:00,1.7,1.73,2.03
2022-01-26 16:00:00-05:00,1.43,1.46,2.12
2021-10-27 16:00:00-04:00,1.39,1.55,11.55
2021-07-28 16:00:00-04:00,1.21,1.42,17.53
2021-04-28 16:00:00-04:00,1.35,1.52,12.85
2021-01-27 16:00:00-05:00,1.06,1.17,10.6
2020-10-28 16:00:00-04:00,1.03,1.21,17.41
2020-07-29 16:00:00-04:00,1.02,1.23,20.86
2020-04-29 17:00:00-04:00,0.95,1.05,10.21
2020-01-29 16:00:00-05:00,0.87,0.96,10.08
2019-10-23 16:00:00-04:00,0.89,0.99,11.83
2019-07-24 16:00:00-04:00,0.64,0.71,11.79
2019-04-24 16:00:00-04:00,0.54,0.67,23.56
2019-01-30 16:00:00-05:00,0.63,0.77,21.58
2018-10-24 16:00:00-04:00,0.59,0.68,14.6
2018-07-25 16:00:00-04:00,0.43,0.49,15.11
2018-04-25 16:00:00-04:00,0.37,0.56,51.47
2018-01-31 16:00:00-05:00,0.35,0.35,-0.19
2017-10-25 16:00:00-04:00,0.32,0.38,19.79
2017-07-26 16:00:00-04:00,0.2,0.22,10.61
2017-04-26 16:00:00-04:00,0.17,0.24,41.68
2017-01-25 16:00:00-05:00,0.23,0.24,3.99
2016-10-26 16:00:00-04:00,0.21,0.23,10.36
2016-07-27 16:00:00-04:00,0.09,0.15,64.4
2016-04-20 16:00:00-04:00,0.07,0.09,32.57
2016-01-27 16:00:00-05:00,0.08,0.19,141.27
2015-10-21 16:00:00-04:00,0.08,0.15,91.94
2015-07-29 16:00:00-04:00,-0.02,0.04,283.07
2015-04-16 16:00:00-04:00,,0.01,385.71
2015-01-28 16:00:00-05:00,0.02,0.03,64.74
2014-10-22 16:00:00-04:00,0.01,0.03,136.97
2014-07-30 17:00:00-04:00,-0.07,-0.07,1.75
2014-04-23 16:00:00-04:00,-0.08,-0.08,-0.48
2014-01-29 16:00:00-05:00,-0.02,-0.02,-32.98
2013-10-23 16:00:00-04:00,-0.02,0.01,144.52
