EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 16:00:00-05:00,2.93,,
2025-10-23 16:00:00-04:00,3.2,3.3,3.04
2025-07-29 08:00:00-04:00,3.31,3.29,-0.48
2025-04-23 08:00:00-04:00,2.69,3.31,23.02
2025-01-29 08:00:00-05:00,2.94,3.04,3.31
2024-10-22 08:00:00-04:00,3.11,3.25,4.53
2024-07-25 16:00:00-04:00,2.86,3.06,6.97
2024-04-24 08:00:00-04:00,2.53,3.29,29.79
2024-01-26 08:00:00-05:00,2.87,2.83,-1.36
2023-10-25 08:00:00-04:00,2.7,2.65,-1.74
2023-07-27 08:00:00-04:00,3.11,2.95,-5.2
2023-04-26 08:00:00-04:00,3.15,3.32,5.55
2023-01-25 08:00:00-05:00,3.44,3.42,-0.67
2022-10-26 08:00:00-04:00,3.6,3.75,4.18
2022-07-27 08:00:00-04:00,3.47,3.45,-0.52
2022-04-27 08:00:00-04:00,2.92,2.93,0.38
2022-01-26 08:00:00-05:00,3.04,3.12,2.58
2021-10-27 08:00:00-04:00,2.92,3.06,4.95
2021-07-28 08:00:00-04:00,2.97,3.28,10.34
2021-04-28 08:00:00-04:00,2.54,2.66,4.64
2021-01-27 08:00:00-05:00,2.48,2.64,6.55
2020-10-28 08:00:00-04:00,2.37,2.51,5.87
2020-07-29 08:00:00-04:00,1.36,1.53,12.31
2020-04-29 09:00:00-04:00,2.24,2.58,15.2
2020-01-29 08:00:00-05:00,2.28,2.55,12.01
2019-10-23 08:00:00-04:00,2.59,2.58,-0.53
2019-07-24 08:00:00-04:00,2.79,2.7,-3.17
2019-04-24 08:00:00-04:00,2.18,2.51,15.11
2019-01-24 16:00:00-05:00,2.28,2.57,12.48
2018-10-24 08:00:00-04:00,2.44,2.52,3.23
2018-07-25 08:00:00-04:00,2.33,2.5,7.25
2018-04-25 08:00:00-04:00,1.77,1.93,9.04
2018-01-24 08:00:00-05:00,1.57,1.69,7.55
2017-10-25 08:00:00-04:00,1.64,1.75,6.46
2017-07-26 08:00:00-04:00,1.65,1.71,3.68
2017-04-26 08:00:00-04:00,1.36,1.48,8.93
2017-01-25 08:00:00-05:00,1.36,1.42,4.36
2016-10-26 08:00:00-04:00,1.44,1.55,7.42
2016-07-27 08:00:00-04:00,1.35,1.36,0.94
2016-04-21 16:00:00-04:00,0.98,1.29,32.3
2016-01-27 08:00:00-05:00,1.25,1.2,-4.12
2015-10-28 08:00:00-04:00,1.41,1.49,5.39
2015-07-27 08:00:00-04:00,1.42,1.41,-0.5
2015-04-29 08:00:00-04:00,1.0,1.0,-0.19
2015-01-26 08:00:00-05:00,1.63,1.64,0.31
2014-10-22 08:00:00-04:00,1.83,1.79,-2.01
2014-07-23 08:00:00-04:00,1.74,1.79,3.0
2014-04-23 08:00:00-04:00,1.15,1.17,1.72
2014-01-22 08:00:00-05:00,1.51,1.64,8.94
2013-10-23 08:00:00-04:00,1.39,1.53,10.17
