EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 08:00:00-05:00,106.44,,
2025-10-22 09:00:00-04:00,109.36,112.33,2.72
2025-07-23 10:00:00-04:00,106.2,108.54,2.2
2025-04-22 09:00:00-04:00,106.07,94.83,-10.6
2025-01-28 09:00:00-05:00,129.35,139.93,8.18
2024-10-22 09:00:00-04:00,131.0,130.5,-0.38
2024-07-23 10:00:00-04:00,121.21,120.69,-0.43
2024-04-23 09:00:00-04:00,103.97,116.41,11.97
2024-01-30 09:00:00-05:00,121.5,121.56,0.05
2023-10-24 09:00:00-04:00,115.6,125.26,8.35
2023-07-25 09:00:00-04:00,101.5,116.54,14.82
2023-04-25 09:00:00-04:00,88.96,99.89,12.28
2023-01-31 09:00:00-05:00,98.88,133.44,34.95
2022-10-25 09:00:00-04:00,121.71,118.51,-2.63
2022-07-26 09:00:00-04:00,126.82,123.65,-2.5
2022-04-26 09:00:00-04:00,96.94,116.56,20.23
2022-02-01 09:00:00-05:00,99.77,89.09,-10.7
2021-10-21 09:00:00-04:00,88.98,86.44,-2.85
2021-07-21 09:00:00-04:00,72.43,82.45,13.84
2021-04-21 09:00:00-04:00,65.08,63.21,-2.87
2021-01-28 09:00:00-05:00,79.82,76.93,-3.62
2020-10-20 09:00:00-04:00,60.22,65.11,8.12
2020-07-22 09:00:00-04:00,43.93,42.5,-3.26
2020-04-23 10:00:00-04:00,45.61,44.96,-1.42
2020-01-28 16:00:00-05:00,59.0,64.41,9.16
2019-10-18 09:00:00-04:00,51.52,56.11,8.9
2019-07-19 09:00:00-04:00,44.87,53.09,18.33
2019-04-22 09:00:00-04:00,34.45,47.64,38.3
2019-01-25 09:00:00-05:00,49.62,58.57,18.03
2018-10-18 09:00:00-04:00,50.94,48.28,-5.22
2018-07-20 09:00:00-04:00,47.21,49.05,3.91
2018-04-19 09:00:00-04:00,31.79,39.34,23.73
2018-01-25 09:00:00-05:00,48.04,43.41,-9.63
2017-10-19 09:00:00-04:00,36.07,38.02,5.41
2017-07-21 09:00:00-04:00,28.92,35.19,21.69
2017-04-20 09:00:00-04:00,20.81,25.12,20.73
2017-01-25 09:00:00-05:00,33.09,37.8,14.25
2016-10-20 09:00:00-04:00,29.89,28.46,-4.79
2016-07-21 09:00:00-04:00,26.2,22.01,-15.99
2016-04-21 09:00:00-04:00,14.96,15.79,5.57
2016-01-26 09:00:00-05:00,30.02,31.92,6.34
2015-10-20 09:00:00-04:00,26.87,27.11,0.89
2015-07-21 09:00:00-04:00,19.01,21.91,15.28
2015-04-21 09:00:00-04:00,9.56,9.22,-3.52
2015-01-26 09:00:00-05:00,24.4,23.24,-4.75
2014-10-20 08:00:00-04:00,20.7,20.7,
2014-07-21 09:00:00-04:00,14.27,15.17,6.28
2014-04-21 09:00:00-04:00,9.8,5.16,-47.33
2014-01-27 09:00:00-05:00,16.31,21.15,29.68
2013-10-21 08:00:00-04:00,15.33,17.67,15.28
