EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 08:00:00-05:00,1.06,,
2025-10-29 07:00:00-04:00,1.22,1.28,5.15
2025-07-30 07:00:00-04:00,1.29,1.27,-1.21
2025-04-23 07:00:00-04:00,1.14,1.19,4.04
2025-02-05 07:00:00-05:00,1.16,1.23,5.92
2024-10-23 07:00:00-04:00,1.42,1.43,0.85
2024-07-24 07:00:00-04:00,1.45,1.48,1.97
2024-04-24 07:00:00-04:00,1.34,1.34,-0.04
2024-01-31 07:00:00-05:00,1.42,1.47,3.35
2023-10-25 07:00:00-04:00,1.45,1.55,6.25
2023-07-26 07:00:00-04:00,1.32,1.3,-1.51
2023-04-26 07:00:00-04:00,1.35,1.29,-4.55
2023-02-01 07:00:00-05:00,1.33,1.46,9.41
2022-10-26 07:00:00-04:00,1.54,1.68,9.23
2022-07-27 07:00:00-04:00,1.58,1.65,4.51
2022-04-27 07:00:00-04:00,1.21,1.3,7.76
2022-02-02 07:00:00-05:00,1.14,1.21,6.12
2021-10-27 07:00:00-04:00,1.19,1.24,3.92
2021-07-28 07:00:00-04:00,1.11,1.16,4.0
2021-04-22 07:00:00-04:00,0.79,0.85,7.6
2021-02-04 07:00:00-05:00,0.79,0.81,2.46
2020-10-27 07:00:00-04:00,0.76,0.86,12.95
2020-07-30 07:00:00-04:00,0.53,0.63,18.4
2020-04-23 08:00:00-04:00,0.56,0.56,-1.31
2020-02-06 07:00:00-05:00,0.6,0.6,-0.34
2019-10-24 07:00:00-04:00,0.71,0.68,-3.36
2019-07-25 07:00:00-04:00,0.71,0.72,2.07
2019-04-25 07:00:00-04:00,0.52,0.55,4.19
2019-02-07 07:00:00-05:00,0.58,0.65,11.72
2018-10-25 07:00:00-04:00,0.65,0.71,8.26
2018-07-26 07:00:00-04:00,0.61,0.66,8.93
2018-04-26 07:00:00-04:00,0.44,0.44,1.71
2018-02-08 07:00:00-05:00,0.37,0.4,7.2
2017-10-26 07:00:00-04:00,0.39,0.41,7.02
2017-07-27 07:00:00-04:00,0.37,0.4,8.4
2017-04-27 07:00:00-04:00,0.26,0.27,1.65
2017-02-02 07:00:00-05:00,0.29,0.28,-3.48
2016-10-27 07:00:00-04:00,0.32,0.34,5.69
2016-07-28 07:00:00-04:00,0.32,0.33,3.41
2016-04-28 07:00:00-04:00,0.25,0.24,-5.56
2016-02-04 07:00:00-05:00,0.28,0.28,-0.4
2015-10-29 07:00:00-04:00,0.34,0.33,-1.67
2015-07-30 07:00:00-04:00,0.33,0.33,2.1
2015-04-30 07:00:00-04:00,0.24,0.24,2.38
2015-02-05 07:00:00-05:00,0.24,0.27,11.6
2014-10-30 07:00:00-04:00,0.29,0.3,3.58
2014-07-31 07:00:00-04:00,0.28,0.29,3.6
2014-04-24 07:00:00-04:00,0.16,0.18,7.81
2014-02-06 07:00:00-05:00,0.2,0.18,-6.77
2013-10-24 07:00:00-04:00,0.23,0.23,1.85
