EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-23 16:00:00-05:00,1.54,,
2025-10-28 16:00:00-04:00,1.44,1.49,3.32
2025-08-04 16:00:00-04:00,1.33,1.34,0.95
2025-04-29 16:00:00-04:00,1.24,1.04,-16.19
2025-02-24 16:00:00-05:00,1.48,1.57,6.19
2024-10-29 16:00:00-04:00,1.23,1.18,-3.79
2024-08-05 16:00:00-04:00,1.19,1.33,11.38
2024-04-30 16:00:00-04:00,1.14,1.09,-4.5
2024-02-26 16:00:00-05:00,1.2,1.18,-1.91
2023-10-31 17:00:00-04:00,1.05,0.99,-5.66
2023-08-07 17:00:00-04:00,1.01,1.04,2.76
2023-05-02 16:00:00-04:00,2.29,2.34,2.37
2023-02-27 17:00:00-05:00,1.01,1.08,6.46
2022-11-01 16:00:00-04:00,0.96,0.96,0.19
2022-08-08 16:00:00-04:00,0.88,0.92,4.7
2022-05-04 16:00:00-04:00,0.9,0.87,-3.18
2022-02-28 16:00:00-05:00,0.89,0.85,-4.61
2021-11-02 16:00:00-04:00,0.81,0.88,8.12
2021-08-03 16:00:00-04:00,0.75,0.77,2.63
2021-04-27 16:00:00-04:00,0.78,0.86,9.64
2021-02-22 17:00:00-05:00,0.73,0.69,-5.89
2020-10-27 16:00:00-04:00,0.62,0.7,12.93
2020-07-28 16:00:00-04:00,0.5,0.32,-36.55
2020-04-28 17:00:00-04:00,0.8,-0.34,-142.3
2020-02-24 17:00:00-05:00,0.78,0.77,-1.27
2019-10-30 09:00:00-04:00,0.75,0.74,-1.08
2019-07-30 16:00:00-04:00,0.71,0.75,5.92
2019-04-30 16:00:00-04:00,0.73,0.81,10.7
2019-02-25 16:00:00-05:00,0.74,0.7,-4.96
2018-10-30 16:00:00-04:00,0.72,0.75,4.87
2018-07-31 16:00:00-04:00,0.67,0.68,1.01
2018-05-01 16:00:00-04:00,0.62,0.64,3.84
2018-02-26 17:00:00-05:00,0.51,0.16,-68.78
2017-10-31 16:00:00-04:00,0.47,0.46,-1.43
2017-08-01 16:00:00-04:00,0.46,0.33,-27.63
2017-05-02 13:00:00-04:00,0.47,0.41,-12.35
2017-02-27 16:00:00-05:00,0.47,0.43,-8.92
2016-11-01 16:00:00-04:00,0.42,0.44,4.12
2016-08-02 17:00:00-04:00,0.42,0.41,-3.45
2016-05-03 15:00:00-04:00,0.42,0.4,-5.41
2016-02-22 16:00:00-05:00,0.48,0.46,-4.1
2015-11-03 17:00:00-05:00,0.42,0.39,-8.22
2015-08-04 17:00:00-04:00,0.37,0.36,-0.53
2015-05-05 16:00:00-04:00,0.35,0.29,-17.98
2015-02-23 16:00:00-05:00,0.38,0.45,19.11
2014-11-04 16:00:00-05:00,0.39,0.4,2.13
2014-08-05 16:00:00-04:00,0.36,0.33,-9.03
2014-05-06 16:00:00-04:00,0.35,0.42,21.25
2014-02-24 16:00:00-05:00,0.45,0.43,-4.44
2013-11-05 16:00:00-05:00,0.3,0.35,18.0
