EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-09 08:00:00-05:00,0.62,,
2025-11-03 08:00:00-05:00,0.54,0.63,17.58
2025-08-04 08:00:00-04:00,0.53,0.53,-0.39
2025-05-05 08:00:00-04:00,0.5,0.55,9.59
2025-02-10 07:00:00-05:00,0.97,0.95,-2.44
2024-10-28 08:00:00-04:00,0.97,0.99,2.44
2024-07-29 08:00:00-04:00,0.92,0.96,4.58
2024-04-29 08:00:00-04:00,1.05,1.08,3.31
2024-02-05 08:00:00-05:00,1.2,1.25,4.01
2023-10-30 08:00:00-04:00,1.34,1.39,3.45
2023-07-31 08:00:00-04:00,1.21,1.33,9.82
2023-05-01 08:00:00-04:00,1.08,1.19,9.75
2023-02-06 08:00:00-05:00,1.26,1.32,4.41
2022-10-31 08:00:00-04:00,1.31,1.45,10.44
2022-08-01 08:00:00-04:00,1.26,1.34,6.32
2022-05-02 08:00:00-04:00,1.05,1.22,16.33
2022-02-07 08:00:00-05:00,0.94,1.09,15.98
2021-11-01 08:00:00-04:00,0.74,0.87,18.25
2021-08-02 08:00:00-04:00,0.49,0.63,28.76
2021-05-03 08:00:00-04:00,0.34,0.35,4.46
2021-02-01 08:00:00-05:00,0.28,0.35,26.11
2020-10-31 12:00:00-04:00,0.2,0.27,34.25
2020-08-08 13:00:00-04:00,0.02,0.12,544.81
2020-05-09 11:00:00-04:00,0.15,0.1,-34.27
2020-02-03 06:00:00-05:00,0.32,0.3,-7.48
2019-10-27 15:00:00-04:00,0.36,0.33,-8.07
2019-08-04 15:00:00-04:00,0.41,0.42,1.77
2019-04-27 08:00:00-04:00,0.39,0.43,9.44
2019-02-01 17:00:00-05:00,0.47,0.53,11.82
2018-10-28 15:00:00-04:00,0.51,0.57,12.78
2018-07-29 15:00:00-04:00,0.45,0.46,3.08
2018-04-29 13:00:00-04:00,0.39,0.4,2.61
2018-02-02 18:00:00-05:00,0.37,0.39,5.56
2017-11-05 14:00:00-05:00,0.4,0.31,-23.86
2017-08-06 15:00:00-04:00,0.32,0.26,-18.57
2017-05-07 15:00:00-04:00,0.25,0.21,-14.62
2017-02-12 14:00:00-05:00,0.23,0.29,25.13
2016-11-06 16:00:00-05:00,0.24,0.24,0.24
2016-08-06 14:00:00-04:00,0.2,0.21,6.58
2016-05-08 15:00:00-04:00,0.15,0.17,13.68
2016-02-06 16:00:00-05:00,0.19,0.19,0.08
2015-10-29 16:00:00-04:00,0.23,0.23,-1.63
2015-08-02 18:00:00-04:00,0.22,0.22,-1.27
2015-05-03 15:00:00-04:00,0.18,0.2,14.07
2015-02-05 16:00:00-05:00,0.16,0.17,7.75
2014-10-30 16:00:00-04:00,0.22,0.21,-5.08
2014-07-31 16:00:00-04:00,0.19,0.2,7.44
2014-05-01 16:00:00-04:00,0.15,0.17,14.32
2014-02-06 16:00:00-05:00,0.14,0.17,21.64
2013-10-31 16:00:00-04:00,0.16,0.17,5.3
