EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 16:00:00-05:00,0.72,,
2025-10-22 16:00:00-04:00,0.83,0.85,2.24
2025-07-23 16:00:00-04:00,0.78,0.78,-0.28
2025-04-23 16:00:00-04:00,0.66,0.62,-5.25
2025-02-05 16:00:00-05:00,0.65,0.63,-2.5
2024-10-23 16:00:00-04:00,0.77,0.76,-1.16
2024-07-24 16:00:00-04:00,0.73,0.7,-4.0
2024-04-24 16:00:00-04:00,0.62,0.61,-1.09
2024-02-07 16:00:00-05:00,0.61,0.62,0.46
2023-10-25 16:00:00-04:00,0.69,0.71,3.13
2023-07-26 16:00:00-04:00,0.67,0.68,1.29
2023-04-26 16:00:00-04:00,0.54,0.55,3.15
2023-02-08 16:00:00-05:00,0.52,0.56,8.23
2022-10-26 16:00:00-04:00,0.57,0.61,7.77
2022-07-27 16:00:00-04:00,0.6,0.59,-2.17
2022-04-27 16:00:00-04:00,0.5,0.48,-3.75
2022-02-09 16:00:00-05:00,0.4,0.51,26.93
2021-10-27 16:00:00-04:00,0.48,0.54,12.47
2021-07-28 16:00:00-04:00,0.5,0.56,11.82
2021-04-28 16:00:00-04:00,0.36,0.47,29.87
2021-02-10 16:00:00-05:00,0.34,0.36,5.23
2020-10-28 16:00:00-04:00,0.43,0.47,9.04
2020-07-29 16:00:00-04:00,0.29,0.47,64.47
2020-04-22 17:00:00-04:00,0.26,0.26,0.45
2020-02-05 16:00:00-05:00,0.28,0.28,-0.4
2019-10-23 16:00:00-04:00,0.32,0.34,6.1
2019-07-24 16:00:00-04:00,0.31,0.3,-3.33
2019-04-24 16:00:00-04:00,0.27,0.27,-0.04
2019-02-06 16:00:00-05:00,0.25,0.25,-0.83
2018-10-24 16:00:00-04:00,0.29,0.3,4.52
2018-07-25 16:00:00-04:00,0.27,0.29,5.69
2018-04-25 16:00:00-04:00,0.24,0.24,0.89
2018-02-07 16:00:00-05:00,0.19,0.19,4.43
2017-10-25 16:00:00-04:00,0.21,0.21,2.08
2017-07-26 16:00:00-04:00,0.19,0.2,4.77
2017-04-26 16:00:00-04:00,0.19,0.19,-1.8
2017-02-07 16:00:00-05:00,0.17,0.17,1.93
2016-10-26 16:00:00-04:00,0.2,0.19,-0.86
2016-07-27 16:00:00-04:00,0.18,0.18,-0.93
2016-04-27 16:00:00-04:00,0.17,0.17,3.79
2016-02-10 16:00:00-05:00,0.14,0.15,5.16
2015-10-28 16:00:00-04:00,0.16,0.18,10.82
2015-07-29 16:00:00-04:00,0.15,0.15,1.25
2015-04-22 16:00:00-04:00,0.13,0.14,6.54
2015-02-04 16:00:00-05:00,0.11,0.12,5.05
2014-10-22 16:00:00-04:00,0.13,0.14,5.38
2014-07-23 18:00:00-04:00,0.12,0.13,3.03
2014-04-23 18:00:00-04:00,0.11,0.11,1.87
2014-02-05 18:00:00-05:00,0.09,0.09,5.56
2013-10-23 18:00:00-04:00,0.11,0.11,2.89
