EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-17 16:00:00-05:00,0.44,,
2025-11-10 16:00:00-05:00,0.5,0.64,26.82
2025-08-06 16:00:00-04:00,0.31,0.39,24.79
2025-05-07 16:00:00-04:00,0.76,0.87,14.0
2025-02-18 16:00:00-05:00,0.67,0.8,19.42
2024-11-12 16:00:00-05:00,0.75,1.0,33.24
2024-08-07 16:00:00-04:00,0.77,1.03,33.21
2024-05-07 16:00:00-04:00,0.57,0.63,11.08
2024-02-14 16:00:00-05:00,0.69,0.74,7.45
2023-11-07 16:00:00-05:00,0.86,1.18,36.6
2023-08-02 16:00:00-04:00,0.76,0.68,-10.96
2023-05-09 16:00:00-04:00,1.27,1.09,-14.39
2023-02-27 16:00:00-05:00,1.83,1.61,-11.88
2022-11-08 16:00:00-05:00,2.47,2.44,-1.23
2022-08-02 16:00:00-04:00,3.02,3.16,4.56
2022-05-10 16:00:00-04:00,2.03,2.12,4.41
2022-02-24 16:00:00-05:00,1.1,1.48,35.13
2021-11-04 16:00:00-04:00,0.66,0.87,32.39
2021-08-03 16:00:00-04:00,0.01,0.32,2306.02
2021-05-10 12:00:00-04:00,-0.33,-0.15,55.18
2021-02-22 16:00:00-05:00,-0.58,-0.78,-33.63
2020-11-09 16:00:00-05:00,-0.72,-0.84,-16.83
2020-08-10 16:00:00-04:00,-1.7,-1.76,-3.67
2020-05-05 16:00:00-04:00,-0.62,-0.52,15.89
2020-02-27 16:00:00-05:00,-0.2,-0.3,-51.15
2019-11-04 17:00:00-05:00,0.44,0.11,-74.97
2019-07-31 16:00:00-04:00,0.94,0.97,3.54
2019-05-05 21:00:00-04:00,0.71,0.84,18.33
2019-02-12 16:00:00-05:00,1.17,1.22,4.61
2018-11-05 16:00:00-05:00,1.53,1.77,15.76
2018-08-08 16:00:00-04:00,1.21,1.1,-8.85
2018-05-08 16:00:00-04:00,0.7,0.92,31.49
2018-02-13 16:00:00-05:00,0.41,0.41,0.5
2017-11-01 16:00:00-04:00,0.11,0.18,66.25
2017-08-02 16:00:00-04:00,0.12,0.15,28.11
2017-05-04 06:00:00-04:00,0.08,0.15,93.57
2017-02-09 06:00:00-05:00,-0.03,-0.13,-395.43
2016-11-01 02:00:00-04:00,-0.12,-0.15,-21.03
2016-08-03 07:00:00-04:00,-0.19,-0.18,5.6
2016-05-05 06:00:00-04:00,-0.4,-0.56,-40.25
2016-02-04 07:00:00-05:00,-0.12,-0.17,-41.96
2015-10-28 07:00:00-04:00,-0.01,0.03,447.22
2015-07-30 07:00:00-04:00,0.23,0.21,-9.0
2015-05-06 07:00:00-04:00,0.04,0.04,10.5
2015-01-29 07:00:00-05:00,0.69,0.72,4.75
2014-10-23 07:00:00-04:00,1.58,1.58,0.09
2014-07-31 07:00:00-04:00,1.76,1.79,1.47
2014-05-05 07:00:00-04:00,1.7,1.75,2.65
2014-01-30 07:00:00-05:00,1.68,1.72,2.45
2013-10-29 07:00:00-04:00,1.88,1.97,4.53
