EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 08:00:00-05:00,1.06,,
2025-10-21 08:00:00-04:00,1.08,1.12,3.88
2025-07-22 08:00:00-04:00,1.28,1.37,7.15
2025-04-29 08:00:00-04:00,1.58,1.46,-7.53
2025-01-28 08:00:00-05:00,1.7,1.66,-2.38
2024-10-22 08:00:00-04:00,1.82,1.85,1.69
2024-07-23 08:00:00-04:00,2.14,2.13,-0.31
2024-04-30 08:00:00-04:00,2.18,2.27,4.01
2024-01-23 08:00:00-05:00,2.21,2.7,22.11
2023-10-24 08:00:00-04:00,2.13,2.34,10.01
2023-07-25 08:00:00-04:00,2.17,2.33,7.61
2023-04-25 08:00:00-04:00,1.83,2.25,23.14
2023-01-24 08:00:00-05:00,1.47,1.76,19.89
2022-10-25 08:00:00-04:00,1.32,1.47,11.38
2022-07-26 08:00:00-04:00,1.22,1.38,13.24
2022-04-26 08:00:00-04:00,1.03,1.15,10.92
2022-01-25 08:00:00-05:00,0.88,0.98,11.79
2021-10-26 08:00:00-04:00,0.81,0.72,-10.86
2021-07-27 08:00:00-04:00,0.93,0.94,1.22
2021-04-27 08:00:00-04:00,0.85,0.9,5.86
2021-01-26 08:00:00-05:00,0.8,0.78,-2.88
2020-10-20 08:00:00-04:00,0.65,0.74,14.44
2020-07-21 08:00:00-04:00,0.22,0.29,30.61
2020-04-21 09:00:00-04:00,0.8,0.69,-14.63
2020-01-28 08:00:00-05:00,1.01,1.02,1.22
2019-10-22 08:00:00-04:00,1.1,1.17,6.52
2019-07-23 08:00:00-04:00,1.21,1.19,-1.94
2019-04-30 08:00:00-04:00,1.1,1.21,9.87
2019-01-29 08:00:00-05:00,1.02,1.1,7.76
2018-10-23 08:00:00-04:00,1.01,1.03,2.04
2018-07-24 08:00:00-04:00,0.95,1.06,11.5
2018-04-24 08:00:00-04:00,0.87,0.97,10.55
2018-01-30 08:00:00-05:00,0.75,0.79,5.04
2017-10-24 08:00:00-04:00,0.72,0.76,5.37
2017-07-25 08:00:00-04:00,0.66,0.71,7.3
2017-04-25 08:00:00-04:00,0.58,0.59,0.43
2017-01-31 05:00:00-05:00,0.58,0.55,-5.54
2016-10-25 08:00:00-04:00,0.66,0.65,-1.45
2016-07-26 08:00:00-04:00,0.68,0.71,3.69
2016-04-26 08:00:00-04:00,0.64,0.66,2.93
2016-01-29 08:00:00-05:00,0.68,0.65,-4.47
2015-10-27 08:00:00-04:00,0.77,0.81,4.1
2015-07-28 08:00:00-04:00,0.77,0.84,9.53
2015-04-21 08:00:00-04:00,0.68,0.71,4.66
2015-01-30 08:00:00-05:00,0.73,0.74,1.2
2014-10-28 08:00:00-04:00,0.64,0.69,7.65
2014-07-29 08:00:00-04:00,0.59,0.6,1.14
2014-04-29 08:00:00-04:00,0.51,0.51,1.47
2014-01-31 08:00:00-05:00,0.62,0.63,1.35
2013-10-29 08:00:00-04:00,0.57,0.58,1.97
