EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,0.6,,
2025-11-04 07:00:00-05:00,0.63,0.87,37.43
2025-08-05 06:00:00-04:00,0.57,0.78,35.94
2025-04-29 06:00:00-04:00,0.67,0.92,36.49
2025-02-04 06:00:00-05:00,0.46,0.63,37.2
2024-10-29 06:00:00-04:00,0.61,1.06,73.28
2024-07-30 08:00:00-04:00,0.46,0.6,30.19
2024-05-01 06:00:00-04:00,0.34,0.55,61.01
2024-01-30 06:00:00-05:00,-0.18,0.1,154.7
2023-10-31 06:00:00-04:00,-0.34,-0.17,49.96
2023-08-01 06:00:00-04:00,0.58,0.67,15.28
2023-05-02 06:00:00-04:00,0.99,1.23,24.68
2023-01-31 06:00:00-05:00,1.04,1.14,9.4
2022-11-01 06:00:00-04:00,1.4,1.78,27.03
2022-07-28 06:00:00-04:00,1.78,2.04,14.8
2022-05-03 06:00:00-04:00,1.57,1.62,3.47
2022-02-08 06:00:00-05:00,0.87,1.08,23.6
2021-11-02 06:00:00-04:00,1.09,1.34,23.5
2021-07-28 06:00:00-04:00,0.98,1.07,9.42
2021-05-04 06:00:00-04:00,0.78,0.93,19.63
2021-02-02 06:00:00-05:00,0.46,0.42,-9.65
2020-10-27 06:00:00-04:00,0.71,0.72,0.97
2020-07-28 06:00:00-04:00,0.66,0.78,18.13
2020-04-28 06:00:00-04:00,0.73,0.8,9.98
2020-01-28 06:00:00-05:00,0.58,0.55,-4.49
2019-10-29 06:00:00-04:00,0.62,0.75,21.09
2019-07-29 06:00:00-04:00,0.75,0.8,5.97
2019-04-30 06:00:00-04:00,0.75,0.85,13.03
2019-01-29 06:00:00-05:00,0.63,0.64,1.03
2018-10-30 06:00:00-04:00,0.75,0.78,4.57
2018-07-31 06:00:00-04:00,0.74,0.81,8.88
2018-05-01 06:00:00-04:00,0.74,0.77,3.6
2018-01-30 06:00:00-05:00,0.56,0.62,10.49
2017-10-31 06:00:00-04:00,0.65,0.67,3.68
2017-08-01 06:00:00-04:00,0.66,0.67,1.7
2017-05-02 06:00:00-04:00,0.67,0.69,2.77
2017-01-31 06:00:00-05:00,0.51,0.47,-7.09
2016-11-01 06:00:00-04:00,0.62,0.61,-1.6
2016-08-02 06:00:00-04:00,0.62,0.64,2.81
2016-05-03 05:00:00-04:00,0.55,0.67,21.21
2016-02-02 06:00:00-05:00,0.52,0.53,1.4
2015-10-27 06:00:00-04:00,0.51,0.6,18.81
2015-07-28 07:00:00-04:00,0.52,0.56,8.56
2015-04-28 07:00:00-04:00,0.49,0.51,3.28
2015-01-27 07:00:00-05:00,0.53,0.54,2.33
2014-10-28 07:00:00-04:00,0.55,0.57,3.09
2014-07-29 07:00:00-04:00,0.57,0.58,2.16
2014-05-05 07:00:00-04:00,0.55,0.57,3.73
2014-01-28 07:00:00-05:00,0.53,0.56,6.51
2013-10-29 07:00:00-04:00,0.56,0.58,3.83
