EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 08:00:00-05:00,4.31,,
2025-10-15 08:00:00-04:00,5.27,4.44,-15.78
2025-07-16 08:00:00-04:00,4.4,4.88,10.73
2025-04-16 09:00:00-04:00,4.75,4.65,-2.08
2025-01-28 19:00:00-05:00,3.56,4.08,14.63
2024-10-15 08:00:00-04:00,3.67,3.58,-2.3
2024-07-16 08:00:00-04:00,2.01,2.65,31.69
2024-04-12 09:00:00-04:00,3.21,3.76,17.05
2024-01-24 08:00:00-05:00,2.43,2.97,22.59
2023-10-31 08:00:00-04:00,1.71,2.11,23.44
2023-08-01 10:00:00-04:00,0.84,0.42,-50.62
2023-04-13 09:00:00-04:00,1.35,0.66,-50.85
2023-01-25 09:00:00-05:00,1.43,1.51,5.74
2022-10-13 08:00:00-04:00,0.92,0.53,-42.17
2022-07-15 08:00:00-04:00,0.93,0.79,-14.86
2022-04-14 11:00:00-04:00,1.24,1.15,-7.69
2022-01-26 09:00:00-05:00,1.02,1.08,5.81
2021-10-14 10:00:00-04:00,0.22,0.15,-32.69
2021-07-15 08:00:00-04:00,1.05,0.71,-32.36
2021-04-15 10:00:00-04:00,1.72,1.72,0.15
2021-01-27 09:00:00-05:00,1.69,1.84,8.54
2020-10-14 08:00:00-04:00,1.69,1.88,11.18
2020-07-15 09:00:00-04:00,1.73,1.85,6.88
2020-04-15 09:00:00-04:00,1.46,1.93,32.36
2020-01-29 11:00:00-05:00,1.13,1.29,14.66
2019-10-16 08:00:00-04:00,1.3,1.33,1.96
2019-07-17 08:00:00-04:00,1.41,1.43,1.11
2019-04-16 08:00:00-04:00,1.36,1.35,-0.4
2019-01-23 08:00:00-05:00,1.01,1.25,23.56
2018-10-16 08:00:00-04:00,1.1,1.33,20.6
2018-07-17 08:00:00-04:00,1.11,1.16,4.57
2018-04-17 08:00:00-04:00,1.18,1.29,9.52
2018-01-24 08:00:00-05:00,0.77,0.8,3.86
2017-10-17 08:00:00-04:00,0.35,0.42,20.74
2017-07-18 08:00:00-04:00,0.59,0.59,-0.26
2017-04-18 08:00:00-04:00,0.69,0.67,-2.99
2017-01-25 08:00:00-05:00,0.51,0.62,21.77
2016-10-13 08:00:00-04:00,0.33,0.37,10.3
2016-07-14 08:00:00-04:00,0.32,0.29,-9.62
2016-04-14 08:00:00-04:00,0.51,0.42,-16.54
2016-01-27 08:00:00-05:00,0.46,0.55,18.66
2015-10-16 08:00:00-04:00,0.48,0.49,2.06
2015-07-17 08:00:00-04:00,0.55,0.53,-4.2
2015-04-15 09:00:00-04:00,0.43,0.46,8.73
2015-01-28 08:00:00-05:00,0.45,0.59,31.82
2014-10-10 08:00:00-04:00,0.44,0.46,4.05
2014-07-10 08:00:00-04:00,0.48,0.45,-7.78
2014-04-09 08:00:00-04:00,0.39,0.4,3.88
2014-01-22 08:00:00-05:00,0.42,0.41,-4.22
2013-10-09 08:00:00-04:00,0.36,0.36,1.33
