EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 16:00:00-05:00,2.41,,
2025-10-22 17:00:00-04:00,2.82,2.73,-3.09
2025-07-23 17:00:00-04:00,2.44,2.48,1.47
2025-04-22 16:00:00-04:00,2.21,2.31,4.34
2025-01-28 16:00:00-05:00,2.53,2.45,-3.31
2024-10-22 16:00:00-04:00,2.5,2.65,5.86
2024-07-23 16:00:00-04:00,2.15,2.2,2.25
2024-04-22 16:00:00-04:00,1.68,1.72,2.46
2024-01-24 16:00:00-05:00,1.83,2.13,16.22
2023-10-23 16:00:00-04:00,1.93,2.05,6.38
2023-07-24 17:00:00-04:00,2.0,2.31,15.64
2023-04-24 17:00:00-04:00,2.27,2.2,-2.99
2023-01-25 17:00:00-05:00,2.23,2.35,5.61
2022-10-24 16:00:00-04:00,2.81,2.83,0.64
2022-07-25 17:00:00-04:00,2.85,3.23,13.21
2022-04-25 17:00:00-04:00,2.52,2.72,8.0
2022-01-26 17:00:00-05:00,2.07,2.76,33.51
2021-10-25 17:00:00-04:00,2.34,2.69,14.84
2021-07-26 17:00:00-04:00,1.78,2.17,22.15
2021-04-26 17:00:00-04:00,1.45,1.77,22.14
2021-01-27 17:00:00-05:00,1.48,1.33,-9.96
2020-10-26 18:00:00-04:00,1.42,1.57,10.58
2020-07-28 17:00:00-04:00,1.28,1.38,8.23
2020-04-27 18:00:00-04:00,1.22,1.5,22.49
2020-01-29 17:00:00-05:00,1.7,1.71,0.43
2019-10-23 18:00:00-04:00,1.91,1.92,0.79
2019-07-24 17:00:00-04:00,2.03,2.04,0.37
2019-04-24 17:00:00-04:00,1.96,1.98,1.15
2019-01-29 17:00:00-05:00,2.14,2.17,1.33
2018-10-24 17:00:00-04:00,2.15,2.23,3.78
2018-07-25 17:00:00-04:00,1.97,2.08,5.71
2018-04-24 17:00:00-04:00,1.53,1.55,1.29
2018-01-30 17:00:00-05:00,1.51,1.56,3.18
2017-10-25 17:00:00-04:00,1.68,1.68,-0.18
2017-07-26 18:00:00-04:00,1.47,1.52,3.24
2017-04-26 17:00:00-04:00,1.22,1.27,3.93
2017-01-30 17:00:00-05:00,1.15,1.23,6.55
2016-10-19 17:00:00-04:00,1.3,1.3,-0.3
2016-07-20 17:00:00-04:00,1.18,1.25,5.93
2016-04-20 17:00:00-04:00,1.01,1.11,9.63
2016-01-25 17:00:00-05:00,1.03,1.08,4.88
2015-10-20 17:00:00-04:00,1.28,1.26,-1.78
2015-07-21 17:00:00-04:00,1.03,1.18,14.92
2015-04-20 17:00:00-04:00,1.08,1.01,-6.87
2015-01-26 17:00:00-05:00,1.17,1.16,-0.87
2014-10-20 17:00:00-04:00,1.26,1.26,0.22
2014-07-21 17:00:00-04:00,1.1,1.16,5.29
2014-04-22 17:00:00-04:00,1.0,1.08,7.96
2014-02-11 17:00:00-05:00,0.89,1.04,17.01
2013-10-14 17:00:00-04:00,0.89,0.91,2.72
