EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-03 08:00:00-05:00,1.16,,
2025-10-21 06:00:00-04:00,1.18,1.24,5.02
2025-07-22 06:00:00-04:00,1.34,1.39,4.01
2025-04-22 06:00:00-04:00,1.01,1.11,9.74
2025-02-04 06:00:00-05:00,1.02,1.08,5.96
2024-10-22 06:00:00-04:00,1.07,1.09,1.72
2024-07-23 06:00:00-04:00,1.14,1.22,6.69
2024-04-23 06:00:00-04:00,0.9,0.94,4.62
2024-01-30 06:00:00-05:00,0.86,0.87,0.75
2023-10-24 06:00:00-04:00,0.87,0.91,4.14
2023-07-27 06:00:00-04:00,0.95,1.03,7.94
2023-04-27 06:00:00-04:00,0.77,0.91,17.63
2023-01-31 06:00:00-05:00,0.79,0.82,4.26
2022-10-25 06:00:00-04:00,0.93,0.99,6.8
2022-07-26 06:00:00-04:00,1.0,1.02,2.51
2022-04-21 06:00:00-04:00,0.81,0.85,5.27
2022-02-01 06:00:00-05:00,0.85,0.81,-4.63
2021-10-26 06:00:00-04:00,0.83,0.89,6.75
2021-07-27 06:00:00-04:00,0.8,0.84,5.2
2021-04-22 05:00:00-04:00,0.62,0.81,30.14
2021-01-28 06:00:00-05:00,0.63,0.7,10.4
2020-10-20 06:00:00-04:00,0.51,0.7,37.84
2020-07-23 06:00:00-04:00,0.49,0.59,21.0
2020-04-30 07:00:00-04:00,0.43,0.52,20.27
2020-01-28 06:00:00-05:00,0.65,0.68,4.56
2019-10-23 07:00:00-04:00,0.55,0.58,5.05
2019-07-23 07:00:00-04:00,0.65,0.69,5.73
2019-04-09 06:00:00-04:00,0.54,0.43,-19.65
2019-01-29 07:00:00-05:00,0.59,0.6,1.31
2018-10-23 07:00:00-04:00,0.52,0.54,3.83
2018-07-25 07:00:00-04:00,0.69,0.71,3.01
2018-04-19 02:00:00-04:00,0.83,0.88,6.14
2018-01-30 07:00:00-05:00,0.93,0.93,-0.31
2017-10-24 07:00:00-04:00,0.93,0.95,1.84
2017-07-25 07:00:00-04:00,1.0,1.0,-0.4
2017-04-25 07:00:00-04:00,0.61,0.65,6.38
2017-01-31 07:00:00-05:00,0.73,0.78,6.65
2016-10-25 07:00:00-04:00,0.73,0.78,6.82
2016-07-28 07:00:00-04:00,1.1,1.11,1.13
2016-04-26 07:00:00-04:00,0.71,0.76,6.52
2016-02-02 07:00:00-05:00,1.04,1.13,8.78
2015-10-20 07:00:00-04:00,0.96,0.97,1.54
2015-07-21 07:00:00-04:00,0.95,1.08,13.71
2015-04-21 07:00:00-04:00,0.65,0.65,-0.13
2015-02-03 07:00:00-05:00,1.03,1.06,3.25
2014-10-21 07:00:00-04:00,0.94,1.0,6.78
2014-07-31 07:00:00-04:00,1.03,1.04,0.62
2014-04-22 07:00:00-04:00,0.73,0.73,0.26
2014-01-28 07:00:00-05:00,0.84,0.86,1.84
2013-10-22 07:00:00-04:00,0.86,0.86,0.44
