EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-19 08:00:00-05:00,0.98,,
2025-10-23 07:00:00-04:00,3.37,3.39,0.66
2025-07-24 07:00:00-04:00,5.15,5.17,0.33
2025-04-24 07:00:00-04:00,1.48,1.42,-4.1
2025-02-20 07:00:00-05:00,0.89,0.97,8.53
2024-10-24 07:00:00-04:00,3.17,3.26,2.76
2024-07-25 07:00:00-04:00,4.9,4.98,1.68
2024-04-25 07:00:00-04:00,1.93,1.85,-4.03
2024-02-22 07:00:00-05:00,1.27,1.3,2.14
2023-10-19 07:00:00-04:00,3.44,3.5,1.84
2023-07-20 07:00:00-04:00,6.12,5.89,-3.69
2023-04-20 07:00:00-04:00,3.19,2.46,-22.83
2023-02-16 07:00:00-05:00,1.98,1.79,-9.67
2022-10-20 07:00:00-04:00,4.59,4.76,3.65
2022-07-21 07:00:00-04:00,7.39,7.59,2.66
2022-04-21 07:00:00-04:00,3.09,4.23,36.7
2022-02-17 07:00:00-05:00,1.92,2.28,18.65
2021-10-21 07:00:00-04:00,3.87,4.4,13.64
2021-07-22 07:00:00-04:00,5.49,6.18,12.55
2021-04-22 07:00:00-04:00,1.16,2.32,100.0
2021-02-11 07:00:00-05:00,0.8,1.45,81.25
2020-10-22 07:00:00-04:00,2.19,2.71,23.84
2020-07-23 07:00:00-04:00,3.15,3.72,18.1
2020-04-23 08:00:00-04:00,0.64,0.71,11.71
2020-02-13 07:00:00-05:00,0.37,0.44,20.36
2019-10-17 07:00:00-04:00,1.78,1.95,9.32
2019-07-18 07:00:00-04:00,3.23,3.22,-0.16
2019-04-18 07:00:00-04:00,0.64,0.8,25.0
2019-02-14 07:00:00-05:00,0.44,0.41,-7.08
2018-10-18 07:00:00-04:00,1.59,1.66,4.57
2018-07-19 07:00:00-04:00,2.88,2.8,-2.78
2018-04-19 07:00:00-04:00,0.71,0.75,6.38
2018-02-15 07:00:00-05:00,0.17,0.21,23.53
2017-10-19 07:00:00-04:00,1.16,1.16,0.35
2017-07-20 07:00:00-04:00,2.24,2.21,-1.43
2017-04-20 07:00:00-04:00,0.4,0.52,30.65
2017-02-16 07:00:00-05:00,0.06,0.06,
2016-10-20 07:00:00-04:00,1.01,1.04,2.88
2016-07-21 07:00:00-04:00,1.93,1.98,2.72
2016-04-21 07:00:00-04:00,0.24,0.38,55.55
2016-02-18 07:00:00-05:00,-0.01,0.06,550.11
2015-10-22 07:00:00-04:00,0.88,0.9,2.86
2015-07-23 07:00:00-04:00,1.78,1.75,-1.89
2015-04-23 07:00:00-04:00,0.14,0.19,40.0
2015-02-12 07:00:00-05:00,-0.07,-0.05,31.38
2014-10-16 07:00:00-04:00,0.78,0.78,-0.21
2014-07-17 07:00:00-04:00,1.61,1.61,-0.1
2014-04-17 07:00:00-04:00,0.1,0.09,-12.9
2014-02-13 07:00:00-05:00,-0.12,-0.11,4.93
2013-10-17 07:00:00-04:00,0.72,0.68,-5.34
