EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-12 08:00:00-05:00,0.42,,
2025-11-05 07:00:00-05:00,0.46,0.48,5.33
2025-07-31 07:00:00-04:00,0.39,0.25,-35.46
2025-04-30 07:00:00-04:00,0.54,0.6,11.02
2025-02-13 08:00:00-05:00,0.37,0.34,-8.9
2024-11-01 08:00:00-04:00,0.42,0.42,-1.12
2024-08-02 08:00:00-04:00,0.33,0.38,15.69
2024-05-01 07:00:00-04:00,0.5,0.54,7.31
2024-02-16 08:00:00-05:00,0.38,0.4,5.24
2023-11-02 08:00:00-04:00,0.42,0.43,2.29
2023-08-04 08:00:00-04:00,0.32,0.29,-8.81
2023-05-04 08:00:00-04:00,0.45,0.48,5.58
2023-02-17 08:00:00-05:00,0.29,0.28,-1.86
2022-11-04 08:00:00-04:00,0.42,0.41,-2.92
2022-08-03 08:00:00-04:00,0.3,0.3,1.17
2022-05-05 08:00:00-04:00,0.4,0.41,1.65
2022-02-18 08:00:00-05:00,0.32,0.22,-31.72
2021-11-04 08:00:00-04:00,0.38,0.36,-5.22
2021-08-05 08:00:00-04:00,0.24,0.19,-22.05
2021-05-06 08:00:00-04:00,0.64,0.28,-56.03
2021-02-18 08:00:00-05:00,0.61,0.59,-3.78
2020-11-05 08:00:00-05:00,0.6,0.58,-3.73
2020-08-10 08:00:00-04:00,0.55,0.55,0.15
2020-05-08 09:00:00-04:00,0.72,0.67,-6.73
2020-02-14 08:00:00-05:00,0.53,0.57,8.01
2019-11-05 08:00:00-05:00,0.62,0.61,-1.69
2019-08-06 08:00:00-04:00,0.56,0.58,3.36
2019-05-02 08:00:00-04:00,0.73,0.7,-4.12
2019-02-14 07:00:00-05:00,0.49,0.52,6.66
2018-11-01 08:00:00-04:00,0.56,0.59,5.89
2018-08-07 08:00:00-04:00,0.54,0.55,0.99
2018-05-03 08:00:00-04:00,0.66,0.74,11.38
2018-02-22 07:00:00-05:00,0.48,0.55,15.14
2017-11-01 07:00:00-04:00,0.54,0.56,4.64
2017-08-03 07:00:00-04:00,0.5,0.52,4.29
2017-05-04 07:00:00-04:00,0.61,0.62,0.97
2017-02-01 07:00:00-05:00,0.52,0.6,15.7
2016-11-01 07:00:00-04:00,0.58,0.63,7.93
2016-08-09 07:00:00-04:00,0.53,0.56,6.13
2016-04-28 07:00:00-04:00,0.74,0.67,-9.77
2016-02-04 07:00:00-05:00,0.44,0.43,-2.26
2015-10-29 06:00:00-04:00,0.5,0.51,2.9
2015-08-03 06:00:00-04:00,0.47,0.49,4.9
2015-05-07 07:00:00-04:00,0.68,0.77,12.49
2015-02-05 07:00:00-05:00,0.49,0.58,17.77
2014-11-04 06:00:00-05:00,0.53,0.53,0.38
2014-07-31 06:00:00-04:00,0.45,0.53,16.96
2014-05-01 06:00:00-04:00,0.7,0.8,13.99
2014-02-06 06:00:00-05:00,0.51,0.6,18.4
2013-10-31 07:00:00-04:00,0.68,0.66,-3.21
