EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-10-28 16:00:00-04:00,0.55,,
2025-07-29 16:00:00-04:00,0.55,0.56,1.92
2025-04-29 16:00:00-04:00,0.56,0.58,3.98
2025-02-06 16:00:00-05:00,0.47,0.46,-3.06
2024-10-28 16:00:00-04:00,0.47,0.54,15.81
2024-08-01 16:00:00-04:00,0.46,0.54,16.38
2024-05-02 16:00:00-04:00,0.49,0.57,17.13
2024-02-08 17:00:00-05:00,0.51,0.47,-8.6
2023-11-02 18:00:00-04:00,0.49,0.5,2.04
2023-08-03 16:00:00-04:00,0.51,0.51,0.66
2023-05-04 16:00:00-04:00,0.5,0.57,13.08
2023-02-09 16:00:00-05:00,0.48,0.54,11.95
2022-11-04 06:00:00-04:00,0.47,0.51,8.75
2022-08-05 06:00:00-04:00,0.45,0.51,12.99
2022-05-03 16:00:00-04:00,0.41,0.54,31.15
2022-02-10 16:00:00-05:00,0.55,0.09,-84.24
2021-11-05 06:00:00-04:00,0.45,0.65,43.16
2021-08-05 16:00:00-04:00,0.3,0.44,48.02
2021-05-06 16:00:00-04:00,0.19,0.41,119.24
2021-02-11 16:00:00-05:00,0.2,0.23,16.8
2020-11-05 16:00:00-05:00,0.17,0.17,-0.29
2020-08-03 16:00:00-04:00,0.2,0.07,-65.35
2020-05-07 17:00:00-04:00,0.34,0.41,22.97
2020-02-12 16:00:00-05:00,0.38,0.45,18.25
2019-10-30 17:00:00-04:00,0.34,0.34,-0.55
