EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-16 08:00:00-05:00,0.62,,
2025-10-17 06:00:00-04:00,0.6,0.61,1.89
2025-07-18 06:00:00-04:00,0.56,0.6,7.46
2025-04-17 06:00:00-04:00,0.51,0.54,6.16
2025-01-17 06:00:00-05:00,0.55,0.59,6.34
2024-10-18 06:00:00-04:00,0.52,0.49,-6.23
2024-07-19 06:00:00-04:00,0.49,0.54,10.59
2024-04-19 06:00:00-04:00,0.46,0.44,-3.48
2024-01-19 06:00:00-05:00,0.48,0.52,7.87
2023-10-20 06:00:00-04:00,0.58,0.5,-14.13
2023-07-21 06:00:00-04:00,0.59,0.59,0.29
2023-04-21 06:00:00-04:00,0.64,0.63,-1.78
2023-01-20 06:00:00-05:00,0.65,0.67,3.08
2022-10-21 06:00:00-04:00,0.59,0.56,-4.87
2022-07-22 06:00:00-04:00,0.53,0.59,10.25
2022-04-22 06:00:00-04:00,0.47,0.55,16.26
2022-01-20 06:00:00-05:00,0.5,0.44,-12.43
2021-10-22 06:00:00-04:00,0.53,0.66,24.2
2021-07-23 06:00:00-04:00,0.53,0.76,44.85
2021-04-23 06:00:00-04:00,0.48,0.63,32.55
2021-01-22 06:00:00-05:00,0.42,0.62,49.34
2020-10-20 06:00:00-04:00,0.33,0.49,49.87
2020-07-17 07:00:00-04:00,0.07,-0.23,-434.45
2020-04-17 06:00:00-04:00,0.31,0.15,-50.94
2020-01-17 06:00:00-05:00,0.39,0.38,-1.93
2019-10-22 06:00:00-04:00,0.39,0.39,0.42
2019-07-19 06:00:00-04:00,0.39,0.39,-0.8
2019-04-18 06:00:00-04:00,0.37,0.37,0.73
2019-01-18 06:00:00-05:00,0.38,0.38,-0.24
2018-10-23 06:00:00-04:00,0.36,0.37,2.71
2018-07-20 06:00:00-04:00,0.33,0.35,5.08
2018-04-20 06:00:00-04:00,0.31,0.33,7.8
2018-01-19 06:00:00-05:00,0.26,0.34,28.71
2017-10-24 06:00:00-04:00,0.25,0.25,-0.72
2017-07-21 06:00:00-04:00,0.24,0.25,4.16
2017-04-18 06:00:00-04:00,0.22,0.23,3.38
2017-01-20 06:00:00-05:00,0.23,0.24,6.11
2016-10-18 06:00:00-04:00,0.21,0.24,12.02
2016-07-19 06:00:00-04:00,0.2,0.21,2.61
2016-04-15 06:00:00-04:00,0.19,0.2,7.5
2016-01-15 06:00:00-05:00,0.19,0.21,8.51
2015-10-20 06:00:00-04:00,0.2,0.18,-8.15
2015-07-21 06:00:00-04:00,0.2,0.19,-5.48
2015-04-21 06:00:00-04:00,0.18,0.18,-1.68
2015-01-20 06:00:00-05:00,0.21,0.14,-32.62
2014-10-21 06:00:00-04:00,0.21,0.22,3.15
2014-07-22 06:00:00-04:00,0.21,0.21,0.02
2014-04-22 06:00:00-04:00,0.2,0.21,6.97
2014-01-21 06:00:00-05:00,0.2,0.16,-20.39
2013-10-22 07:00:00-04:00,0.21,0.2,-6.44
