EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,5.14,,
2025-10-23 06:00:00-04:00,5.11,5.14,0.58
2025-07-21 06:00:00-04:00,4.83,4.87,0.75
2025-04-28 06:00:00-04:00,4.74,4.78,0.76
2025-01-30 06:00:00-05:00,4.73,4.81,1.73
2024-10-23 06:00:00-04:00,4.53,4.62,1.94
2024-07-24 07:00:00-04:00,4.47,4.48,0.31
2024-04-26 06:00:00-04:00,4.34,4.41,1.63
2024-01-31 06:00:00-05:00,2.99,3.61,20.79
2023-10-25 06:00:00-04:00,4.22,4.32,2.33
2023-07-21 06:00:00-04:00,3.99,4.12,3.15
2023-04-27 06:00:00-04:00,3.85,3.9,1.25
2023-01-27 06:00:00-05:00,3.77,3.92,3.86
2022-10-26 06:00:00-04:00,3.45,3.67,6.38
2022-07-22 06:00:00-04:00,3.35,3.95,17.91
2022-04-26 06:00:00-04:00,3.68,3.77,2.45
2022-02-02 06:00:00-05:00,3.7,3.73,0.93
2021-10-22 06:00:00-04:00,3.85,3.91,1.68
2021-07-23 06:00:00-04:00,3.66,3.76,2.65
2021-04-27 06:00:00-04:00,3.32,3.6,8.6
2021-01-29 06:00:00-05:00,3.49,3.56,1.96
2020-10-27 06:00:00-04:00,3.04,3.17,4.45
2020-07-28 06:00:00-04:00,2.68,2.94,9.7
2020-04-28 07:00:00-04:00,2.88,3.05,5.88
2020-01-30 06:00:00-05:00,3.34,3.39,1.4
2019-10-24 06:00:00-04:00,3.21,3.29,2.51
2019-07-25 06:00:00-04:00,3.05,3.07,0.77
2019-04-25 06:00:00-04:00,2.78,3.3,18.53
2019-02-01 06:00:00-05:00,3.13,3.22,2.9
2018-10-26 06:00:00-04:00,2.94,3.09,5.11
2018-07-26 06:00:00-04:00,2.71,2.89,6.76
2018-04-20 06:00:00-04:00,2.49,2.61,4.63
2018-02-02 06:00:00-05:00,2.61,2.7,3.54
2017-10-30 06:00:00-04:00,2.29,2.36,2.85
2017-07-31 06:00:00-04:00,2.22,2.24,0.99
2017-04-28 06:00:00-04:00,1.99,2.11,6.03
2017-02-09 08:00:00-05:00,1.84,1.86,1.35
2016-10-31 06:00:00-04:00,1.61,1.65,2.2
2016-07-25 06:00:00-04:00,1.61,1.56,-3.23
2016-04-25 06:00:00-04:00,1.46,1.5,2.75
2016-02-01 06:00:00-05:00,1.87,1.82,-2.41
2015-10-26 06:00:00-04:00,1.57,1.61,2.58
2015-07-27 07:00:00-04:00,1.64,1.7,3.4
2015-04-27 07:00:00-04:00,1.52,1.55,1.92
2015-01-26 07:00:00-05:00,1.79,1.85,3.21
2014-10-27 07:00:00-04:00,1.53,1.55,1.12
2014-07-28 07:00:00-04:00,1.5,1.56,3.83
2014-04-28 07:00:00-04:00,1.35,1.46,8.47
2014-01-27 07:00:00-05:00,1.6,1.65,2.97
2013-10-28 07:00:00-04:00,1.45,1.42,-2.28
