EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-03-05 16:00:00-05:00,1.66,,
2025-11-20 16:00:00-05:00,1.41,1.58,11.76
2025-08-21 16:00:00-04:00,1.54,1.56,1.46
2025-05-22 16:00:00-04:00,1.45,1.47,1.45
2025-03-04 16:00:00-05:00,1.66,1.65,-0.39
2024-11-21 16:00:00-05:00,1.4,1.48,5.57
2024-08-22 16:00:00-04:00,1.49,1.59,6.81
2024-05-23 16:00:00-04:00,1.35,1.46,8.47
2024-03-05 16:00:00-05:00,1.65,1.82,10.12
2023-11-16 16:00:00-05:00,1.22,1.33,8.87
2023-08-17 16:00:00-04:00,1.16,1.32,13.5
2023-05-18 16:00:00-04:00,1.05,1.09,3.47
2023-02-28 16:00:00-05:00,1.24,1.31,5.69
2022-11-17 16:00:00-05:00,0.81,1.0,23.49
2022-08-18 16:00:00-04:00,1.0,1.11,11.15
2022-05-19 16:00:00-04:00,1.0,0.97,-3.0
2022-03-01 16:00:00-05:00,0.97,1.04,6.72
2021-11-18 16:00:00-05:00,0.77,1.09,41.56
2021-08-19 16:00:00-04:00,0.96,1.39,45.2
2021-05-20 16:00:00-04:00,0.89,1.34,51.09
2021-03-02 16:00:00-05:00,1.01,0.67,-33.98
2020-11-19 16:00:00-05:00,0.6,1.02,71.3
2020-08-20 16:00:00-04:00,-0.26,0.06,122.8
2020-05-21 16:00:00-04:00,0.02,-0.29,-1468.57
2020-03-03 16:00:00-05:00,1.26,1.28,1.96
2019-11-21 16:00:00-05:00,0.98,1.03,5.53
2019-08-22 16:00:00-04:00,1.12,1.14,2.05
2019-05-23 16:00:00-04:00,1.12,1.15,2.37
2019-03-05 16:00:00-05:00,1.13,1.13,0.32
2018-11-20 08:00:00-05:00,0.9,0.91,1.34
2018-08-23 16:00:00-04:00,1.01,1.04,3.34
2018-05-24 16:00:00-04:00,1.07,1.11,3.59
2018-03-06 16:00:00-05:00,0.93,1.09,17.53
2017-11-16 16:00:00-05:00,0.67,0.72,7.95
2017-08-17 16:00:00-04:00,0.77,0.82,6.92
2017-05-18 16:00:00-04:00,0.8,0.82,2.59
2017-02-28 16:00:00-05:00,0.75,0.77,2.18
2016-11-17 16:00:00-05:00,0.56,0.62,10.81
2016-08-18 16:00:00-04:00,0.67,0.71,5.37
2016-05-19 16:00:00-04:00,0.73,0.73,-0.27
2016-03-01 16:00:00-05:00,0.64,0.66,3.19
2015-11-19 16:00:00-05:00,0.5,0.53,5.85
2015-08-20 16:00:00-04:00,0.62,0.63,1.41
2015-05-21 16:00:00-04:00,0.64,0.67,4.06
2015-02-26 16:00:00-05:00,0.56,0.6,7.38
2014-11-20 16:00:00-05:00,0.43,0.47,7.63
2014-08-21 16:00:00-04:00,0.54,0.57,5.53
2014-05-22 16:00:00-04:00,0.58,0.57,-0.27
2014-02-27 16:00:00-05:00,0.51,0.51,0.45
2013-11-21 16:00:00-05:00,0.4,0.4,0.12
