EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-12 16:00:00-05:00,1.63,,
2025-10-30 16:00:00-04:00,1.78,1.9,6.49
2025-07-29 16:00:00-04:00,1.76,1.77,0.81
2025-04-24 16:00:00-04:00,1.53,1.58,3.07
2025-02-13 16:00:00-05:00,1.37,1.63,19.02
2024-10-29 16:00:00-04:00,1.61,1.81,12.27
2024-07-24 16:00:00-04:00,1.5,1.62,8.02
2024-04-30 16:00:00-04:00,1.35,1.45,7.55
2024-02-27 16:00:00-05:00,1.29,1.41,9.13
2023-10-26 16:00:00-04:00,1.43,1.54,7.63
2023-07-31 16:00:00-04:00,1.32,1.41,6.93
2023-04-27 16:00:00-04:00,1.13,1.24,10.08
2023-02-15 16:00:00-05:00,1.02,1.13,10.69
2022-10-27 16:00:00-04:00,1.22,1.34,10.04
2022-08-04 16:00:00-04:00,1.19,1.32,11.38
2022-05-05 16:00:00-04:00,1.05,1.14,9.01
2022-02-10 16:00:00-05:00,1.01,1.02,0.9
2021-10-28 16:00:00-04:00,1.05,1.11,6.04
2021-07-29 16:00:00-04:00,0.96,1.09,14.04
2021-05-05 16:00:00-04:00,0.86,0.93,8.69
2021-02-22 16:00:00-05:00,0.82,1.0,22.64
2020-11-05 16:00:00-05:00,0.81,1.0,23.19
2020-08-06 16:00:00-04:00,0.58,0.81,38.93
2020-05-05 17:00:00-04:00,0.75,0.77,2.33
2020-02-13 16:00:00-05:00,0.88,0.91,3.08
2019-10-30 16:00:00-04:00,0.86,0.91,6.35
2019-07-25 16:00:00-04:00,0.77,0.79,2.07
2019-04-25 16:00:00-04:00,0.73,0.73,-0.14
2019-02-07 16:00:00-05:00,0.78,0.8,2.58
2018-10-25 16:00:00-04:00,0.81,0.82,0.73
2018-07-26 16:00:00-04:00,0.75,0.73,-2.36
2018-05-02 16:00:00-04:00,0.68,0.74,8.45
2018-02-08 16:00:00-05:00,0.57,0.61,6.86
2017-11-02 16:00:00-04:00,0.63,0.67,5.95
2017-07-27 16:00:00-04:00,0.6,0.61,2.05
2017-04-27 16:00:00-04:00,0.53,0.55,3.72
2017-02-16 16:00:00-05:00,0.55,0.57,3.44
2016-10-27 16:00:00-04:00,0.58,0.62,6.77
2016-07-28 16:00:00-04:00,0.55,0.55,-0.05
2016-04-28 16:00:00-04:00,0.47,0.48,1.29
2016-02-11 16:00:00-05:00,0.49,0.5,1.47
2015-10-29 16:00:00-04:00,0.53,0.53,-0.03
2015-07-23 16:00:00-04:00,0.51,0.54,5.65
2015-04-23 16:00:00-04:00,0.43,0.49,12.65
2015-02-12 16:00:00-05:00,0.48,0.5,4.06
2014-10-30 16:00:00-04:00,0.53,0.52,-1.27
2014-07-24 16:00:00-04:00,0.49,0.51,4.72
2014-04-24 16:00:00-04:00,0.44,0.43,-2.65
2014-02-06 16:00:00-05:00,0.46,0.53,15.18
2013-10-31 16:00:00-04:00,0.5,0.55,10.66
