EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 08:00:00-05:00,1.47,,
2025-10-21 06:00:00-04:00,1.41,1.7,20.64
2025-07-22 06:00:00-04:00,1.1,1.22,11.22
2025-04-22 06:00:00-04:00,1.37,1.47,7.52
2025-01-28 07:00:00-05:00,1.38,1.54,11.8
2024-10-22 06:00:00-04:00,1.34,1.45,8.31
2024-07-25 06:00:00-04:00,1.3,1.41,8.61
2024-04-23 06:00:00-04:00,0.93,1.28,37.64
2024-01-23 06:00:00-05:00,1.25,1.29,3.46
2023-10-24 06:00:00-04:00,1.22,1.25,2.64
2023-07-25 06:00:00-04:00,1.18,1.29,9.73
2023-04-25 06:00:00-04:00,1.13,1.22,7.52
2023-01-24 06:00:00-05:00,1.25,1.27,1.83
2022-10-25 06:00:00-04:00,1.14,1.21,6.33
2022-07-26 06:00:00-04:00,1.11,1.16,4.16
2022-04-26 06:00:00-04:00,1.02,1.15,13.11
2022-01-25 06:00:00-05:00,1.02,1.08,5.72
2021-10-26 06:00:00-04:00,1.09,1.26,16.0
2021-07-27 06:00:00-04:00,0.93,1.03,10.91
2021-04-27 06:00:00-04:00,0.83,0.9,8.15
2021-01-26 06:00:00-05:00,0.69,0.74,6.82
2020-10-27 06:00:00-04:00,0.5,0.58,15.79
2020-07-28 06:00:00-04:00,0.12,0.4,231.51
2020-05-07 07:00:00-04:00,1.33,1.78,33.99
2020-01-28 06:00:00-05:00,1.84,1.94,5.33
2019-10-22 06:00:00-04:00,2.03,2.21,9.08
2019-07-23 06:00:00-04:00,2.05,2.2,7.11
2019-04-23 06:00:00-04:00,1.72,1.91,10.89
2019-01-23 06:00:00-05:00,1.53,1.95,27.49
2018-10-23 06:00:00-04:00,1.82,1.93,5.98
2018-07-24 06:00:00-04:00,1.85,1.97,6.2
2018-04-24 06:00:00-04:00,1.52,1.77,16.33
2018-01-24 06:00:00-05:00,1.56,1.6,2.48
2017-10-24 06:00:00-04:00,1.69,1.73,2.36
2017-07-25 06:00:00-04:00,1.77,1.85,4.29
2017-04-26 06:00:00-04:00,1.39,1.48,6.55
2017-01-25 06:00:00-05:00,1.56,1.56,-0.07
2016-10-25 06:00:00-04:00,1.67,1.76,5.63
2016-07-26 06:00:00-04:00,1.68,1.82,8.2
2016-04-27 06:00:00-04:00,1.4,1.47,5.32
2016-01-27 06:00:00-05:00,1.52,1.53,0.63
2015-10-20 06:00:00-04:00,1.56,1.61,2.89
2015-07-21 07:00:00-04:00,1.71,1.73,0.89
2015-04-21 06:00:00-04:00,1.46,1.58,8.57
2015-01-26 16:00:00-05:00,1.62,1.62,0.25
2014-10-21 06:00:00-04:00,1.81,2.04,13.01
2014-07-22 06:00:00-04:00,1.78,1.84,3.14
2014-04-22 07:00:00-04:00,1.27,1.32,3.65
2014-01-22 06:00:00-05:00,1.53,1.67,9.08
2013-10-22 06:00:00-04:00,1.54,1.63,5.81
