EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2025-12-10 16:00:00-05:00,2.88,,
2025-09-09 16:00:00-04:00,3.75,3.39,-9.48
2025-05-28 16:00:00-04:00,3.4,3.67,7.99
2025-02-26 16:00:00-05:00,2.79,3.03,8.57
2024-12-04 16:00:00-05:00,3.3,3.4,3.0
2024-08-21 16:00:00-04:00,3.29,3.43,4.3
2024-05-22 16:00:00-04:00,2.95,3.0,1.61
2024-02-21 16:00:00-05:00,3.41,3.56,4.26
2023-11-29 16:00:00-05:00,3.03,3.17,4.47
2023-08-16 16:00:00-04:00,2.74,2.88,5.25
2023-05-17 16:00:00-04:00,2.47,2.54,2.96
2023-02-15 16:00:00-05:00,2.49,2.62,5.37
2022-11-30 16:00:00-05:00,1.84,1.91,3.91
2022-08-17 16:00:00-04:00,2.04,2.1,2.88
2022-05-18 16:00:00-04:00,2.37,2.5,5.35
2022-02-16 16:00:00-05:00,2.37,2.4,1.08
2021-12-01 16:00:00-05:00,1.79,1.82,1.73
2021-08-18 16:00:00-04:00,1.78,1.81,1.9
2021-05-19 16:00:00-04:00,1.53,1.7,11.44
2021-02-17 16:00:00-05:00,1.46,1.52,4.09
2020-12-02 16:00:00-05:00,1.57,1.58,0.51
2020-08-19 16:00:00-04:00,1.34,1.74,29.42
2020-05-20 16:00:00-04:00,0.99,1.22,23.65
2020-02-19 16:00:00-05:00,0.92,1.01,9.85
2019-12-04 16:00:00-05:00,1.13,1.15,2.11
2019-08-21 16:00:00-04:00,1.1,1.18,7.67
2019-05-22 16:00:00-04:00,1.09,1.16,5.97
2019-02-20 16:00:00-05:00,0.97,1.08,11.83
2018-12-05 16:00:00-05:00,0.77,0.78,1.33
2018-08-22 16:00:00-04:00,0.92,0.95,3.82
2018-05-23 16:00:00-04:00,1.08,1.08,-0.14
2018-02-21 16:00:00-05:00,1.0,1.1,10.42
2017-11-29 16:00:00-05:00,0.57,0.69,20.95
2017-08-16 16:00:00-04:00,0.92,0.92,-0.09
2017-05-17 16:00:00-04:00,0.86,0.88,2.55
2017-02-15 16:00:00-05:00,0.78,0.94,20.1
2016-11-30 16:00:00-05:00,0.77,0.77,0.35
2016-08-17 16:00:00-04:00,0.74,0.76,3.18
2016-05-18 16:00:00-04:00,0.79,0.81,2.76
2016-02-17 16:00:00-05:00,0.61,0.68,10.61
2015-12-02 16:00:00-05:00,0.66,0.67,2.12
2015-08-19 16:00:00-04:00,0.59,0.63,6.05
2015-05-20 16:00:00-04:00,0.63,0.68,7.9
2015-02-18 16:00:00-05:00,0.62,0.8,28.15
2014-12-03 16:00:00-05:00,0.61,0.64,5.79
2014-08-20 16:00:00-04:00,0.6,0.65,7.66
2014-05-21 16:00:00-04:00,0.6,0.65,8.56
2014-02-19 16:00:00-05:00,0.52,0.59,13.46
2013-12-04 16:00:00-05:00,0.55,0.56,1.29
2013-08-21 16:00:00-04:00,0.54,0.55,1.58
