EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-09 16:00:00-05:00,1.94,,
2025-11-03 16:00:00-05:00,1.68,1.6,-4.66
2025-08-04 16:00:00-04:00,1.61,1.36,-15.48
2025-05-12 16:00:00-04:00,1.44,1.45,1.13
2025-02-04 16:00:00-05:00,1.85,1.79,-3.13
2024-11-01 08:00:00-04:00,1.53,1.46,-4.56
2024-08-05 16:00:00-04:00,1.44,1.51,4.61
2024-05-06 16:00:00-04:00,1.48,0.84,-43.35
2024-02-05 16:00:00-05:00,1.84,1.55,-15.81
2023-10-30 16:00:00-04:00,1.47,1.19,-18.96
2023-08-02 16:00:00-04:00,1.46,1.49,2.0
2023-05-02 16:00:00-04:00,1.35,1.38,1.95
2023-02-06 16:00:00-05:00,1.77,1.46,-17.64
2022-11-01 07:00:00-04:00,1.54,1.43,-6.78
2022-08-01 16:00:00-04:00,1.56,1.62,3.53
2022-05-09 16:00:00-04:00,1.29,1.21,-6.23
2022-02-07 16:00:00-05:00,1.45,1.52,4.75
2021-11-01 16:00:00-04:00,1.08,1.18,10.11
2021-08-02 16:00:00-04:00,1.04,1.56,49.36
2021-05-10 16:00:00-04:00,1.14,1.09,-4.04
2021-02-08 16:00:00-05:00,1.07,0.91,-14.69
2020-11-09 16:00:00-05:00,0.96,0.48,-49.74
2020-08-10 16:00:00-04:00,0.94,0.83,-11.29
2020-05-11 16:00:00-04:00,1.61,1.43,-11.32
2020-02-04 07:00:00-05:00,1.55,1.99,28.11
2019-10-30 06:00:00-04:00,1.72,1.77,3.18
2019-07-31 06:00:00-04:00,1.69,1.6,-5.24
2019-04-30 06:00:00-04:00,1.65,1.78,7.75
2019-02-01 06:00:00-05:00,1.9,1.91,0.35
2018-10-25 06:00:00-04:00,1.74,1.8,3.41
2018-07-30 07:00:00-04:00,1.64,1.77,7.76
2018-04-27 06:00:00-04:00,1.54,1.62,5.21
2018-01-31 07:00:00-05:00,1.79,1.84,2.72
2017-10-27 08:00:00-04:00,1.62,1.65,1.95
2017-08-01 08:00:00-04:00,1.58,1.59,0.9
2017-04-27 08:00:00-04:00,1.52,1.53,0.49
2017-01-31 08:00:00-05:00,1.82,1.64,-9.8
2016-10-26 08:00:00-04:00,1.53,1.61,5.41
2016-07-27 06:00:00-04:00,1.48,1.45,-1.7
2016-04-26 07:00:00-04:00,1.32,1.55,17.53
2016-01-29 07:00:00-05:00,1.54,1.6,3.83
2015-10-27 07:00:00-04:00,1.33,1.36,2.18
2015-07-24 07:00:00-04:00,1.26,1.52,21.11
2015-04-24 07:00:00-04:00,1.14,1.16,2.08
2015-01-30 07:00:00-05:00,1.39,1.29,-7.22
2014-10-22 07:00:00-04:00,0.99,1.1,11.08
2014-07-23 07:00:00-04:00,0.98,1.34,36.12
2014-04-22 07:00:00-04:00,1.0,1.1,9.84
2014-01-31 06:00:00-05:00,1.23,1.23,-0.09
2013-10-25 06:00:00-04:00,0.94,0.97,2.56
