EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-21 16:00:00-05:00,2.28,,
2025-10-20 16:00:00-04:00,2.63,2.74,4.16
2025-07-21 16:00:00-04:00,2.08,2.01,-3.46
2025-04-22 16:00:00-04:00,1.38,1.44,4.0
2025-01-22 17:00:00-05:00,1.28,1.36,6.34
2024-10-16 16:00:00-04:00,1.99,2.05,2.85
2024-07-17 16:00:00-04:00,2.67,2.72,1.94
2024-04-23 16:00:00-04:00,3.45,3.67,6.51
2024-01-23 16:00:00-05:00,2.62,2.61,-0.51
2023-10-18 16:00:00-04:00,3.5,3.47,-0.79
2023-07-19 16:00:00-04:00,4.8,4.81,0.31
2023-04-19 16:00:00-04:00,3.62,4.01,10.66
2023-01-25 16:00:00-05:00,3.59,4.37,21.58
2022-10-19 16:00:00-04:00,5.13,5.46,6.37
2022-07-20 16:00:00-04:00,6.14,6.73,9.66
2022-04-20 16:00:00-04:00,5.72,6.02,5.18
2022-01-24 16:00:00-05:00,5.71,5.78,1.25
2021-10-18 16:00:00-04:00,4.85,4.96,2.26
2021-07-19 16:00:00-04:00,3.38,3.4,0.55
2021-04-19 16:00:00-04:00,1.98,2.1,6.04
2021-01-25 16:00:00-05:00,0.82,0.97,18.16
2020-10-19 18:00:00-04:00,0.48,0.51,5.95
2020-07-20 18:00:00-04:00,0.43,0.47,10.32
2020-04-20 19:00:00-04:00,0.84,0.88,4.25
2020-01-22 18:00:00-05:00,0.56,0.62,10.13
2019-10-16 18:00:00-04:00,0.69,0.69,-0.21
2019-07-22 18:00:00-04:00,0.89,0.87,-2.05
2019-04-22 07:00:00-04:00,0.91,0.91,-0.52
2019-01-22 06:00:00-05:00,1.21,1.31,8.45
2018-10-17 18:00:00-04:00,1.66,1.69,1.95
2018-07-23 18:00:00-04:00,1.49,1.53,2.77
2018-04-18 18:00:00-04:00,0.89,0.96,7.27
2018-01-22 18:00:00-05:00,0.49,0.54,9.51
2017-10-18 18:00:00-04:00,0.65,0.66,1.2
2017-07-19 18:00:00-04:00,0.63,0.63,
2017-04-19 18:00:00-04:00,0.79,0.82,3.83
2017-01-24 18:00:00-05:00,0.43,0.43,0.77
2016-10-19 18:00:00-04:00,0.65,0.65,-0.07
2016-07-18 18:00:00-04:00,0.56,0.58,3.02
2016-04-20 18:00:00-04:00,0.24,0.26,6.47
2016-01-25 18:00:00-05:00,0.07,0.09,34.43
2015-10-19 18:00:00-04:00,0.23,0.25,7.94
2015-07-20 18:00:00-04:00,0.21,0.22,2.77
2015-04-20 18:00:00-04:00,0.14,0.17,17.44
2015-01-28 19:00:00-05:00,0.41,0.4,-2.2
2014-10-20 18:00:00-04:00,0.44,0.47,6.65
2014-07-21 18:00:00-04:00,0.31,0.32,4.4
2014-04-16 18:00:00-04:00,0.18,0.16,-8.58
2014-01-27 18:00:00-05:00,0.24,0.24,1.37
2013-10-16 18:00:00-04:00,0.24,0.25,3.08
