EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-08 16:00:00-05:00,2.65,,
2025-10-06 16:00:00-04:00,3.41,3.63,6.51
2025-07-01 16:00:00-04:00,3.29,3.22,-2.27
2025-04-09 16:00:00-04:00,2.26,-2.09,-192.4
2025-01-10 08:00:00-05:00,3.31,3.25,-1.92
2024-10-03 07:00:00-04:00,4.07,4.32,6.03
2024-07-03 07:00:00-04:00,3.45,3.57,3.36
2024-04-11 07:00:00-04:00,2.1,2.26,7.57
2024-01-05 07:00:00-05:00,3.0,3.19,6.46
2023-10-05 07:00:00-04:00,3.37,3.7,9.63
2023-06-30 08:00:00-04:00,2.83,2.91,2.85
2023-04-06 07:00:00-04:00,1.84,1.98,7.39
2023-01-05 08:00:00-05:00,2.89,2.83,-2.1
2022-10-06 05:00:00-04:00,2.81,3.17,12.62
2022-06-30 05:00:00-04:00,2.52,2.66,5.46
2022-04-07 04:00:00-04:00,2.12,2.37,11.76
2022-01-06 07:00:00-05:00,2.78,3.12,12.23
2021-10-06 08:00:00-04:00,2.78,2.38,-14.28
2021-06-30 08:00:00-04:00,2.35,2.33,-0.81
2021-04-08 08:00:00-04:00,1.55,1.82,17.54
2021-01-07 07:00:00-05:00,2.41,3.09,28.24
2020-10-01 08:00:00-04:00,2.51,2.76,9.82
2020-07-01 08:00:00-04:00,2.05,2.3,12.45
2020-04-03 08:00:00-04:00,1.66,2.06,24.3
2020-01-08 07:00:00-05:00,1.84,2.14,16.02
2019-10-03 08:00:00-04:00,2.62,2.72,3.89
2019-06-28 08:00:00-04:00,2.06,2.21,7.37
2019-04-04 07:00:00-04:00,1.75,1.84,5.44
2019-01-09 08:00:00-05:00,2.08,2.37,13.8
2018-10-04 07:00:00-04:00,2.61,2.87,9.91
2018-06-29 07:00:00-04:00,2.44,2.2,-9.85
2018-03-29 07:00:00-04:00,1.74,1.9,8.92
2018-01-05 08:00:00-05:00,1.89,2.0,5.65
2017-10-05 08:00:00-04:00,2.17,2.47,14.08
2017-06-29 07:00:00-04:00,1.98,2.34,18.44
2017-04-06 07:00:00-04:00,1.36,1.48,8.45
2017-01-05 07:00:00-05:00,1.72,1.96,14.14
2016-10-05 07:00:00-04:00,1.65,1.77,7.3
2016-06-30 05:00:00-04:00,1.52,1.54,1.38
2016-04-06 07:00:00-04:00,1.14,1.19,4.01
2016-01-07 07:00:00-05:00,1.3,1.42,8.85
2015-10-07 07:00:00-04:00,1.32,1.56,18.22
2015-07-01 07:00:00-04:00,1.24,1.26,1.93
2015-04-09 07:00:00-04:00,0.94,1.03,9.49
2015-01-08 07:00:00-05:00,1.14,1.23,7.86
2014-10-02 07:00:00-04:00,1.15,1.11,-3.07
2014-07-02 07:00:00-04:00,0.93,1.07,15.5
2014-04-09 07:00:00-04:00,0.76,0.81,6.34
2014-01-08 07:00:00-05:00,0.91,1.1,21.09
2013-10-03 07:00:00-04:00,0.88,0.96,9.29
