EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-02-04 16:00:00-05:00,1.4,,
2025-11-04 16:00:00-05:00,1.53,1.76,15.32
2025-08-05 16:00:00-04:00,1.24,1.33,7.01
2025-05-07 16:00:00-04:00,1.2,1.24,3.09
2025-02-05 16:00:00-05:00,1.57,1.6,1.75
2024-11-12 16:00:00-05:00,1.52,1.55,1.9
2024-07-30 16:00:00-04:00,1.21,1.21,-0.4
2024-04-30 16:00:00-04:00,1.52,1.55,1.65
2024-01-30 16:00:00-05:00,1.95,1.97,0.86
2023-11-02 16:00:00-04:00,2.1,2.2,4.71
2023-08-07 16:00:00-04:00,1.67,1.73,3.48
2023-05-08 16:00:00-04:00,2.03,2.02,-0.29
2023-02-06 16:00:00-05:00,2.6,2.59,-0.2
2022-11-03 16:00:00-04:00,2.9,3.02,4.14
2022-08-04 16:00:00-04:00,2.35,2.44,3.71
2022-05-03 16:00:00-04:00,2.63,2.63,0.01
2022-02-03 16:00:00-05:00,3.11,3.14,1.09
2021-11-04 16:00:00-04:00,2.54,2.62,3.23
2021-07-29 16:00:00-04:00,2.14,2.15,0.37
2021-04-29 16:00:00-04:00,2.35,2.37,0.96
2021-01-28 16:00:00-05:00,2.09,3.36,60.77
2020-11-02 16:00:00-05:00,1.52,1.85,21.48
2020-07-23 16:00:00-04:00,1.14,1.25,10.03
2020-05-04 17:00:00-04:00,1.33,1.34,0.74
2020-01-23 16:00:00-05:00,1.66,1.68,1.36
2019-11-12 16:00:00-05:00,1.5,1.52,1.46
2019-08-07 16:00:00-04:00,1.34,1.35,0.62
2019-05-02 16:00:00-04:00,1.43,1.47,2.79
2019-02-05 16:00:00-05:00,1.83,1.83,0.08
2018-11-08 16:00:00-05:00,1.92,1.94,1.29
2018-07-19 16:00:00-04:00,1.6,1.64,2.76
2018-05-03 16:00:00-04:00,1.6,1.64,2.38
2018-02-05 16:00:00-05:00,1.91,2.0,4.57
2017-11-06 16:00:00-05:00,1.75,1.82,3.88
2017-07-20 16:00:00-04:00,1.52,1.57,3.14
2017-04-27 16:00:00-04:00,1.4,1.45,3.3
2017-01-19 16:00:00-05:00,1.58,1.61,1.75
2016-11-03 16:00:00-04:00,1.43,1.47,2.77
2016-07-21 16:00:00-04:00,1.21,1.24,2.19
2016-04-28 16:00:00-04:00,1.24,1.25,0.45
2016-01-28 16:00:00-05:00,1.58,1.6,1.14
2015-11-05 16:00:00-05:00,1.52,1.52,0.26
2015-07-23 16:00:00-04:00,1.29,1.34,4.26
2015-04-30 16:00:00-04:00,1.13,1.15,2.02
2015-01-22 16:00:00-05:00,1.19,1.26,5.79
2014-11-06 16:00:00-05:00,1.08,1.12,3.64
2014-07-17 16:00:00-04:00,0.8,0.83,3.6
2014-04-22 16:00:00-04:00,0.59,0.62,5.08
2014-01-16 16:00:00-05:00,0.66,0.67,1.41
2013-10-30 16:00:00-04:00,0.62,0.64,3.04
