EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-27 08:00:00-05:00,2.04,,
2025-10-15 06:00:00-04:00,2.22,2.86,28.94
2025-07-22 06:00:00-04:00,1.77,2.5,41.03
2025-04-22 06:00:00-04:00,1.72,1.89,9.81
2025-01-28 06:00:00-05:00,1.92,1.91,-0.46
2024-10-16 06:00:00-04:00,1.82,1.94,6.57
2024-07-17 06:00:00-04:00,1.37,1.55,12.92
2024-04-24 06:00:00-04:00,1.37,1.18,-13.57
2024-01-23 06:00:00-05:00,0.95,1.18,24.04
2023-10-24 06:00:00-04:00,1.44,1.48,2.8
2023-07-18 06:00:00-04:00,1.26,1.32,4.81
2023-04-19 02:00:00-04:00,1.45,1.35,-7.13
2023-01-23 06:00:00-05:00,1.12,1.26,12.89
2022-10-25 06:00:00-04:00,1.39,1.47,6.11
2022-07-18 06:00:00-04:00,1.38,1.6,16.03
2022-04-18 06:00:00-04:00,1.54,1.77,14.88
2022-01-28 06:00:00-05:00,1.41,1.34,-5.22
2021-10-19 06:00:00-04:00,1.46,1.67,14.74
2021-07-20 06:00:00-04:00,1.36,2.12,56.32
2021-04-27 06:00:00-04:00,1.38,1.73,25.08
2021-01-29 06:00:00-05:00,0.86,1.24,44.77
2020-10-20 06:00:00-04:00,0.69,0.63,-8.73
2020-07-21 06:00:00-04:00,0.2,0.06,-69.54
2020-04-21 07:00:00-04:00,0.66,0.45,-31.39
2020-01-24 06:00:00-05:00,1.07,1.1,2.83
2019-10-18 06:00:00-04:00,1.13,1.22,7.76
2019-07-19 06:00:00-04:00,0.96,0.97,0.73
2019-04-18 06:00:00-04:00,0.9,1.0,11.72
2019-01-23 06:00:00-05:00,0.93,1.09,17.26
2018-10-19 06:00:00-04:00,0.8,0.91,13.94
2018-07-27 06:00:00-04:00,0.82,0.92,11.63
2018-04-20 06:00:00-04:00,0.76,0.83,9.93
2018-01-19 06:00:00-05:00,0.64,0.7,9.38
2017-10-20 06:00:00-04:00,0.64,0.7,8.83
2017-07-21 06:00:00-04:00,0.57,0.61,6.3
2017-04-28 06:00:00-04:00,0.74,0.61,-17.02
2017-01-20 06:00:00-05:00,0.67,0.7,5.17
2016-10-21 06:00:00-04:00,0.67,0.73,8.78
2016-07-22 06:00:00-04:00,0.54,0.58,6.6
2016-04-22 06:00:00-04:00,0.69,0.7,1.97
2016-01-22 06:00:00-05:00,0.63,0.65,2.66
2015-10-16 09:00:00-04:00,0.66,0.69,4.33
2015-07-17 09:00:00-04:00,0.62,0.65,4.89
2015-04-17 09:00:00-04:00,0.64,0.66,3.58
2015-01-23 09:00:00-05:00,0.6,0.64,6.63
2014-10-17 09:00:00-04:00,0.67,0.7,4.02
