EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-21 08:00:00-05:00,2.55,,
2025-10-29 06:00:00-04:00,2.29,2.44,6.58
2025-07-23 06:00:00-04:00,2.08,2.27,9.4
2025-04-23 06:00:00-04:00,,0.04,6.95
2025-01-22 06:00:00-05:00,1.83,1.75,-4.49
2024-10-30 06:00:00-04:00,1.94,1.95,0.42
2024-07-24 06:00:00-04:00,1.86,1.91,2.91
2024-04-24 06:00:00-04:00,1.83,1.86,1.66
2024-01-24 06:00:00-05:00,1.71,1.84,7.83
2023-11-01 06:00:00-04:00,1.76,1.78,1.33
2023-07-26 06:00:00-04:00,1.67,1.77,6.25
2023-04-26 06:00:00-04:00,1.58,1.65,4.67
2023-01-25 06:00:00-05:00,1.51,1.53,1.35
2022-11-02 06:00:00-04:00,1.87,1.88,0.67
2022-07-27 06:00:00-04:00,1.75,1.86,6.45
2022-04-27 06:00:00-04:00,1.7,1.81,6.27
2022-01-26 06:00:00-05:00,1.62,1.76,8.96
2021-10-27 06:00:00-04:00,1.63,1.69,3.48
2021-07-28 06:00:00-04:00,1.58,1.79,13.23
2021-04-21 06:00:00-04:00,1.48,1.57,6.4
2021-01-27 06:00:00-05:00,1.29,1.47,14.36
2020-10-28 06:00:00-04:00,0.87,1.16,33.18
2020-07-29 06:00:00-04:00,0.41,0.59,45.14
2020-04-28 07:00:00-04:00,0.99,1.29,30.04
2020-01-29 06:00:00-05:00,1.14,1.21,6.34
2019-10-30 06:00:00-04:00,1.31,1.33,1.81
2019-07-24 06:00:00-04:00,1.42,1.5,5.66
2019-04-24 06:00:00-04:00,1.27,1.42,11.4
2019-01-23 06:00:00-05:00,1.28,1.29,1.05
2018-10-31 06:00:00-04:00,1.33,1.38,4.02
2018-07-25 06:00:00-04:00,1.37,1.43,4.53
2018-04-25 06:00:00-04:00,1.36,1.42,4.54
2018-01-24 06:00:00-05:00,1.25,1.4,11.66
2017-11-01 06:00:00-04:00,1.16,1.25,7.57
2017-07-26 06:00:00-04:00,1.17,1.24,5.99
2017-04-26 06:00:00-04:00,1.08,1.19,10.5
2017-01-25 06:00:00-05:00,1.0,1.15,14.45
2016-11-02 05:00:00-04:00,1.2,1.27,5.61
2016-07-20 06:00:00-04:00,1.03,1.08,4.42
2016-04-20 06:00:00-04:00,0.89,0.9,0.82
2016-01-20 06:00:00-05:00,0.76,0.84,10.33
2015-10-28 06:00:00-04:00,0.92,0.9,-2.51
2015-07-22 06:00:00-04:00,0.88,0.9,2.2
2015-04-22 06:00:00-04:00,0.89,1.45,63.79
2015-01-28 06:00:00-05:00,0.9,0.98,8.91
2014-10-29 06:00:00-04:00,1.0,1.02,2.15
2014-07-23 06:00:00-04:00,0.99,1.0,1.03
2014-04-23 06:00:00-04:00,0.91,0.95,4.34
2014-01-22 06:00:00-05:00,0.77,0.82,6.47
2013-10-30 06:00:00-04:00,0.9,0.93,3.03
