EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,6.45,,
2025-10-22 06:00:00-04:00,5.5,5.79,5.32
2025-07-23 06:00:00-04:00,5.23,5.36,2.55
2025-04-23 06:00:00-04:00,5.1,5.15,0.94
2025-01-30 06:00:00-05:00,5.94,6.1,2.66
2024-10-23 06:00:00-04:00,5.25,5.28,0.5
2024-07-24 06:00:00-04:00,5.13,5.37,4.72
2024-04-24 06:00:00-04:00,4.71,5.11,8.45
2024-01-31 06:00:00-05:00,5.65,5.67,0.42
2023-10-25 06:00:00-04:00,5.61,5.69,1.37
2023-07-26 06:00:00-04:00,5.43,5.15,-5.17
2023-04-26 06:00:00-04:00,5.03,5.03,-0.08
2023-02-01 06:00:00-05:00,5.2,5.4,3.84
2022-10-26 06:00:00-04:00,4.82,5.08,5.5
2022-07-28 06:00:00-04:00,4.98,5.51,10.61
2022-04-28 06:00:00-04:00,6.21,7.25,16.8
2022-02-02 06:00:00-05:00,5.27,6.54,24.01
2021-10-27 06:00:00-04:00,4.7,5.76,22.68
2021-07-28 06:00:00-04:00,5.47,5.6,2.31
2021-04-29 06:00:00-04:00,6.68,7.21,7.87
2021-02-01 06:00:00-05:00,6.57,7.09,7.89
2020-10-21 06:00:00-04:00,4.3,5.63,30.82
2020-07-22 06:00:00-04:00,2.89,3.89,34.57
2020-04-22 06:00:00-04:00,2.82,2.94,4.35
2020-01-30 06:00:00-05:00,3.54,3.55,0.37
2019-10-23 06:00:00-04:00,2.89,2.94,1.84
2019-07-24 06:00:00-04:00,3.0,3.04,1.44
2019-04-24 06:00:00-04:00,2.74,2.81,2.68
2019-01-30 06:00:00-05:00,3.18,3.25,2.35
2018-10-24 06:00:00-04:00,2.56,2.62,2.23
2018-07-25 06:00:00-04:00,2.63,2.75,4.74
2018-04-25 06:00:00-04:00,2.41,2.5,3.85
2018-01-31 06:00:00-05:00,2.67,2.79,4.48
2017-10-25 06:00:00-04:00,2.25,2.31,2.84
2017-07-26 06:00:00-04:00,2.27,2.3,1.23
2017-04-26 06:00:00-04:00,2.02,2.08,2.8
2017-01-31 06:00:00-05:00,2.38,2.41,1.32
2016-10-27 06:00:00-04:00,1.97,2.03,2.91
2016-07-28 06:00:00-04:00,2.01,2.03,0.8
2016-04-28 06:00:00-04:00,1.74,1.8,3.18
2016-01-28 06:00:00-05:00,2.11,2.12,0.59
2015-10-21 06:00:00-04:00,1.79,1.8,0.58
2015-07-22 06:00:00-04:00,1.78,1.84,3.32
2015-04-22 06:00:00-04:00,1.61,1.63,1.26
2015-01-29 06:00:00-05:00,1.94,1.99,2.5
2014-10-22 06:00:00-04:00,1.69,1.71,1.17
2014-07-23 06:00:00-04:00,1.63,1.72,5.66
2014-04-23 06:00:00-04:00,1.4,1.53,9.25
2014-01-30 06:00:00-05:00,1.38,1.43,3.98
2013-10-23 06:00:00-04:00,1.28,1.3,1.52
