EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 08:00:00-05:00,2.14,,
2025-10-23 07:00:00-04:00,2.57,2.77,7.71
2025-07-23 16:00:00-04:00,2.68,2.85,6.07
2025-04-24 16:00:00-04:00,2.48,2.64,6.64
2025-01-29 07:00:00-05:00,2.28,2.57,12.61
2024-10-23 16:00:00-04:00,2.45,2.71,10.97
2024-07-31 07:00:00-04:00,2.29,2.51,9.75
2024-04-26 12:00:00-04:00,1.92,2.09,8.74
2024-01-25 16:00:00-05:00,1.96,1.83,-6.53
2023-10-25 06:00:00-04:00,1.89,2.0,5.69
2023-07-27 16:00:00-04:00,1.73,2.05,18.14
2023-04-27 16:00:00-04:00,1.56,1.75,12.52
2023-02-01 06:00:00-05:00,1.06,1.59,49.68
2022-10-27 16:00:00-04:00,0.5,2.27,355.47
2022-07-27 06:00:00-04:00,0.35,1.94,462.71
2022-04-27 06:00:00-04:00,0.36,1.41,292.54
2022-02-01 19:00:00-05:00,0.09,1.1,1179.07
2021-11-02 16:00:00-04:00,0.49,1.31,167.4
2021-07-29 16:00:00-04:00,0.5,0.94,88.65
2021-05-04 16:00:00-04:00,0.58,0.93,61.47
2021-02-04 16:00:00-05:00,0.54,1.1,105.42
2020-11-05 16:00:00-05:00,0.4,1.18,192.95
2020-08-06 16:00:00-04:00,0.15,0.84,460.22
2020-05-06 16:00:00-04:00,1.03,1.1,6.49
2020-02-06 16:00:00-05:00,0.84,0.87,4.14
2019-10-28 16:00:00-04:00,0.98,1.01,2.67
2019-07-25 16:00:00-04:00,0.98,1.09,11.63
2019-04-25 16:00:00-04:00,0.92,1.06,15.81
2019-02-07 07:00:00-05:00,0.67,0.75,12.56
2018-10-30 16:00:00-04:00,0.83,0.93,12.39
2018-08-01 16:00:00-04:00,0.86,0.92,6.87
2018-05-01 16:00:00-04:00,0.73,0.78,7.49
2018-02-08 06:00:00-05:00,0.37,0.48,29.73
2017-10-23 07:00:00-04:00,0.47,0.63,34.76
2017-07-19 16:00:00-04:00,0.41,0.67,64.71
2017-04-24 16:00:00-04:00,0.36,0.42,15.67
2017-02-14 07:00:00-05:00,0.28,0.43,52.66
2016-10-24 07:00:00-04:00,0.22,0.28,25.47
2016-07-27 07:00:00-04:00,0.2,0.25,22.36
2016-04-26 06:00:00-04:00,0.11,0.1,-6.32
2016-02-17 06:00:00-05:00,0.21,0.34,62.14
2015-10-27 07:00:00-04:00,0.34,0.15,-55.73
2015-07-30 07:00:00-04:00,0.22,0.42,89.68
2015-04-28 07:00:00-04:00,-0.04,-0.09,-116.97
2015-02-19 06:00:00-05:00,0.08,0.12,47.37
2014-10-27 21:00:00-04:00,0.04,-0.12,-384.9
2014-07-31 07:00:00-04:00,0.08,0.48,470.61
2014-05-01 06:00:00-04:00,-0.1,-0.19,-94.57
2014-02-25 06:00:00-05:00,-0.14,-0.02,89.17
2013-11-07 06:00:00-05:00,0.07,-0.03,-147.2
